t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,
0,1,0,8.3,0,9.4,0.507783333,467,2.7,2024/1/23 0:00
1,1,1,7.7,0,8.7,0.45475,463,2.6,2024/1/23 1:00
2,1,2,7.2,0,8.1,0.439616667,464,2.5,2024/1/23 2:00
3,1,3,6.6,0,7.5,0.444116667,465,2,2024/1/23 3:00
4,1,4,6.3,0,6.8,0.419416667,464,3,2024/1/23 4:00
5,1,5,5.8,0,6.2,0.424216667,465,4.8,2024/1/23 5:00
6,1,6,5.2,0,5.6,0.472533333,468,3.5,2024/1/23 6:00
7,1,7,5.1,208,5.1,0.489433333,470,3.4,2024/1/23 7:00
8,1,8,5.4,684,5.2,0.518716667,478,5.3,2024/1/23 8:00
9,1,9,5.6,758,5.6,0.510483333,472,6.1,2024/1/23 9:00
10,1,10,6.0,1002,6.4,0.522733333,468,4.4,2024/1/23 10:00
11,1,11,6.2,1302,7.1,0.493633333,467,5,2024/1/23 11:00
12,1,12,7.1,1418,7.4,0.445266667,467,3.7,2024/1/23 12:00
13,1,13,7.0,1265,7.9,0.440866667,465,5.7,2024/1/23 13:00
14,1,14,7.2,1082,8.1,0.4196,462,6.2,2024/1/23 14:00
15,1,15,5.8,391,7.8,0.482733333,464,5.2,2024/1/23 15:00
16,1,16,5.7,79,7.2,0.4951,463,4.2,2024/1/23 16:00
17,1,17,5.6,6,6.7,0.464983333,464,5.2,2024/1/23 17:00
18,1,18,5.2,0,6.2,0.433233333,463,5.3,2024/1/23 18:00
19,1,19,4.7,0,5.5,0.46025,465,4.8,2024/1/23 19:00
20,1,20,4.3,0,4.9,0.494633333,465,5.1,2024/1/23 20:00
21,1,21,3.8,0,4.3,0.520966667,466,4.2,2024/1/23 21:00
22,1,22,3.3,0,3.8,0.525566667,467,5.1,2024/1/23 22:00
23,1,23,3.0,0,3.2,0.514016667,467,4.9,2024/1/23 23:00
24,1,24,2.8,0,2.6,0.5182,469,4.8,2024/1/24 0:00
25,1,1,2.4,0,2.2,0.51855,470,4.2,2024/1/24 1:00
26,1,2,2.2,0,1.7,0.5429,470,4.9,2024/1/24 2:00
27,1,3,2.0,0,1.3,0.55135,470,6.2,2024/1/24 3:00
28,1,4,1.8,0,1.0,0.562483333,472,5.1,2024/1/24 4:00
29,1,5,1.9,0,0.8,0.56765,471,4.6,2024/1/24 5:00
30,1,6,1.6,0,0.7,0.564966667,471,5.5,2024/1/24 6:00
31,1,7,1.7,43,0.5,0.581733333,469,4.4,2024/1/24 7:00
32,1,8,1.7,159,0.6,0.567716667,473,4.4,2024/1/24 8:00
33,1,9,2.3,409,0.8,0.56005,470,4.6,2024/1/24 9:00
34,1,10,3.2,1082,2.0,0.528316667,469,5.5,2024/1/24 10:00
35,1,1,3.0,1381,2.7,0.53765,469,4.6,2024/1/24 11:00
36,1,2,4.5,1247,2.9,0.510183333,468,4.2,2024/1/24 12:00
37,1,3,6.1,1314,4.1,0.4859,466,3.6,2024/1/24 13:00
38,1,4,7.0,1051,5.4,0.41915,463,6.5,2024/1/24 14:00
39,1,5,6.6,642,6.2,0.39395,461,6.4,2024/1/24 15:00
40,1,6,5.9,165,6.5,0.403816667,465,4.4,2024/1/24 16:00
41,1,7,4.8,6,6.1,0.443483333,465,4,2024/1/24 17:00
42,1,8,4.1,0,5.3,0.447816667,466,4.8,2024/1/24 18:00
43,1,9,3.6,0,4.7,0.484733333,467,3.3,2024/1/24 19:00
44,1,10,3.1,0,4.0,0.514316667,467,1.8,2024/1/24 20:00
45,1,11,2.6,0,3.4,0.5385,467,2,2024/1/24 21:00
46,1,12,2.3,0,2.8,0.584683333,468,1.7,2024/1/24 22:00
47,1,13,1.9,0,2.2,0.641066667,471,2.1,2024/1/24 23:00
48,1,14,1.7,0,1.7,0.669166667,470,0.3,2024/1/25 0:00
49,1,15,1.7,0,1.3,0.6859,471,1.2,2024/1/25 1:00
50,1,16,1.6,0,0.9,0.691966667,472,1.5,2024/1/25 2:00
51,1,17,1.6,0,0.6,0.691183333,470,1.6,2024/1/25 3:00
52,1,18,1.8,0,0.4,0.701616667,490,1.5,2024/1/25 4:00
53,1,19,2.1,0,0.4,0.706666667,474,0.4,2024/1/25 5:00
54,1,20,2.2,0,0.4,0.669816667,477,2.5,2024/1/25 6:00
55,1,21,2.0,116,0.3,0.669266667,475,1.1,2024/1/25 7:00
56,1,22,2.3,519,0.4,0.674983333,474,2.1,2024/1/25 8:00
57,1,23,3.2,929,0.7,0.65845,474,1.8,2024/1/25 9:00
58,1,24,5.3,1228,3.9,0.555416667,470,3.5,2024/1/25 10:00
