t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,current_nb_leaves,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
0,1,MS,0.00000000,False,0.00005000,9.40000000,NA,1,3,2694.49771203,2694.49771203,0.05442030,10,0.00000000,vegetative,0.37423579,0.00100000,0.00000000,2694.49771203
1,1,MS,0.00000000,False,0.00005000,8.70000000,0.00017310,1,3,2489.12163461,2489.12163461,0.05043424,10,0.00000000,vegetative,0.71994713,0.34269492,0.28392903,5183.61934664
2,1,MS,0.00000000,False,0.00005000,8.10000000,0.00017100,1,3,2317.45807360,2317.45807360,0.05051568,10,0.00000000,vegetative,1.04181631,0.31037393,0.25457004,7501.07742024
3,1,MS,0.00000000,False,0.00005000,7.50000000,0.00015573,1,3,2145.79451259,2145.79451259,0.05058986,10,0.00000000,vegetative,1.33984332,0.28419376,0.23485375,9646.87193283
4,1,MS,0.00000000,False,0.00005000,6.80000000,0.00017283,1,3,1945.52035808,1945.52035808,0.05065604,10,0.00000000,vegetative,1.61005448,0.25954456,0.22828451,11592.39229092
5,1,MS,0.00000000,False,0.00005000,6.20000000,0.00017738,1,3,1773.85679708,1773.85679708,0.05071544,10,0.00000000,vegetative,1.85642348,0.24014142,0.22134170,13366.24908799
6,1,MS,0.00000000,False,0.00005000,5.60000000,0.00014959,1,3,1602.19323607,1602.19323607,0.05076830,10,0.00000000,vegetative,2.07895032,0.22302596,0.21158695,14968.44232406
7,1,MS,0.00000000,False,0.00005000,5.10000000,0.00034618,1,3,1459.14026856,1459.14026856,0.05081574,10,0.00000000,vegetative,2.28160869,0.20961197,0.65855365,16427.58259262
8,1,MS,0.00000000,False,0.00005000,5.20000000,0.00068501,1,3,1487.75086206,1487.75086206,0.05086345,10,0.00000000,vegetative,2.48824076,0.20739378,0.68608260,17915.33345469
9,1,MS,0.00000000,False,0.00005000,5.60000000,0.00072720,1,3,1602.19323607,1602.19323607,0.05091415,10,0.00000000,vegetative,2.71076760,0.21057001,0.66389080,19517.52669075
10,1,MS,0.00000000,False,0.00005000,6.40000000,0.00107940,1,3,1831.07798408,1831.07798408,0.05097135,10,0.00000000,vegetative,2.96508398,0.22146660,0.85567970,21348.60467483
11,1,MS,0.10128884,False,0.00005000,7.10000000,0.00135404,1,3,2031.35213859,2031.35213859,0.05103407,10,0.00000000,vegetative,3.24721622,0.23164946,1.01394525,23379.95681342
12,1,MS,0.34352692,False,0.00005000,7.40000000,0.00175220,1,3,2117.18391909,2117.18391909,0.05109875,10,0.00000000,vegetative,3.54126955,0.23579272,1.28372977,25497.14073251
13,1,MS,0.61545796,False,0.00005000,7.90000000,0.00129151,1,3,2260.23688660,2260.23688660,0.05116727,10,0.00000000,vegetative,3.85519134,0.24472921,0.99251483,27757.37761911
14,1,MS,0.87767980,False,0.00005000,8.10000000,0.00109225,1,3,2317.45807360,2317.45807360,0.05123724,10,0.00000000,vegetative,4.17706051,0.24910435,0.88294084,30074.83569271
15,1,MS,1.04241788,False,0.00005000,7.80000000,0.00049956,1,3,2231.62629310,2231.62629310,0.05130463,10,0.00000000,vegetative,4.48700861,0.24442167,0.54011097,32306.46198580
16,1,MS,1.13508305,False,0.00005000,7.20000000,0.00025482,1,3,2059.96273209,2059.96273209,0.05136709,10,0.00000000,vegetative,4.77311454,0.23448931,0.40614398,34366.42471789
17,1,MS,1.12872248,False,0.00005000,6.70000000,0.00017718,1,3,1916.90976458,1916.90976458,0.05142558,10,0.00000000,vegetative,5.03935201,0.22707765,0.34909413,36283.33448247
18,1,MS,1.05455225,False,0.00005000,6.20000000,0.00016953,1,3,1773.85679708,1773.85679708,0.05148008,10,0.00000000,vegetative,5.28572101,0.21986586,0.28086154,38057.19127955
19,1,MS,0.96380990,False,0.00005000,5.50000000,0.00015427,1,3,1573.58264257,1573.58264257,0.05152872,10,0.00000000,vegetative,5.50427416,0.20924599,0.26859289,39630.77392211
20,1,MS,0.87516636,False,0.00005000,4.90000000,0.00014149,1,3,1401.91908156,1401.91908156,0.05157230,10,0.00000000,vegetative,5.69898514,0.20056259,0.25955959,41032.69300367
21,1,MS,0.79030825,False,0.00005000,4.30000000,0.00012663,1,3,1230.25552055,1230.25552055,0.05161073,10,0.00000000,vegetative,5.86985396,0.19206173,0.24882266,42262.94852423
22,1,MS,0.71376850,False,0.00005000,3.80000000,0.00012390,1,3,1087.20255305,1087.20255305,0.05164484,10,0.00000000,vegetative,6.02085432,0.18525721,0.23975879,43350.15107727
23,1,MS,0.64658345,False,0.00005000,3.20000000,0.00012374,1,3,915.53899204,915.53899204,0.05167368,10,0.00000000,vegetative,6.14801251,0.17716312,0.23344561,44265.69006931
