t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA
0,1,MS,roots,0.03228608,NA,NA,NA,NA,NA,NA,0.00017265,NA,NA,NA,NA,NA,NA,NA,1.11494596,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,2.15824765,8.60000000,0.00009040,0.03449040,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,198.23219646,3.23764809,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13099897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.31420752,NA,NA
1,1,MS,roots,0.02981702,0.00000000,0.05933978,0.06925729,0.00898383,1.69357969,0.00000000,0.00017307,NA,0.09308507,0.16727422,NA,NA,NA,0.07310363,1.02968092,1.35977364,NA,1.20424003,NA,NA,14.47799323,0.00000000,-505.36218032,0.42134564,NA,2.11610442,8.63273799,0.00008349,0.03457389,22.22793855,NA,0.00000000,0.00017310,0.00000000,NA,NA,171.44002407,2.99005027,0.33346292
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66796964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.96041027,NA,NA
2,1,MS,roots,0.02726109,0.00000000,0.05750318,0.06924944,0.00890649,1.60088295,0.00000000,0.00017345,NA,0.08805668,0.14789086,NA,NA,NA,0.06804077,0.94141623,1.28348593,NA,1.13995307,NA,NA,14.46491686,0.00000000,-333.86651213,0.37252107,NA,2.07576697,8.66341543,0.00007633,0.03465022,22.49808073,NA,0.00000000,0.00017100,0.00000000,NA,NA,153.66364311,2.73374187,0.30398831
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93136667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.55674175,NA,NA
3,1,MS,roots,0.02480661,0.00000000,0.05150519,0.06372729,0.00813878,1.51431632,0.00000000,0.00017380,NA,0.08333117,0.13217435,NA,NA,NA,0.06355151,0.85665494,1.21217856,NA,1.07815683,NA,NA,14.45548497,0.00000000,-233.53052113,0.33293288,NA,2.04152847,8.69279646,0.00006946,0.03471968,22.73381692,NA,0.00000000,0.00015573,0.00000000,NA,NA,140.56160281,2.48760687,0.27905704
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07308238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.75484669,NA,NA
4,1,MS,roots,0.02210969,0.00000000,0.05607248,0.07132405,0.00905945,1.42181855,0.00000000,0.00017410,NA,0.07821500,0.11817721,NA,NA,NA,0.05913581,0.76352120,1.13573096,NA,1.01038926,NA,NA,14.43877005,0.00000000,-171.12568102,0.29767558,NA,2.00270386,8.71896308,0.00006191,0.03478159,22.92690677,NA,0.00000000,0.00017283,0.00000000,NA,NA,130.48860795,2.21715945,0.25552801
