t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,NA,12.00000000,NA,3000000.00000000,1
1,1,MS,2999890.36501292,8.70000000,0.00299822,2999890.36501292,1
2,1,MS,2999794.46769755,8.10000000,0.00285192,2999794.46769755,1
3,1,MS,2999709.13787074,7.50000000,0.00271217,2999709.13787074,1
4,1,MS,2999633.21325000,6.80000000,0.00255704,2999633.21325000,1
5,1,MS,2999564.52303133,6.20000000,0.00243057,2999564.52303133,1
6,1,MS,2999501.99505722,5.60000000,0.00230985,2999501.99505722,1
7,1,MS,2999444.21776297,5.10000000,0.00221346,2999444.21776297,1
8,1,MS,2999387.60872815,5.20000000,0.00223244,2999387.60872815,1
9,1,MS,2999330.37727325,5.60000000,0.00230985,2999330.37727325,1
10,1,MS,2999270.19222606,6.40000000,0.00247208,2999270.19222606,1
11,1,MS,2999207.01065755,7.10000000,0.00262250,2999207.01065755,1
12,1,MS,2999142.27801466,7.40000000,0.00268949,2999142.27801466,1
13,1,MS,2999074.53504164,7.90000000,0.00280462,2999074.53504164,1
14,1,MS,2999005.24449443,8.10000000,0.00285192,2999005.24449443,1
15,1,MS,2998937.12954735,7.80000000,0.00278124,2998937.12954735,1
16,1,MS,2998871.91812374,7.20000000,0.00264466,2998871.91812374,1
17,1,MS,2998808.91753934,6.70000000,0.00253555,2998808.91753934,1
18,1,MS,2998748.07836256,6.20000000,0.00243057,2998748.07836256,1
19,1,MS,2998690.38280740,5.50000000,0.00229027,2998690.38280740,1
20,1,MS,2998635.26417361,4.90000000,0.00217595,2998635.26417361,1
21,1,MS,2998582.66465387,4.30000000,0.00206687,2998582.66465387,1
22,1,MS,2998532.09321340,3.80000000,0.00197981,2998532.09321340,1
23,1,MS,2998483.90249753,3.20000000,0.00187979,2998483.90249753,1
24,1,MS,2998437.98813615,2.60000000,0.00178441,2998437.98813615,1
25,1,MS,2998393.50064098,2.20000000,0.00172331,2998393.50064098,1
26,1,MS,2998350.78244858,1.70000000,0.00164963,2998350.78244858,1
27,1,MS,2998309.40464715,1.30000000,0.00159277,2998309.40464715,1
28,1,MS,2998268.99825328,1.00000000,0.00155132,2998268.99825328,1
29,1,MS,2998229.20861475,0.80000000,0.00152423,2998229.20861475,1
30,1,MS,2998189.70799838,0.70000000,0.00151086,2998189.70799838,1
31,1,MS,2998150.83464928,0.50000000,0.00148442,2998150.83464928,1
32,1,MS,2998111.55305822,0.60000000,0.00149758,2998111.55305822,1
33,1,MS,2998071.45344508,0.80000000,0.00152423,2998071.45344508,1
34,1,MS,2998026.64383844,2.00000000,0.00169348,2998026.64383844,1
35,1,MS,2997978.44422827,2.70000000,0.00179999,2997978.44422827,1
36,1,MS,2997928.51926841,2.90000000,0.00183153,2997928.51926841,1
37,1,MS,2997871.93924117,4.10000000,0.00203163,2997871.93924117,1
38,1,MS,2997807.35405877,5.40000000,0.00227084,2997807.35405877,1
39,1,MS,2997737.03780813,6.20000000,0.00243057,2997737.03780813,1
40,1,MS,2997663.92107382,6.50000000,0.00249307,2997663.92107382,1
41,1,MS,2997592.55226351,6.10000000,0.00241006,2997592.55226351,1
42,1,MS,2997525.34037460,5.30000000,0.00225157,2997525.34037460,1
43,1,MS,2997461.08979702,4.70000000,0.00213901,2997461.08979702,1
44,1,MS,2997400.28172921,4.00000000,0.00201422,2997400.28172921,1
45,1,MS,2997342.32739502,3.40000000,0.00191260,2997342.32739502,1
46,1,MS,2997287.14294215,2.80000000,0.00181570,2997287.14294215,1
47,1,MS,2997234.63766949,2.20000000,0.00172331,2997234.63766949,1
48,1,MS,2997184.29501364,1.70000000,0.00164963,2997184.29501364,1
49,1,MS,2997135.63101462,1.30000000,0.00159277,2997135.63101462,1
50,1,MS,2997088.59914147,0.90000000,0.00153772,2997088.59914147,1
51,1,MS,2997042.76320259,0.60000000,0.00149758,2997042.76320259,1
52,1,MS,2996997.71927051,0.40000000,0.00147136,2996997.71927051,1
53,1,MS,2996952.71014446,0.40000000,0.00147136,2996952.71014446,1
54,1,MS,2996907.76350863,0.40000000,0.00147136,2996907.76350863,1
55,1,MS,2996863.24505069,0.30000000,0.00145841,2996863.24505069,1
56,1,MS,2996818.19678134,0.40000000,0.00147136,2996818.19678134,1
