N_exudation,Unloading_Amino_Acids,Dry_Mass,Export_Amino_Acids,Conc_Sucrose,sum_respi,N_tot,S_grain_starch,S_cytokinins,Conc_Amino_Acids,HATS_LATS,mstruct,Uptake_Nitrates,RGR_Structure,axis,sucrose_consumption_mstruct,R_Nnit_upt,regul_transpiration,t,Total_Organic_Nitrogen,organ,sucrose,R_grain_growth_struct,Conc_Nitrates,senesced_mstruct,R_grain_growth_starch,Export_cytokinins,nitrates,synthetized_mstruct,C_exudation,Conc_cytokinins,proteins,Respi_growth,Unloading_Sucrose,Proteins_N_Mass,Export_Nitrates,WSC_g,starch,age_from_flowering,cytokinins,amino_acids,S_grain_structure,R_residual,structure,Nstruct,S_Proteins,R_Nnit_red,AA_consumption_mstruct,S_Amino_Acids,plant
NA,NA,NA,NA,0.0,NA,0.00000000,NA,NA,0.0,NA,NA,NA,NA,MS,NA,NA,NA,0.00000000,NA,phloem,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,478.9549907950322,NA,0.00050954,NA,NA,50.06025064632469,NA,0.03449040,NA,NA,MS,3.23764809,NA,NA,0.00000000,14.49031944,roots,198.23219646,NA,635.1140215809023,0.00000000,NA,NA,21.90533730,NA,NA,249.34473780487096,NA,1.11494596,NA,NA,NA,0.005663777041627768,NA,NA,8.60000000,2.15824765,NA,0.09518337,NA,0.00017265,NA,NA,0.03228608,NA,1
NA,NA,NA,NA,106.26743081999908,NA,0.00004383,NA,NA,49.66465422020945,NA,NA,NA,NA,MS,NA,NA,NA,1.00000000,NA,phloem,64.31420752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018375487863495168,NA,NA,NA,3.13099897,NA,NA,NA,NA,NA,NA,NA,NA,1
0.00000000,0.00000000,NA,0.05933978,413.22134199878764,0.33346292,0.00051388,NA,1.20424003,48.964221250390494,1.69357969,0.03457389,0.42134564,NA,MS,2.99005027,0.16727422,0.00017310,1.00000000,14.47799323,roots,171.44002407,NA,642.9111508616022,0.00000000,NA,0.00898383,22.22793855,NA,0.00000000,249.68952950556232,NA,1.02968092,-505.36218032,NA,0.06925729,0.004898286402008349,NA,NA,8.63273799,2.11610442,NA,0.07304144,NA,0.00017307,NA,0.09308507,0.02981702,1.35977364,1
NA,NA,NA,NA,140.15518109478563,NA,0.00005135,NA,NA,58.08841426488744,NA,NA,NA,NA,MS,NA,NA,NA,2.00000000,NA,phloem,84.96041027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024274402934897745,NA,NA,NA,3.66796964,NA,NA,NA,NA,NA,NA,NA,NA,1
0.00000000,0.00000000,NA,0.05750318,369.5590879147988,0.30398831,0.00051748,NA,1.13995307,47.92505173617856,1.60088295,0.03465022,0.37252107,NA,MS,2.73374187,0.14789086,0.00017100,2.00000000,14.46491686,roots,153.66364311,NA,649.2911421365585,0.00000000,NA,0.00890649,22.49808073,NA,0.00000000,250.0248338823881,NA,0.94141623,-333.86651213,NA,0.06924944,0.004390389803142251,NA,NA,8.66341543,2.07576697,NA,0.06797931,NA,0.00017345,NA,0.08805668,0.02726109,1.28348593,1
NA,NA,NA,NA,159.05155175169378,NA,0.00005504,NA,NA,62.168457620504576,NA,NA,NA,NA,MS,NA,NA,NA,3.00000000,NA,phloem,96.55674175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0027587640500917675,NA,NA,NA,3.93136667,NA,NA,NA,NA,NA,NA,NA,NA,1
0.00000000,0.00000000,NA,0.05150519,337.3725651217324,0.27905704,0.00052065,NA,1.07815683,47.04026239802782,1.51431632,0.03471968,0.33293288,NA,MS,2.48760687,0.13217435,0.00015573,3.00000000,14.45548497,roots,140.56160281,NA,654.7819014608189,0.00000000,NA,0.00813878,22.73381692,NA,0.00000000,250.37088210144935,NA,0.85665494,-233.53052113,NA,0.06372729,0.004016045794680871,NA,NA,8.69279646,2.04152847,NA,0.06351008,NA,0.00017380,NA,0.08333117,0.02480661,1.21217856,1
NA,NA,NA,NA,170.6852245980244,NA,0.00005702,NA,NA,64.3253209270698,NA,NA,NA,NA,MS,NA,NA,NA,4.00000000,NA,phloem,103.75484669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0029644241910134787,NA,NA,NA,4.07308238,NA,NA,NA,NA,NA,NA,NA,NA,1
0.00000000,0.00000000,NA,0.05607248,312.6381547853637,0.25552801,0.00052312,NA,1.01038926,46.06354393792759,1.42181855,0.03478159,0.29767558,NA,MS,2.21715945,0.11817721,0.00017283,4.00000000,14.43877005,roots,130.48860795,NA,659.1679631257708,0.00000000,NA,0.00905945,22.92690677,NA,0.00000000,250.67756371632103,NA,0.76352120,-171.12568102,NA,0.07132405,0.0037282459414463517,NA,NA,8.71896308,2.00270386,NA,0.05906743,NA,0.00017410,NA,0.07821500,0.02210969,1.13573096,1
