t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,12.00000000,1,3000000.00000000,NA,NA
1,1,MS,8.70000000,1,2999890.36501292,2999890.36501292,0.00299822
2,1,MS,8.10000000,1,2999794.46769755,2999794.46769755,0.00285192
3,1,MS,7.50000000,1,2999709.13787074,2999709.13787074,0.00271217
4,1,MS,6.80000000,1,2999633.21325000,2999633.21325000,0.00255704
5,1,MS,6.20000000,1,2999564.52303133,2999564.52303133,0.00243057
6,1,MS,5.60000000,1,2999501.99505722,2999501.99505722,0.00230985
7,1,MS,5.10000000,1,2999444.21776297,2999444.21776297,0.00221346
8,1,MS,5.20000000,1,2999387.60872815,2999387.60872815,0.00223244
9,1,MS,5.60000000,1,2999330.37727325,2999330.37727325,0.00230985
10,1,MS,6.40000000,1,2999270.19222606,2999270.19222606,0.00247208
11,1,MS,7.10000000,1,2999207.01065755,2999207.01065755,0.00262250
12,1,MS,7.40000000,1,2999142.27801466,2999142.27801466,0.00268949
13,1,MS,7.90000000,1,2999074.53504164,2999074.53504164,0.00280462
14,1,MS,8.10000000,1,2999005.24449443,2999005.24449443,0.00285192
15,1,MS,7.80000000,1,2998937.12954735,2998937.12954735,0.00278124
16,1,MS,7.20000000,1,2998871.91812374,2998871.91812374,0.00264466
17,1,MS,6.70000000,1,2998808.91753934,2998808.91753934,0.00253555
18,1,MS,6.20000000,1,2998748.07836256,2998748.07836256,0.00243057
19,1,MS,5.50000000,1,2998690.38280740,2998690.38280740,0.00229027
20,1,MS,4.90000000,1,2998635.26417361,2998635.26417361,0.00217595
21,1,MS,4.30000000,1,2998582.66465387,2998582.66465387,0.00206687
22,1,MS,3.80000000,1,2998532.09321340,2998532.09321340,0.00197981
23,1,MS,3.20000000,1,2998483.90249753,2998483.90249753,0.00187979
24,1,MS,2.60000000,1,2998437.98813615,2998437.98813615,0.00178441
25,1,MS,2.20000000,1,2998393.50064098,2998393.50064098,0.00172331
26,1,MS,1.70000000,1,2998350.78244858,2998350.78244858,0.00164963
27,1,MS,1.30000000,1,2998309.40464715,2998309.40464715,0.00159277
28,1,MS,1.00000000,1,2998268.99825328,2998268.99825328,0.00155132
29,1,MS,0.80000000,1,2998229.20861475,2998229.20861475,0.00152423
30,1,MS,0.70000000,1,2998189.70799838,2998189.70799838,0.00151086
31,1,MS,0.50000000,1,2998150.83464928,2998150.83464928,0.00148442
32,1,MS,0.60000000,1,2998111.55305822,2998111.55305822,0.00149758
33,1,MS,0.80000000,1,2998071.45344508,2998071.45344508,0.00152423
34,1,MS,2.00000000,1,2998026.64383844,2998026.64383844,0.00169348
35,1,MS,2.70000000,1,2997978.44422827,2997978.44422827,0.00179999
36,1,MS,2.90000000,1,2997928.51926841,2997928.51926841,0.00183153
37,1,MS,4.10000000,1,2997871.93924117,2997871.93924117,0.00203163
38,1,MS,5.40000000,1,2997807.35405877,2997807.35405877,0.00227084
39,1,MS,6.20000000,1,2997737.03780813,2997737.03780813,0.00243057
40,1,MS,6.50000000,1,2997663.92107382,2997663.92107382,0.00249307
41,1,MS,6.10000000,1,2997592.55226351,2997592.55226351,0.00241006
42,1,MS,5.30000000,1,2997525.34037460,2997525.34037460,0.00225157
43,1,MS,4.70000000,1,2997461.08979702,2997461.08979702,0.00213901
44,1,MS,4.00000000,1,2997400.28172921,2997400.28172921,0.00201422
45,1,MS,3.40000000,1,2997342.32739502,2997342.32739502,0.00191260
46,1,MS,2.80000000,1,2997287.14294215,2997287.14294215,0.00181570
47,1,MS,2.20000000,1,2997234.63766949,2997234.63766949,0.00172331
48,1,MS,1.70000000,1,2997184.29501364,2997184.29501364,0.00164963
49,1,MS,1.30000000,1,2997135.63101462,2997135.63101462,0.00159277
50,1,MS,0.90000000,1,2997088.59914147,2997088.59914147,0.00153772
51,1,MS,0.60000000,1,2997042.76320259,2997042.76320259,0.00149758
52,1,MS,0.40000000,1,2996997.71927051,2996997.71927051,0.00147136
53,1,MS,0.40000000,1,2996952.71014446,2996952.71014446,0.00147136
54,1,MS,0.40000000,1,2996907.76350863,2996907.76350863,0.00147136
55,1,MS,0.30000000,1,2996863.24505069,2996863.24505069,0.00145841
56,1,MS,0.40000000,1,2996818.19678134,2996818.19678134,0.00147136
57,1,MS,0.70000000,1,2996771.41681313,2996771.41681313,0.00151086
58,1,MS,3.90000000,1,2996708.72976059,2996708.72976059,0.00199695
59,1,MS,6.20000000,1,2996631.73230881,2996631.73230881,0.00243057
60,1,MS,7.20000000,1,2996547.72527651,2996547.72527651,0.00264466
61,1,MS,8.20000000,1,2996456.04852287,2996456.04852287,0.00287584
62,1,MS,8.50000000,1,2996361.83487370,2996361.83487370,0.00294871
63,1,MS,8.50000000,1,2996267.45456813,2996267.45456813,0.00294871
64,1,MS,8.20000000,1,2996175.30027987,2996175.30027987,0.00287584
65,1,MS,7.60000000,1,2996087.71299064,2996087.71299064,0.00273502
66,1,MS,6.90000000,1,2996005.22874909,2996005.22874909,0.00257869
67,1,MS,6.30000000,1,2995926.99143023,2995926.99143023,0.00245125
68,1,MS,5.80000000,1,2995852.19079891,2995852.19079891,0.00234947
69,1,MS,5.40000000,1,2995780.12491613,2995780.12491613,0.00227084
70,1,MS,5.00000000,1,2995710.74546054,2995710.74546054,0.00219463
71,1,MS,4.60000000,1,2995643.98602733,2995643.98602733,0.00212076
72,1,MS,4.10000000,1,2995580.30723710,2995580.30723710,0.00203163
73,1,MS,3.80000000,1,2995518.54914074,2995518.54914074,0.00197981
74,1,MS,3.60000000,1,2995458.16774728,2995458.16774728,0.00194594
75,1,MS,3.50000000,1,2995398.64552814,2995398.64552814,0.00192921
76,1,MS,3.40000000,1,2995339.98387087,2995339.98387087,0.00191260
77,1,MS,3.30000000,1,2995282.17534937,2995282.17534937,0.00189613
78,1,MS,3.30000000,1,2995224.72652520,2995224.72652520,0.00189613
79,1,MS,3.30000000,1,2995167.60694412,2995167.60694412,0.00189613
80,1,MS,3.60000000,1,2995109.18391952,2995109.18391952,0.00194594
81,1,MS,4.20000000,1,2995047.43536068,2995047.43536068,0.00204918
82,1,MS,5.50000000,1,2994978.02104976,2994978.02104976,0.00229027
83,1,MS,6.50000000,1,2994902.08847875,2994902.08847875,0.00249307
84,1,MS,7.10000000,1,2994821.99034977,2994821.99034977,0.00262250
85,1,MS,7.10000000,1,2994741.48996206,2994741.48996206,0.00262250
86,1,MS,7.70000000,1,2994656.55301460,2994656.55301460,0.00275804
87,1,MS,8.50000000,1,2994565.42047762,2994565.42047762,0.00294871
88,1,MS,8.60000000,1,2994473.46294972,2994473.46294972,0.00297337
89,1,MS,8.10000000,1,2994385.42964867,2994385.42964867,0.00285192
90,1,MS,7.40000000,1,2994302.66853662,2994302.66853662,0.00268949
91,1,MS,7.00000000,1,2994222.96890359,2994222.96890359,0.00260051
92,1,MS,6.60000000,1,2994146.26483994,2994146.26483994,0.00251423
93,1,MS,6.30000000,1,2994071.86105051,2994071.86105051,0.00245125
94,1,MS,6.00000000,1,2993999.71942714,2993999.71942714,0.00238971
95,1,MS,5.80000000,1,2993929.20634980,2993929.20634980,0.00234947
96,1,MS,5.60000000,1,2993860.32847784,2993860.32847784,0.00230985
97,1,MS,5.40000000,1,2993793.07024009,2993793.07024009,0.00227084
98,1,MS,5.20000000,1,2993727.42289797,2993727.42289797,0.00223244
99,1,MS,4.80000000,1,2993664.42290631,2993664.42290631,0.00215741
100,1,MS,4.70000000,1,2993602.40926569,2993602.40926569,0.00213901
101,1,MS,4.70000000,1,2993540.88197963,2993540.88197963,0.00213901
102,1,MS,4.40000000,1,2993481.37619475,2993481.37619475,0.00208469
103,1,MS,4.30000000,1,2993422.79488382,2993422.79488382,0.00206687
104,1,MS,4.70000000,1,2993362.50604382,2993362.50604382,0.00213901
105,1,MS,5.60000000,1,2993297.27118815,2993297.27118815,0.00230985
106,1,MS,8.70000000,1,2993211.93711441,2993211.93711441,0.00299822
107,1,MS,11.30000000,1,2993105.21900334,2993105.21900334,0.00371457
108,1,MS,12.20000000,1,2992990.02561418,2992990.02561418,0.00399671
109,1,MS,12.80000000,1,2992868.62945068,2992868.62945068,0.00419546
110,1,MS,12.40000000,1,2992750.20334144,2992750.20334144,0.00406199
111,1,MS,12.80000000,1,2992627.36706112,2992627.36706112,0.00419546
112,1,MS,12.60000000,1,2992506.44284581,2992506.44284581,0.00412823
113,1,MS,11.80000000,1,2992393.27233898,2992393.27233898,0.00386900
114,1,MS,10.90000000,1,2992288.36816618,2992288.36816618,0.00359509
115,1,MS,10.00000000,1,2992191.21493513,2992191.21493513,0.00333894
116,1,MS,9.10000000,1,2992101.37867821,2992101.37867821,0.00309951
117,1,MS,8.10000000,1,2992019.06662882,2992019.06662882,0.00285192
118,1,MS,7.10000000,1,2991943.66993987,2991943.66993987,0.00262250
119,1,MS,6.20000000,1,2991874.03169106,2991874.03169106,0.00243057
120,1,MS,5.50000000,1,2991808.59705593,2991808.59705593,0.00229027
121,1,MS,5.10000000,1,2991745.55201972,2991745.55201972,0.00221346
122,1,MS,4.80000000,1,2991684.32389670,2991684.32389670,0.00215741
123,1,MS,4.60000000,1,2991624.40069098,2991624.40069098,0.00212076
124,1,MS,4.20000000,1,2991566.75896116,2991566.75896116,0.00204918
125,1,MS,3.80000000,1,2991511.29848521,2991511.29848521,0.00197981
126,1,MS,3.50000000,1,2991457.49603180,2991457.49603180,0.00192921
127,1,MS,3.00000000,1,2991406.14308368,2991406.14308368,0.00184749
128,1,MS,3.30000000,1,2991353.46608709,2991353.46608709,0.00189613
129,1,MS,3.90000000,1,2991297.44529494,2991297.44529494,0.00199695
130,1,MS,8.10000000,1,2991215.74707590,2991215.74707590,0.00285192
131,1,MS,11.60000000,1,2991104.16617734,2991104.16617734,0.00380654
132,1,MS,12.50000000,1,2990981.80776817,2990981.80776817,0.00409499
133,1,MS,12.30000000,1,2990860.51776656,2990860.51776656,0.00402923
134,1,MS,11.50000000,1,2990746.34523073,2990746.34523073,0.00377566
135,1,MS,11.20000000,1,2990634.25001877,2990634.25001877,0.00368437
136,1,MS,10.50000000,1,2990527.82306607,2990527.82306607,0.00347912
137,1,MS,9.70000000,1,2990427.89471150,2990427.89471150,0.00325732
138,1,MS,9.10000000,1,2990332.76515685,2990332.76515685,0.00309951
139,1,MS,8.50000000,1,2990242.32450023,2990242.32450023,0.00294871
140,1,MS,7.90000000,1,2990156.49240217,2990156.49240217,0.00280462
141,1,MS,7.00000000,1,2990077.14261271,2990077.14261271,0.00260051
142,1,MS,6.10000000,1,2990003.80570781,2990003.80570781,0.00241006
143,1,MS,5.20000000,1,2989936.05532275,2989936.05532275,0.00223244
144,1,MS,4.80000000,1,2989870.75517329,2989870.75517329,0.00215741
145,1,MS,4.60000000,1,2989806.77623856,2989806.77623856,0.00212076
146,1,MS,4.20000000,1,2989745.21184626,2989745.21184626,0.00204918
147,1,MS,3.50000000,1,2989687.46059789,2989687.46059789,0.00192921
148,1,MS,3.00000000,1,2989632.33950904,2989632.33950904,0.00184749
149,1,MS,2.40000000,1,2989580.17696795,2989580.17696795,0.00175361
150,1,MS,1.90000000,1,2989530.37460887,2989530.37460887,0.00167874
151,1,MS,1.50000000,1,2989482.35624124,2989482.35624124,0.00162097
152,1,MS,1.60000000,1,2989433.66190529,2989433.66190529,0.00163524
153,1,MS,2.10000000,1,2989381.67179101,2989381.67179101,0.00170833
154,1,MS,6.50000000,1,2989303.51782924,2989303.51782924,0.00249307
155,1,MS,10.70000000,1,2989190.00096405,2989190.00096405,0.00353667
156,1,MS,11.80000000,1,2989062.75612183,2989062.75612183,0.00386900
157,1,MS,13.00000000,1,2988918.48259742,2988918.48259742,0.00426367
158,1,MS,13.80000000,1,2988761.10819344,2988761.10819344,0.00454669
159,1,MS,14.30000000,1,2988595.58650842,2988595.58650842,0.00473210
160,1,MS,14.20000000,1,2988430.58960850,2988430.58960850,0.00469448
161,1,MS,13.30000000,1,2988277.03105661,2988277.03105661,0.00436788
162,1,MS,12.00000000,1,2988139.08722229,2988139.08722229,0.00393238
163,1,MS,10.80000000,1,2988014.36209745,2988014.36209745,0.00356577
164,1,MS,9.80000000,1,2987899.82161699,2987899.82161699,0.00328432
165,1,MS,8.80000000,1,2987794.77509024,2987794.77509024,0.00302325
166,1,MS,7.70000000,1,2987699.31388944,2987699.31388944,0.00275804
167,1,MS,6.70000000,1,2987611.86254651,2987611.86254651,0.00253555
168,1,MS,5.80000000,1,2987531.08935416,2987531.08935416,0.00234947
169,1,MS,5.00000000,1,2987455.87047485,2987455.87047485,0.00219463
170,1,MS,4.20000000,1,2987385.81873632,2987385.81873632,0.00204918
171,1,MS,3.60000000,1,2987319.46214822,2987319.46214822,0.00194594
172,1,MS,3.00000000,1,2987256.61166953,2987256.61166953,0.00184749
173,1,MS,2.40000000,1,2987197.07405819,2987197.07405819,0.00175361
174,1,MS,1.90000000,1,2987140.17366341,2987140.17366341,0.00167874
175,1,MS,1.50000000,1,2987085.24982111,2987085.24982111,0.00162097
176,1,MS,1.50000000,1,2987029.94007769,2987029.94007769,0.00162097
177,1,MS,2.10000000,1,2986970.57025832,2986970.57025832,0.00170833
178,1,MS,6.40000000,1,2986882.85660149,2986882.85660149,0.00247208
179,1,MS,10.30000000,1,2986758.23838313,2986758.23838313,0.00342242
180,1,MS,11.30000000,1,2986618.89373099,2986618.89373099,0.00371457
181,1,MS,12.80000000,1,2986457.26234336,2986457.26234336,0.00419546
182,1,MS,13.70000000,1,2986280.55621716,2986280.55621716,0.00451041
183,1,MS,14.00000000,1,2986097.36703041,2986097.36703041,0.00462005
184,1,MS,14.30000000,1,2985908.80395795,2985908.80395795,0.00473210
185,1,MS,13.40000000,1,2985733.55047653,2985733.55047653,0.00440312
186,1,MS,12.20000000,1,2985575.09220395,2985575.09220395,0.00399671
187,1,MS,11.30000000,1,2985428.57587064,2985428.57587064,0.00371457
188,1,MS,10.60000000,1,2985291.21561776,2985291.21561776,0.00350779
189,1,MS,9.60000000,1,2985165.69541476,2985165.69541476,0.00323052
190,1,MS,8.70000000,1,2985050.12472554,2985050.12472554,0.00299822
191,1,MS,8.00000000,1,2984941.94855609,2984941.94855609,0.00282818
192,1,MS,7.50000000,1,2984838.97936319,2984838.97936319,0.00271217
193,1,MS,7.30000000,1,2984738.55064640,2984738.55064640,0.00266699
194,1,MS,7.10000000,1,2984640.67708584,2984640.67708584,0.00262250
195,1,MS,7.00000000,1,2984544.57618209,2984544.57618209,0.00260051
196,1,MS,6.70000000,1,2984451.81395769,2984451.81395769,0.00253555
197,1,MS,6.60000000,1,2984360.78422388,2984360.78422388,0.00251423
