plant,axis,metamer,organ,Ag,Amino_Acids_import,An,Conc_Amino_Acids,Conc_Fructan,Conc_Nitrates,Conc_Proteins,Conc_Starch,Conc_Sucrose,Conc_TriosesP,Conc_cytokinins,Cont_Fructan_DM,Cont_WSC_DM,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,NS,N_content,N_content_total,N_content_total_DM,N_tot,Nitrates_import,Nresidual,Nstruct,PARa,Photosynthesis,Photosynthetic_efficiency,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,SLA,SLN,SLN_nonstruct,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Surfacic_NS,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,cytokinins,cytokinins_import,element,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_dry_mass,sum_respi,t,triosesP,width
1,MS,9,blade,0.0,6e-05,0.0,20.9131731985,0.0,0.0003792668,0.085302432,0.0,750.6630109566,0.0,30.2370417193,0.0,19.1298731253,0.0,4.19621,0.0,1.06378,0.59961,288.78913,25.6717562104,3.11018267,0.04272,3.1111843493,0.0033398515,3e-05,3e-05,0.00237,0.0,0.0,,0.0,0.13706,4.44677,0.69026,0.0,17.3839761076,1.7891089189,0.5080278378,0.0,0.0,0.99915,0.0,0.0,14.7674824514,236.63302,0.17239,0.00032,25.60458,,5.0,2.06779,2.39175,0.00614,LeafElement1,0.0,0.00185,0.05,0.23546,False,False,1.0,0.08,800000.0,0.0791,1.0,3e-05,65.06443,0.01125,0.0009,0.0,712.52933,0.1064198425,4.58383,252.0,0.0,0.0085
1,MS,9,blade,0.0,6e-05,0.0,20.3536788875,0.0,0.0007585335,0.0849663717,0.0,569.6929519595,0.0,29.2777496839,0.0,15.2248040526,0.0,4.25351,0.0,1.03003,0.28569,95.15544,22.0533125184,3.2572933505,0.04272,3.2570074124,0.0033354888,3e-05,3e-05,0.00237,0.0,0.0,,0.0,0.04516,4.13958,0.69026,0.0,18.2302619268,1.7867507135,0.5056696324,0.0,0.0,0.97489,0.0,0.0,12.0970903254,236.32137,0.17239,0.00032,25.60458,,5.0,2.01247,2.31587,0.0077,LeafElement1,0.0,0.00185,0.05,0.23546,False,False,1.0,0.08,800000.0,0.0791,1.0,6e-05,64.8081,0.01125,0.0009,0.0,540.75255,0.1014796171,4.18474,253.0,0.0,0.0085
1,MS,9,blade,0.0,8e-05,0.0,20.2928626247,0.0,0.0011511896,0.0845937561,0.0,499.5018866718,0.0,28.31580967,0.0,13.6082809519,0.0,4.62788,0.0,1.07002,-275.51494,43.36652,20.5392001471,3.3241739763,0.04169,3.3120432368,0.0033205928,4e-05,5e-05,0.00235,0.0,0.0,,0.0,0.02034,4.24876,0.71524,0.0,18.5998034959,1.7872091913,0.5030561858,0.0,0.0,1.0443,0.0,0.0,11.0426973874,233.2772,0.20522,0.00037,26.51302,,5.0,1.98312,2.21373,0.01091,LeafElement1,0.0,0.00183,0.05,0.23546,False,False,1.0,0.08,800000.0,0.07818,1.0,9e-05,63.77342,0.01155,0.00182,0.0,468.61269,0.0983881362,4.2691,254.0,0.0,0.0085
1,MS,9,blade,0.0,8e-05,0.0,20.3278587874,0.0,0.0016628294,0.0842282463,0.0,463.0432442227,0.0,27.4382194935,0.0,12.7452626378,0.0,4.57001,0.0,1.01252,0.27375,20.05764,19.7187667516,3.3545844583,0.04169,3.3417578707,0.0033167836,4e-05,5e-05,0.00235,0.0,0.0,,0.0,0.00941,4.15813,0.71524,0.0,18.7918466161,1.7851276284,0.500974623,0.0,0.0,1.02138,0.0,0.0,10.493256546,233.00506,0.20522,0.00037,26.51302,,5.0,1.98654,2.14512,0.01268,LeafElement1,0.0,0.00183,0.05,0.23546,False,False,1.0,0.08,800000.0,0.07818,1.0,0.00013,63.49787,0.01155,0.00182,0.0,434.40865,0.0973826595,4.16754,255.0,0.0,0.0085
1,MS,9,blade,0.0,6e-05,0.0,20.48791095,0.0,0.0020709293,0.083867612,0.0,446.2224738977,0.0,26.5882733627,0.0,12.3427847603,0.0,4.58138,0.0,0.97333,-704.1698,11.55089,19.323227784,3.3649612343,0.04146,3.3498555615,0.0033024505,3e-05,8e-05,0.00232,0.0,0.0,,0.0,0.00535,3.97524,0.69664,0.0,18.7960380519,1.7902502778,0.5013613889,0.0,0.0,1.02048,0.0,0.0,10.280479179,230.02225,0.16214,0.00029,26.1281,,5.0,1.97862,2.05421,0.01127,LeafElement1,0.0,0.0018,0.05,0.23546,False,False,1.0,0.08,800000.0,0.07726,1.0,0.00016,62.48197,0.01156,0.00274,0.0,413.70178,0.0957648625,3.98059,256.0,0.0,0.0085
1,MS,9,blade,0.0,6e-05,0.0,20.623971007,0.0,0.0024592286,0.0835412393,0.0,433.4816205022,0.0,25.8963241004,0.0,12.0357790903,0.0,4.06403,0.0,0.83431,0.23424,5.16043,19.0176606808,3.3743313406,0.04146,3.3589010809,0.0032992308,3e-05,8e-05,0.00232,0.0,0.0,,0.0,0.00239,3.93016,0.69664,0.0,18.8672289379,1.7884615444,0.4995726556,0.0,0.0,0.9035,0.0,0.0,10.0797317632,229.79224,0.16214,0.00029,26.1281,,5.0,1.99176,2.00075,0.01243,LeafElement1,0.0,0.0018,0.05,0.23546,False,False,1.0,0.08,800000.0,0.07726,1.0,0.00019,62.23882,0.01156,0.00274,0.0,401.88948,0.0954035172,3.93255,257.0,0.0,0.0085
1,MS,9,blade,4.1407,0.00021,3.88213,20.8659156406,0.0,0.0,0.0831526291,2.3312156144,449.1516243123,0.0073356039,25.4850668064,0.0,12.4487271011,0.0,4.77881,14.09473,0.96303,0.27004,14.55963,19.3713030317,3.3531974239,0.04124,3.3365235917,0.0032848385,0.00011,0.00011,0.00229,78.1599,26.5708,0.052977294,0.00011,0.00667,4.22719,0.25857,0.0,18.7999843599,1.7836171348,0.4971002809,0.00139,0.0,1.07098,22.20114,325.86182,10.3038931633,226.78426,0.54305,0.00097,27.19548,,5.0,1.99113,1.94553,0.04457,LeafElement1,0.0,0.00178,0.11126,0.23546,False,False,1.0,0.08,800000.0,0.07634,1.0,0.0,61.21162,0.01182,0.00366,1.06779,411.45882,0.0946809298,4.23397,258.0,0.00168,0.0085
1,MS,9,blade,4.1407,0.00021,3.88213,21.0501440922,0.0,0.0,0.082716215,2.9435420487,454.7705113091,0.0064623177,25.0148022007,0.0,12.5960676225,0.0,5.43482,20.18176,1.07193,0.30225,18.28597,19.4764014566,3.3443420635,0.04124,3.328027809,0.003280587,0.00011,0.00011,0.00229,78.1599,26.5708,0.052977294,0.00011,0.00838,4.22045,0.25857,0.0,18.7754788325,1.7812286404,0.4947117865,0.00144,0.0,1.2242,22.12227,325.94055,10.3733181083,226.48058,0.54305,0.00097,27.19548,,5.0,2.00871,1.90963,0.04876,LeafElement1,0.0,0.00178,0.11126,0.23546,False,False,1.0,0.08,800000.0,0.07634,1.0,0.0,60.89036,0.01182,0.00366,1.34826,416.60617,0.0948045062,4.22894,259.0,0.00148,0.0085
1,MS,9,blade,13.57479,0.00109,13.27456,21.3366228943,0.0,0.0,0.0822627601,8.1905425123,505.3476920016,0.0207366141,26.9314232657,0.0,13.8659954693,0.0,5.66575,60.69302,1.24729,0.23171,50.43765,20.6159145898,3.2909715793,0.04101,3.2746043814,0.0032653915,0.00057,0.00014,0.00226,396.8545,86.03157,0.0342059621,0.00056,0.02282,5.39681,0.30023,0.0,18.5324300732,1.7757906364,0.4916997273,0.00757,0.0,1.33937,76.63959,1064.43225,11.1242370851,223.3717,2.77223,0.00488,30.54925,,5.0,2.01071,2.03036,0.2262,LeafElement1,0.0,0.00176,0.24708,0.23546,False,False,1.0,0.08,800000.0,0.07539,1.0,0.0,59.80297,0.01222,0.00461,3.70491,457.17795,0.0949686573,5.42019,260.0,0.00469,0.0085
1,MS,9,blade,13.57479,0.00112,13.27456,21.540681788,0.0,0.0,0.0817661955,8.8463987266,527.6906309413,0.0181721714,28.4111951187,0.0,14.3995303334,0.0,6.21498,74.13469,1.48808,0.33489,65.8247,21.073442159,3.2669950844,0.04101,3.2518535756,0.0032606069,0.00059,0.00014,0.00226,396.8545,86.03157,0.0342059621,0.00058,0.02978,5.42027,0.30023,0.0,18.4256190211,1.7730720909,0.4889811818,0.00783,0.0,1.5278,75.89837,1065.17262,11.4370334776,223.02993,2.77223,0.00488,30.54925,,5.0,2.02994,2.14192,0.21599,LeafElement1,0.0,0.00176,0.24708,0.23546,False,False,1.0,0.08,800000.0,0.07539,1.0,0.0,59.44198,0.01222,0.00461,4.00158,477.39116,0.0955191789,5.45063,261.0,0.00411,0.0085
