sum_dry_mass,Cont_WSC_DM_shoot,dry_mass_phloem,sum_dry_mass_shoot,N_content,mstruct_laminae,mstruct_shoot,Total_Photosynthesis,NS_roots,N_content_total_DM_shoot,C_N_ratio_shoot,Cont_WSC_DM_laminae,mstruct,sum_N_g,plant,N_content_mstruct_roots,shoot_roots_mstruct_ratio,sum_respi_shoot,N_content_mstruct,Tillers_Photosynthesis_An,Cont_WSC_DM,senesced_mstruct,C_respired_shoot,N_content_roots,sum_dry_mass_stem,sum_N_g_shoot,N_content_mstruct_shoot,sum_C_g,sum_NSC_g,C_exudated,sum_dry_mass_laminae,NS_stem,shoot_roots_ratio,C_N_ratio,t,sum_respi_roots,NS_shoot,Total_Transpiration,N_content_shoot,Cont_WSC_DM_stem,Tillers_Photosynthesis,sum_dry_mass_roots,NS,NS_laminae,Cont_WSC_DM_roots,NNI,C_respired_roots,axis,mstruct_stem
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5202600000,NA,1,NA,NA,9.9674700000,NA,NA,NA,0.0012500000,NA,NA,NA,NA,NA,NA,NA,40.7427500000,NA,NA,NA,NA,0.0000000000,4.4852800000,NA,0.0020100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5202800000,NA,1,NA,NA,8.6835700000,NA,NA,NA,0.0012500000,NA,NA,NA,NA,NA,NA,NA,109.4040100000,NA,NA,NA,NA,1.0000000000,4.8397300000,NA,0.0020100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5196300000,NA,1,NA,NA,6.9713300000,NA,NA,NA,0.0019900000,NA,NA,NA,NA,NA,NA,NA,108.8980800000,NA,NA,NA,NA,2.0000000000,5.4568000000,NA,0.0011100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5196500000,NA,1,NA,NA,6.6833400000,NA,NA,NA,0.0019900000,NA,NA,NA,NA,NA,NA,NA,90.2455000000,NA,NA,NA,NA,3.0000000000,6.5111800000,NA,0.0011100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5191900000,NA,1,NA,NA,6.0838900000,NA,NA,NA,0.0026300000,NA,NA,NA,NA,NA,NA,NA,68.0998300000,NA,NA,NA,NA,4.0000000000,6.5170000000,NA,0.0010200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5191900000,NA,1,NA,NA,5.7149600000,NA,NA,NA,0.0026300000,NA,NA,NA,NA,NA,NA,NA,50.0764500000,NA,NA,NA,NA,5.0000000000,6.1916900000,NA,0.0010200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5187000000,NA,1,NA,NA,6.5914200000,NA,NA,NA,0.0034200000,NA,NA,NA,NA,NA,NA,NA,41.3960600000,NA,NA,NA,NA,6.0000000000,7.5457000000,NA,0.0016700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5187400000,NA,1,NA,NA,7.1840700000,NA,NA,NA,0.0034200000,NA,NA,NA,NA,NA,NA,NA,35.8244700000,NA,NA,NA,NA,7.0000000000,11.0641500000,NA,0.0016700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5174100000,NA,1,NA,NA,11.5055200000,NA,NA,NA,0.0057100000,NA,NA,NA,NA,NA,NA,NA,34.6054600000,NA,NA,NA,NA,8.0000000000,13.6334400000,NA,0.0103800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5174800000,NA,1,NA,NA,12.2532300000,NA,NA,NA,0.0057100000,NA,NA,NA,NA,NA,NA,NA,30.2149900000,NA,NA,NA,NA,9.0000000000,16.4162700000,NA,0.0103800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA
