t,organ,Dry_Mass,proteins,amino_acids,mstruct,structure,starch,AA_consumption_mstruct,Export_Nitrates,Total_Organic_Nitrogen,N_tot,sucrose,sucrose_consumption_mstruct,plant,C_exudation,Conc_Nitrates,R_grain_growth_struct,Conc_cytokinins,Conc_Sucrose,Uptake_Nitrates,senesced_mstruct,Nstruct,Respi_growth,Unloading_Sucrose,Conc_Amino_Acids,R_residual,synthetized_mstruct,HATS_LATS,R_Nnit_upt,R_grain_growth_starch,S_Proteins,S_Amino_Acids,Export_cytokinins,Export_Amino_Acids,nitrates,Unloading_Amino_Acids,Proteins_N_Mass,sum_respi,RGR_Structure,regul_transpiration,R_Nnit_red,N_exudation,WSC_g,S_grain_structure,age_from_flowering,S_grain_starch,cytokinins,S_cytokinins,axis
0.0000000000,grains,0.06231509015546219,50.0036100000,NA,NA,2000.8680900000,0.0000000000,NA,NA,NA,0.0007000505,NA,NA,1,NA,NA,0.6821100000,NA,NA,NA,0.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.0000000000,0.0056600000,NA,NA,NA,NA,NA,0.0007000505399999999,NA,0.0000000000,NA,NA,NA,NA,1.6699900000,734.4641800000,0.0000000000,NA,NA,MS
0.0000000000,phloem,NA,NA,11.1909800000,NA,NA,NA,NA,NA,NA,0.0001566737,3300.4186700000,NA,1,NA,NA,NA,NA,78.12914079263085,NA,NA,NA,NA,NA,2.5432166942214494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09429767628571428,NA,NA,NA,NA,NA,MS
0.0000000000,roots,NA,NA,59.0720100000,1.9989900000,NA,NA,0.0071200000,0.0018300000,772.9979200000,0.0143497555,858.7865700000,0.7142600000,1,37.3894800000,126.23329781539677,NA,1.258370477090931,35.80085318085633,3.8831200000,0.0010300000,0.0099900000,0.2459700000,186.9474200000,23.640742575000374,0.8664185258,NA,111.9236800000,1.5416000000,NA,NA,0.6116700000,0.0304400000,0.1070300000,252.3391000000,0.6339000000,NA,4.8300600000,NA,0.0020100000,2.4210100000,2.5718500000,0.024536759142857145,NA,NA,NA,2.5154700000,0.0321400000,MS
1.0000000000,grains,0.06233764115966386,50.0087600000,NA,NA,2001.6388200000,0.0000000000,NA,NA,NA,0.0007001226,NA,NA,1,NA,NA,0.5427600000,NA,NA,NA,0.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.0000000000,0.0059200000,NA,NA,NA,NA,NA,0.00070012264,NA,0.0000000000,NA,NA,NA,NA,1.3288200000,1289.6074200000,0.0000000000,NA,NA,MS
1.0000000000,phloem,NA,NA,18.5046100000,NA,NA,NA,NA,NA,NA,0.0002590645,4152.2134500000,NA,1,NA,NA,NA,NA,98.29268907586896,NA,NA,NA,NA,NA,4.205258672605588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11863467,NA,NA,NA,NA,NA,MS
1.0000000000,roots,NA,NA,56.7769000000,1.9989900000,NA,NA,0.0071200000,0.0018500000,770.7028000000,0.0143583167,1218.7242400000,0.7142600000,1,50.8794800000,127.68734210776442,NA,1.2918023601918969,50.805833612641045,4.7715200000,0.0010300000,0.0099900000,0.2459700000,254.3973900000,22.722234728537913,1.0252500568,NA,99.2606000000,1.8942900000,NA,NA,0.6262600000,0.0312500000,0.1028700000,255.2457200000,1.1337400000,NA,5.4013500000,NA,0.0020100000,2.4787500000,2.3703300000,0.03482069257142857,NA,NA,NA,2.5823000000,0.0756500000,MS
2.0000000000,grains,0.0623559630210084,50.0139100000,NA,NA,2002.2615300000,0.0000000000,NA,NA,NA,0.0007001947,NA,NA,1,NA,NA,0.4327700000,NA,NA,NA,0.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.0000000000,0.0056100000,NA,NA,NA,NA,NA,0.00070019474,NA,0.0000000000,NA,NA,NA,NA,1.0595400000,1725.5613000000,0.0000000000,NA,NA,MS
2.0000000000,phloem,NA,NA,23.7100200000,NA,NA,NA,NA,NA,NA,0.0003319403,4478.5534600000,NA,1,NA,NA,NA,NA,106.03750630984887,NA,NA,NA,NA,NA,5.389207388276609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12795867028571428,NA,NA,NA,NA,NA,MS
2.0000000000,roots,NA,NA,56.3567800000,1.9984500000,NA,NA,0.0253300000,0.0010400000,770.0903200000,0.0144056270,1589.7379100000,2.5396500000,1,44.8328900000,129.62303285045908,NA,1.3849733543496208,66.29045468571476,5.6017500000,0.0016400000,0.0099900000,0.8745800000,224.1644600000,22.560196152017816,1.1591675395,NA,91.4921900000,2.2238900000,NA,NA,0.6323400000,0.0185300000,0.0564800000,259.0451500000,1.1867500000,NA,5.8857800000,NA,0.0011100000,2.5021300000,1.5893400000,0.045421083142857144,NA,NA,NA,2.7678000000,0.1365000000,MS
3.0000000000,grains,0.06237744377731093,50.0208700000,NA,NA,2002.9882800000,0.0000000000,NA,NA,NA,0.0007002922,NA,NA,1,NA,NA,0.5033800000,NA,NA,NA,0.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.0000000000,0.0074300000,NA,NA,NA,NA,NA,0.00070029218,NA,0.0000000000,NA,NA,NA,NA,1.2324200000,2229.1632000000,0.0000000000,NA,NA,MS
