,plant,axis,metamer,organ,element,Eabs_init,Eabs_ripen
0,1,MS,9,blade,LeafElement1,0.45,0.64
1,1,MS,9,internode,HiddenElement,0.0,0.0
2,1,MS,9,sheath,StemElement,0.0049,0.0049
3,1,MS,10,blade,LeafElement1,0.45,0.64
4,1,MS,10,internode,HiddenElement,0.0005,0.0005
5,1,MS,10,sheath,StemElement,0.0057,0.0057
6,1,MS,11,blade,LeafElement1,0.34,0.42
7,1,MS,11,internode,HiddenElement,0.0006,0.0006
8,1,MS,11,sheath,StemElement,0.0126,0.0126
9,1,MS,12,blade,LeafElement1,0.2,0.54
10,1,MS,12,internode,HiddenElement,0.0014,0.0014
11,1,MS,12,internode,StemElement,0.0259,0.0259
12,1,MS,12,sheath,StemElement,0.0685,0.0685
13,1,MS,13,peduncle,HiddenElement,0.0076,0.0076
14,1,MS,13,peduncle,StemElement,0.1433,0.1433
15,1,MS,14,ear,StemElement,0.4121,0.4121
