t,air_temperature,humidity,ambient_CO2,Wind,PARi,air_temperature(original)
0,19.1,0.84,421,2.2,0,19.1
1,17.9,0.9,421,2.2,0,17.9
2,17.1,0.94,421,2.2,0,17.1
3,16.7,0.94,421,2.2,0,16.7
4,16.5,0.94,421,2.2,5.611111111,16.5
5,16.4,0.94,421,2.2,16.83333333,16.4
6,16.6,0.94,421,2.2,28.05555556,16.6
7,16.9,0.84,421,2.2,61.72222222,16.9
8,16.5,0.85,421,2.2,89.77777778,16.5
9,15.5,0.85,421,2.2,134.6666667,15.5
10,16.3,0.77,421,2.2,342.2777778,16.3
11,18.2,0.69,421,2.2,1021.222222,18.2
12,17.8,0.6,421,2.2,1464.5,17.8
13,18.7,0.57,421,2.2,1195.166667,18.7
14,18.8,0.53,421,2.2,1066.111111,18.8
15,19.2,0.5,421,2.2,937.0555556,19.2
16,18.8,0.47,421,2.2,914.6111111,18.8
17,18.1,0.48,421,2.2,437.6666667,18.1
18,16.3,0.54,421,2.2,263.7222222,16.3
19,13.8,0.65,421,2.2,44.88888889,13.8
20,11.6,0.77,421,2.2,0,11.6
21,12.1,0.71,421,2.2,0,12.1
22,12,0.69,421,2.2,0,12
23,10.5,0.77,421,2.2,0,10.5
24,10.4,0.83,421,2.8,0,10.4
25,9.7,0.83,421,2.8,0,9.7
26,11.8,0.76,421,2.8,0,11.8
27,9.5,0.8,421,2.8,0,9.5
28,9.2,0.9,421,2.8,67.33333333,9.2
29,13.7,0.72,421,2.8,336.6666667,13.7
30,14.9,0.68,421,2.8,667.7222222,14.9
31,16.1,0.67,421,2.8,1026.833333,16.1
32,18.3,0.63,421,2.8,1290.555556,18.3
33,19.5,0.62,421,2.8,1548.666667,19.5
34,20.3,0.57,421,2.8,1739.444444,20.3
35,21.3,0.55,421,2.8,1548.666667,21.3
36,22.4,0.53,421,2.8,1795.555556,22.4
37,23,0.43,421,2.8,1582.333333,23
38,23.2,0.33,421,2.8,1464.5,23.2
39,22.8,0.4,421,2.8,1189.555556,22.8
40,22,0.39,421,2.8,892.1666667,22
41,20.9,0.44,421,2.8,538.6666667,20.9
42,19.6,0.5,421,2.8,207.6111111,19.6
43,17.4,0.59,421,2.8,11.22222222,17.4
44,16.1,0.64,421,2.8,0,16.1
45,15.4,0.68,421,2.8,0,15.4
46,13.2,0.77,421,2.8,0,13.2
47,14,0.78,421,2.8,0,14
48,13.3,0.76,421,3.1,0,13.3
49,13,0.76,421,3.1,0,13
50,12.7,0.77,421,3.1,0,12.7
51,12.2,0.79,421,3.1,0,12.2
52,12,0.78,421,3.1,0,12
53,12.4,0.77,421,3.1,101,12.4
54,13.4,0.75,421,3.1,252.5,13.4
55,14,0.73,421,3.1,426.4444444,14
56,14.6,0.68,421,3.1,505,14.6
57,16.9,0.63,421,3.1,1105.388889,16.9
58,17.7,0.57,421,3.1,1307.388889,17.7
59,18.1,0.54,421,3.1,1251.277778,18.1
60,19.5,0.48,421,3.1,1537.444444,19.5
61,19.8,0.49,421,3.1,1369.111111,19.8
62,20.1,0.47,421,3.1,1094.166667,20.1
63,19.1,0.5,421,3.1,931.4444444,19.1
64,19.9,0.48,421,3.1,650.8888889,19.9
65,18.3,0.51,421,3.1,448.8888889,18.3
66,17.1,0.57,421,3.1,134.6666667,17.1
67,16.3,0.61,421,3.1,0,16.3
68,15.2,0.65,421,3.1,0,15.2
69,15.1,0.66,421,3.1,0,15.1
70,14.7,0.7,421,3.1,0,14.7
71,14.6,0.73,421,3.1,0,14.6
72,13.2,0.63,421,3.4,0,13.2
73,13.2,0.63,421,3.4,0,13.2
74,12.9,0.63,421,3.4,0,12.9
75,12.4,0.68,421,3.4,0,12.4
76,11.7,0.72,421,3.4,0,11.7
77,11.6,0.73,421,3.4,28.05555556,11.6
78,11.7,0.73,421,3.4,101,11.7
79,11.9,0.75,421,3.4,224.4444444,11.9
80,12.3,0.75,421,3.4,404,12.3
81,12.6,0.73,421,3.4,499.3888889,12.6
82,13.1,0.73,421,3.4,437.6666667,13.1
83,13.9,0.71,421,3.4,645.2777778,13.9
84,15,0.68,421,3.4,690.1666667,15
85,15.7,0.69,421,3.4,645.2777778,15.7
86,15.9,0.67,421,3.4,549.8888889,15.9
87,16.2,0.65,421,3.4,460.1111111,16.2
88,16.2,0.65,421,3.4,246.8888889,16.2
89,16.2,0.67,421,3.4,179.5555556,16.2
90,15.4,0.75,421,3.4,56.11111111,15.4
91,13.6,0.83,421,3.4,0,13.6
92,14.1,0.78,421,3.4,0,14.1
93,14,0.8,421,3.4,0,14
94,12.7,0.85,421,3.4,0,12.7
95,11.8,0.88,421,3.4,0,11.8
96,10.5,0.86,421,3,0,10.5
97,11.6,0.85,421,3,0,11.6
98,12.1,0.81,421,3,0,12.1
99,12.1,0.84,421,3,0,12.1
100,12.5,0.84,421,3,11.22222222,12.5
101,13.3,0.81,421,3,123.4444444,13.3
102,15.2,0.73,421,3,521.8333333,15.2
103,18,0.63,421,3,1066.111111,18
104,19.8,0.56,421,3,1453.277778,19.8
105,19,0.52,421,3,909,19
106,20.7,0.48,421,3,1593.555556,20.7
107,20.7,0.48,421,3,948.2777778,20.7
108,20.7,0.51,421,3,611.6111111,20.7
109,20.3,0.5,421,3,740.6666667,20.3
110,19.3,0.6,421,3,937.0555556,19.3
111,18.9,0.57,421,3,353.5,18.9
112,19,0.51,421,3,140.2777778,19
113,18.7,0.51,421,3,179.5555556,18.7
114,18,0.54,421,3,56.11111111,18
115,16.9,0.62,421,3,0,16.9
116,15.8,0.7,421,3,0,15.8
117,14.8,0.7,421,3,0,14.8
118,12.5,0.79,421,3,0,12.5
119,12.7,0.81,421,3,0,12.7
120,15.2,0.93,421,2,0,15.2
121,15.2,0.93,421,2,0,15.2
122,15.9,0.88,421,2,0,15.9
123,14.8,0.93,421,2,0,14.8
124,14.9,0.93,421,2,33.66666667,14.9
125,15.4,0.9,421,2,168.3333333,15.4
126,15.9,0.9,421,2,213.2222222,15.9
127,17.9,0.76,421,2,572.3333333,17.9
128,18.5,0.74,421,2,555.5,18.5
129,19.1,0.76,421,2,516.2222222,19.1
130,17.1,0.95,421,2,488.1666667,17.1
131,17.5,0.92,421,2,280.5555556,17.5
132,18.7,0.85,421,2,471.3333333,18.7
133,19,0.83,421,2,650.8888889,19
134,19.1,0.78,421,2,594.7777778,19.1
135,19.7,0.68,421,2,347.8888889,19.7
136,20.1,0.72,421,2,325.4444444,20.1
137,20.5,0.73,421,2,241.2777778,20.5
138,19.8,0.76,421,2,168.3333333,19.8
139,17.3,0.86,421,2,16.83333333,17.3
140,17.4,0.77,421,2,0,17.4
141,16.8,0.74,421,2,0,16.8
142,15,0.85,421,2,0,15
143,15,0.84,421,2,0,15
144,14.3,0.95,421,1.7,0,14.3
145,13.8,0.96,421,1.7,0,13.8
146,13.5,0.96,421,1.7,0,13.5
147,13.9,0.97,421,1.7,0,13.9
148,14.5,0.97,421,1.7,22.44444444,14.5
149,15,0.97,421,1.7,101,15
150,17,0.85,421,1.7,432.0555556,17
151,19.1,0.76,421,1.7,909,19.1
152,18.5,0.78,421,1.7,460.1111111,18.5
153,19,0.81,421,1.7,269.3333333,19
154,19.4,0.81,421,1.7,1133.444444,19.4
155,21.1,0.77,421,1.7,886.5555556,21.1
156,21.6,0.73,421,1.7,1593.555556,21.6
157,22.8,0.66,421,1.7,1369.111111,22.8
158,23,0.69,421,1.7,1453.277778,23
159,23.3,0.62,421,1.7,998.7777778,23.3
160,23.5,0.63,421,1.7,841.6666667,23.5
161,21.6,0.58,421,1.7,566.7222222,21.6
162,21.3,0.57,421,1.7,336.6666667,21.3
163,19.3,0.76,421,1.7,61.72222222,19.3
164,18.6,0.83,421,1.7,0,18.6
165,18.1,0.87,421,1.7,0,18.1
166,17,0.91,421,1.7,0,17
167,14.5,0.93,421,1.7,0,14.5
168,11.8,0.66,421,3.6,0,11.8
169,12.1,0.65,421,3.6,0,12.1
170,12.1,0.68,421,3.6,0,12.1
171,12.8,0.69,421,3.6,0,12.8
172,12.6,0.71,421,3.6,56.11111111,12.6
173,17.1,0.61,421,3.6,303,17.1
174,19.3,0.54,421,3.6,695.7777778,19.3
175,22.3,0.45,421,3.6,976.3333333,22.3
176,22.7,0.45,421,3.6,942.6666667,22.7
177,24.5,0.41,421,3.6,1088.555556,24.5
178,27.1,0.33,421,3.6,1750.666667,27.1
179,28.6,0.32,421,3.6,1896.555556,28.6
180,29.7,0.28,421,3.6,1834.833333,29.7
181,29.4,0.29,421,3.6,1363.5,29.4
182,30.5,0.27,421,3.6,1498.166667,30.5
183,30,0.28,421,3.6,1178.333333,30
184,28.4,0.33,421,3.6,824.8333333,28.4
185,26.8,0.37,421,3.6,280.5555556,26.8
186,25.3,0.42,421,3.6,145.8888889,25.3
187,23,0.43,421,3.6,11.22222222,23
188,21.9,0.44,421,3.6,0,21.9
189,20.6,0.44,421,3.6,0,20.6
190,20.4,0.44,421,3.6,0,20.4
191,19.8,0.45,421,3.6,0,19.8
192,14,0.91,421,5.2,0,14
193,14.9,0.76,421,5.2,0,14.9
194,12.6,0.93,421,5.2,0,12.6
195,10.9,0.94,421,5.2,0,10.9
196,11.7,0.97,421,5.2,56.11111111,11.7
197,14.5,0.82,421,5.2,359.1111111,14.5
198,16.8,0.72,421,5.2,695.7777778,16.8
199,17.7,0.71,421,5.2,981.9444444,17.7
200,19,0.63,421,5.2,1374.722222,19
201,19.7,0.59,421,5.2,1520.611111,19.7
202,20.6,0.58,421,5.2,1346.666667,20.6
203,21.6,0.55,421,5.2,1548.666667,21.6
204,22.4,0.54,421,5.2,1834.833333,22.4
205,23,0.52,421,5.2,1795.555556,23
206,22.9,0.53,421,5.2,1178.333333,22.9
207,23.2,0.52,421,5.2,628.4444444,23.2
208,22.3,0.56,421,5.2,398.3888889,22.3
209,22,0.62,421,5.2,493.7777778,22
210,19.8,0.73,421,5.2,151.5,19.8
211,17.3,0.82,421,5.2,5.611111111,17.3
212,15.6,0.9,421,5.2,0,15.6
213,15.6,0.88,421,5.2,0,15.6
214,15.3,0.88,421,5.2,0,15.3
215,14.3,0.89,421,5.2,0,14.3
216,8.9,0.73,421,3.8,0,8.9
217,8.4,0.72,421,3.8,0,8.4
218,7.5,0.75,421,3.8,0,7.5
219,7.2,0.75,421,3.8,0,7.2
220,7.9,0.73,421,3.8,44.88888889,7.9
221,9.5,0.68,421,3.8,252.5,9.5
222,10.9,0.61,421,3.8,544.2777778,10.9
223,11.8,0.6,421,3.8,892.1666667,11.8
224,12.7,0.55,421,3.8,965.1111111,12.7
225,14.4,0.49,421,3.8,981.9444444,14.4
226,14.5,0.53,421,3.8,965.1111111,14.5
227,16.5,0.47,421,3.8,1346.666667,16.5
228,17.9,0.38,421,3.8,1795.555556,17.9
229,18.6,0.38,421,3.8,1694.555556,18.6
230,19.1,0.36,421,3.8,1520.611111,19.1
231,19.5,0.3,421,3.8,1262.5,19.5
232,18.9,0.34,421,3.8,959.5,18.9
233,18,0.37,421,3.8,617.2222222,18
234,16.5,0.38,421,3.8,286.1666667,16.5
235,13,0.55,421,3.8,44.88888889,13
236,12.1,0.59,421,3.8,0,12.1
237,11.6,0.61,421,3.8,0,11.6
238,10.9,0.66,421,3.8,0,10.9
239,10.8,0.65,421,3.8,0,10.8
240,11.8,0.88,421,5.3,0,11.8
241,11.4,0.86,421,5.3,0,11.4
242,11.3,0.86,421,5.3,0,11.3
243,10.7,0.88,421,5.3,0,10.7
