t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date
0,5.7,0.663278272,462.6666667,1.153333333,0,,4/10/2024 0:00
1,4.308333333,0.726123596,466,1.186666667,0,,4/10/2024 1:00
2,3.383333333,0.768934531,473.1666667,0.785,0,,4/10/2024 2:00
3,3.908333333,0.735919125,471.1666667,1.0525,0,,4/10/2024 3:00
4,2.916666667,0.76980965,479,0.588333333,0,,4/10/2024 4:00
5,1.641666667,0.835589942,493.8333333,0.719166667,19.60833333,,4/10/2024 5:00
6,3.591666667,0.862798492,472.1666667,0.475833333,284,,4/10/2024 6:00
7,7.916666667,0.729898517,456,0.925833333,730.725,,4/10/2024 7:00
8,10.35,0.585100742,456.6666667,1.250833333,1193.925,,4/10/2024 8:00
9,12.45833333,0.497635252,456.5,1.150833333,1593.208333,,4/10/2024 9:00
10,13.91666667,0.440251572,450.8333333,1.109166667,1882.458333,,4/10/2024 10:00
11,15.125,0.421359223,451.6666667,1.286666667,1811.891667,,4/10/2024 11:00
12,16.15,0.481114945,455.5,1.733333333,1994.833333,,4/10/2024 12:00
13,16.325,0.50094416,455.3333333,2.421666667,1898.2,,4/10/2024 13:00
14,16.075,0.560434544,454,3.17,1563.466667,,4/10/2024 14:00
15,15.625,0.585565266,456.8333333,3.189166667,1132.841667,,4/10/2024 15:00
16,14.81666667,0.61797308,458.8333333,3.248333333,653.65,,4/10/2024 16:00
17,13.98333333,0.661344187,465,2.328333333,177.6333333,,4/10/2024 17:00
18,13.36666667,0.654816264,472.6666667,1.561666667,9.075,,4/10/2024 18:00
19,13.40833333,0.646420824,478.1666667,1.538333333,0,,4/10/2024 19:00
20,12.7,0.682810368,486,0.841666667,0,,4/10/2024 20:00
21,10.31666667,0.803960659,533.8333333,0.443333333,0,,4/10/2024 21:00
22,8.691666667,0.865766835,552,0.391666667,0,,4/10/2024 22:00
23,7.8,0.886506936,551.1666667,0.455833333,0,,4/10/2024 23:00
24,8.45,0.896603774,539.8333333,0.35,0,,4/11/2024 0:00
25,8.25,0.902215432,557.1666667,0.4325,0,,4/11/2024 1:00
26,8.8,0.905965325,535.3333333,0.406666667,0,,4/11/2024 2:00
27,9.366666667,0.9093356,528.3333333,0.3275,0,,4/11/2024 3:00
28,8.7,0.898563601,552,0.370833333,0,,4/11/2024 4:00
29,8.516666667,0.918168168,545.1666667,0.369166667,17.41666667,,4/11/2024 5:00
30,10.40833333,0.908802538,491.6666667,0.419166667,220.7916667,,4/11/2024 6:00
