t,air_temperature,humidity,ambient_CO2,Wind,PARi,,,MJ/m2,W/m2,ppfd(1.89換算)
,25.4,0.87,430,1.7,0.0,,2023/7/20 1:00,,0.0,0
,24.7,0.9,430,1.5,0.0,,2023/7/20 2:00,,0.0,0
,25.1,0.87,430,1.8,0.0,,2023/7/20 3:00,,0.0,0
,24.4,0.88,430,2.1,0.0,,2023/7/20 4:00,,0.0,0
,24.1,0.88,430,1.8,10.5,,2023/7/20 5:00,0.02,5.6,10.5
,24.6,0.86,430,1.7,136.5,,2023/7/20 6:00,0.26,72.2,136.5
,25.5,0.8,430,1.5,441.0,,2023/7/20 7:00,0.84,233.3,441
,27.2,0.73,430,1.6,834.8,,2023/7/20 8:00,1.59,441.7,834.75
,28.2,0.67,430,0.9,1176.0,,2023/7/20 9:00,2.24,622.2,1176
,29.5,0.64,430,2,1270.5,,2023/7/20 10:00,2.42,672.2,1270.5
,30.2,0.58,430,2.8,1564.5,,2023/7/20 11:00,2.98,827.8,1564.5
,28.9,0.61,430,3.9,1065.8,,2023/7/20 12:00,2.03,563.9,1065.75
,29.3,0.61,430,4.2,1139.3,,2023/7/20 13:00,2.17,602.8,1139.25
,29.7,0.65,430,3.5,1527.8,,2023/7/20 14:00,2.91,808.3,1527.75
,28.1,0.69,430,3.3,824.3,,2023/7/20 15:00,1.57,436.1,824.25
,28.2,0.66,430,3.6,803.3,,2023/7/20 16:00,1.53,425.0,803.25
,27.4,0.67,430,3.2,745.5,,2023/7/20 17:00,1.42,394.4,745.5
,26.1,0.74,430,2.8,336.0,,2023/7/20 18:00,0.64,177.8,336
,25,0.79,430,2.7,84.0,,2023/7/20 19:00,0.16,44.4,84
,24.5,0.83,430,2.4,0.0,,2023/7/20 20:00,0,0.0,0
,24.3,0.85,430,2.2,0.0,,2023/7/20 21:00,,0.0,0
,23.7,0.89,430,1.7,0.0,,2023/7/20 22:00,,0.0,0
,23.3,0.91,430,1.9,0.0,,2023/7/20 23:00,,0.0,0
,23.7,0.89,430,2.3,0.0,,2023/7/21 0:00,,0.0,0
,23.5,0.88,430,1.5,0.0,,2023/7/21 1:00,,0.0,0
,23.4,0.85,430,1.6,0.0,,2023/7/21 2:00,,0.0,0
,23.4,0.83,430,1.8,0.0,,2023/7/21 3:00,,0.0,0
,22.7,0.86,430,1.6,0.0,,2023/7/21 4:00,,0.0,0
,22.6,0.88,430,1.6,5.3,,2023/7/21 5:00,0.01,2.8,5.25
,23.5,0.84,430,1.8,84.0,,2023/7/21 6:00,0.16,44.4,84
,24.3,0.8,430,2,210.0,,2023/7/21 7:00,0.4,111.1,210
,25.3,0.78,430,2.2,488.3,,2023/7/21 8:00,0.93,258.3,488.25
,25.9,0.77,430,1.8,509.3,,2023/7/21 9:00,0.97,269.4,509.25
