t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date
0,29.7,0.53,430,1.6,1858.5,,2023/7/23 12:00
1,30.5,0.53,430,2.3,1758.8,,2023/7/23 13:00
2,30.8,0.58,430,2.4,1606.5,,2023/7/23 14:00
3,30.7,0.6,430,3.9,1365,,2023/7/23 15:00
4,30.1,0.6,430,3.5,1060.5,,2023/7/23 16:00
5,29.6,0.62,430,2.8,708.8,,2023/7/23 17:00
6,28,0.65,430,3.3,346.5,,2023/7/23 18:00
7,26.3,0.69,430,3.4,63,,2023/7/23 19:00
8,25,0.73,430,2.4,0,,2023/7/23 20:00
9,23.9,0.82,430,2.1,0,,2023/7/23 21:00
10,23.7,0.85,430,2.6,0,,2023/7/23 22:00
11,23.2,0.88,430,1.9,0,,2023/7/23 23:00
12,21.7,0.95,430,1.3,0,,2023/7/24 0:00
13,21.4,0.98,430,1.2,0,,2023/7/24 1:00
14,21.1,0.99,430,0.9,0,,2023/7/24 2:00
15,20.7,1,430,0.9,0,,2023/7/24 3:00
16,20.5,1,430,1.2,0,,2023/7/24 4:00
17,20.6,1,430,0.4,5.3,,2023/7/24 5:00
18,21.9,1,430,0.1,157.5,,2023/7/24 6:00
19,25.3,0.87,430,0.5,504,,2023/7/24 7:00
20,26.5,0.76,430,1,855.8,,2023/7/24 8:00
21,28.3,0.68,430,1.6,1202.3,,2023/7/24 9:00
22,30.2,0.63,430,1.8,1443.8,,2023/7/24 10:00
23,31.7,0.55,430,1.9,1690.5,,2023/7/24 11:00
24,33,0.5,430,3.5,1748.3,,2023/7/24 12:00
25,34.2,0.37,430,3.5,1737.8,,2023/7/24 13:00
26,34.7,0.36,430,2.4,1611.8,,2023/7/24 14:00
27,34.6,0.35,430,2.6,1386,,2023/7/24 15:00
28,33.5,0.52,430,4.3,1044.8,,2023/7/24 16:00
29,31.6,0.51,430,3.9,703.5,,2023/7/24 17:00
30,30.7,0.51,430,3.2,351.8,,2023/7/24 18:00
31,29.1,0.6,430,3.1,68.3,,2023/7/24 19:00
32,27.9,0.69,430,2.9,0,,2023/7/24 20:00
33,25.2,0.83,430,1.3,0,,2023/7/24 21:00
34,26.1,0.8,430,2.1,0,,2023/7/24 22:00
35,25.8,0.85,430,1.9,0,,2023/7/24 23:00
36,24.3,0.94,430,1.6,0,,2023/7/25 0:00
37,24,0.94,430,1.9,0,,2023/7/25 1:00
38,22.7,0.98,430,1.3,0,,2023/7/25 2:00
39,22.3,0.99,430,0.9,0,,2023/7/25 3:00
40,22.2,1,430,0.7,0,,2023/7/25 4:00
41,21.8,1,430,0.7,5.3,,2023/7/25 5:00
42,23.6,1,430,1.2,162.8,,2023/7/25 6:00
43,26.5,0.87,430,1.9,498.8,,2023/7/25 7:00
44,28.3,0.77,430,1.9,892.5,,2023/7/25 8:00
45,29.8,0.7,430,1,1233.8,,2023/7/25 9:00
46,31.2,0.61,430,1.2,1501.5,,2023/7/25 10:00
47,33,0.41,430,1,1664.3,,2023/7/25 11:00
48,34.8,0.38,430,1.4,1737.8,,2023/7/25 12:00
49,35.5,0.43,430,1.8,1737.8,,2023/7/25 13:00
50,35.5,0.4,430,2.1,1627.5,,2023/7/25 14:00
51,35.5,0.37,430,2,1370.3,,2023/7/25 15:00
52,34.1,0.51,430,3.9,1060.5,,2023/7/25 16:00
53,33,0.47,430,3.6,703.5,,2023/7/25 17:00
54,31.5,0.45,430,3.6,346.5,,2023/7/25 18:00
55,29.8,0.46,430,2.5,63,,2023/7/25 19:00
56,28.2,0.68,430,2,0,,2023/7/25 20:00
57,27.6,0.75,430,2.1,0,,2023/7/25 21:00
58,25.4,0.86,430,1.6,0,,2023/7/25 22:00
59,24.6,0.88,430,1.5,0,,2023/7/25 23:00
60,24.2,0.91,430,1.5,0,,2023/7/26 0:00
61,23.7,0.94,430,0.3,0,,2023/7/26 1:00
62,23.2,0.97,430,1.5,0,,2023/7/26 2:00
63,23,0.97,430,1.5,0,,2023/7/26 3:00
64,22.9,0.98,430,0.9,0,,2023/7/26 4:00
65,22.6,0.99,430,1.1,5.3,,2023/7/26 5:00
66,23.9,0.96,430,0.3,152.3,,2023/7/26 6:00
67,27.4,0.81,430,0.5,483,,2023/7/26 7:00
68,28.9,0.72,430,0.8,861,,2023/7/26 8:00
69,31.6,0.65,430,1,1197,,2023/7/26 9:00
70,32.4,0.51,430,1.4,1470,,2023/7/26 10:00
71,34.3,0.44,430,1.4,1659,,2023/7/26 11:00
72,35.1,0.45,430,1.4,1743,,2023/7/26 12:00
73,36,0.4,430,2.1,1706.3,,2023/7/26 13:00
74,36,0.39,430,2.2,1575,,2023/7/26 14:00
75,35.9,0.41,430,2.6,1344,,2023/7/26 15:00
76,34.7,0.48,430,3.9,1029,,2023/7/26 16:00
77,32.9,0.49,430,3.5,661.5,,2023/7/26 17:00
78,31.3,0.5,430,3,204.8,,2023/7/26 18:00
79,29.7,0.53,430,2.2,26.3,,2023/7/26 19:00
80,28.8,0.57,430,2,0,,2023/7/26 20:00
81,29.3,0.64,430,2.4,0,,2023/7/26 21:00
82,28.3,0.69,430,2.1,0,,2023/7/26 22:00
83,28,0.68,430,1.9,0,,2023/7/26 23:00
84,25.7,0.81,430,1.3,0,,2023/7/27 0:00
85,25.7,0.85,430,1.5,0,,2023/7/27 1:00
86,25.3,0.88,430,1.1,0,,2023/7/27 2:00
87,26.3,0.82,430,1.2,0,,2023/7/27 3:00
88,25.3,0.87,430,1.2,0,,2023/7/27 4:00
89,24.9,0.93,430,0.7,0,,2023/7/27 5:00
90,26.3,0.85,430,1.5,99.8,,2023/7/27 6:00
91,27.7,0.81,430,1.5,336,,2023/7/27 7:00
92,29.6,0.75,430,1.4,782.3,,2023/7/27 8:00
