t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date,,,
0,6.891666667,0.989110404,449,2.195,0,,3/1/2024 0:00,,,
1,7.208333333,0.990971766,450,1.45,0,,3/1/2024 1:00,,,
2,7.525,0.991967871,454,0.5075,0,,3/1/2024 2:00,,,
3,7.158333333,0.994235837,451.5,0.969166667,0,,3/1/2024 3:00,,,
4,6.991666667,0.985009993,450,0.6425,0,,3/1/2024 4:00,,,
5,6.391666667,0.981767668,454.5,0.644166667,0,,3/1/2024 5:00,,,
6,6.625,0.946273239,450,0.9775,9.258333333,,3/1/2024 6:00,,,
7,6.791666667,0.950905705,448.5,1.17,82.375,,3/1/2024 7:00,,,
8,7.725,0.893768828,437.5,2.39,259.6916667,,3/1/2024 8:00,,,
9,8.533333333,0.82316799,434,2.430833333,549.0166667,,3/1/2024 9:00,,,
10,8.891666667,0.794560608,432.5,1.800833333,574.9833333,,3/1/2024 10:00,,,
11,10.425,0.719836131,430,2.633333333,1341.3,,3/1/2024 11:00,,,
12,12.04166667,0.631847285,428.5,2.635833333,1916.066667,,3/1/2024 12:00,,,
13,12.40833333,0.585459184,429.5,3.368333333,1622.716667,,3/1/2024 13:00,,,
14,12.25833333,0.563668224,430.5,3.1725,1208.041667,,3/1/2024 14:00,,,
15,11.41666667,0.564599802,434,3.509166667,875.7083333,,3/1/2024 15:00,,,
16,10.46666667,0.579494604,438.5,2.6325,357.4833333,,3/1/2024 16:00,,,
17,9.25,0.595,444.5,2.939166667,55.95833333,,3/1/2024 17:00,,,
18,7.791666667,0.64612232,448.5,1.483333333,0.2,,3/1/2024 18:00,,,
19,7.033333333,0.633355504,445,3.025833333,0,,3/1/2024 19:00,,,
20,6.108333333,0.663180287,442.5,3.31,0,,3/1/2024 20:00,,,
21,5.466666667,0.644637253,441.5,3.288333333,0,,3/1/2024 21:00,,,
22,4.65,0.600980392,439.5,3.446666667,0,,3/1/2024 22:00,,,
