plant,axis,metamer,organ,element,nitrates,starch,max_proteins,amino_acids,proteins,Nstruct,Nresidual,mstruct,senesced_mstruct,max_mstruct,fructan,sucrose,green_area,cytokinins,senesced_length_element,age,length,is_growing
1,MS,9,blade,LeafElement1,0,0,800000,6.605561064,66.05561064,0.0024,0,0.08,0,0.08,0,1600.294185,0.001868,2.5,0,0,1,FALSE
1,MS,9,internode,HiddenElement,0,0,432.4324324,0.815154915,8.151549154,0.000399925,0,0.039992537,0,0.048879768,0,199.6182015,0.000895982,0.1,0,0,1,FALSE
1,MS,9,sheath,StemElement,0,0,431.0344828,0.741396789,7.413967889,0.001712627,0,0.20551519,0,0.20551519,0,1502.036943,0.004440641,0.15,0,0,1,FALSE
1,MS,10,blade,LeafElement1,0,0,100000,8.516859648,85.16859648,0.002135169,0,0.0711723,0,0.062974031,0,2063.334338,0.0024085,3.5,0,0,1,FALSE
1,MS,10,internode,HiddenElement,0,0,431.1926606,1.959287148,19.59287148,0.000961251,0,0.09612512,0,0.117486258,0,479.7976056,0.002153562,0.1,0,0,1,FALSE
1,MS,10,sheath,StemElement,0,0,438.3561644,0.777325816,7.773258162,0.001795623,0,0.215474716,0,0.215474716,0,1574.827556,0.00465584,0.15,0,0,1,FALSE
1,MS,11,blade,LeafElement1,0,0,2450,11.37585115,113.7585115,0.004535169,0,0.1511723,0,0.142974031,0,2755.967019,0.003217,8,0,0,1,FALSE
1,MS,11,internode,HiddenElement,0,0,434.2105263,2.165362426,21.65362426,0.001062354,0,0.106235436,0,0.12984331,0,530.2620948,0.002380071,0.15,0,0,1,FALSE
1,MS,11,sheath,StemElement,0,0,431.5789474,0.525088309,5.250883094,0.001212954,0,0.145554479,0,0.145554479,0,1063.805578,0.003145048,0.2,0,0,1,FALSE
1,MS,12,blade,LeafElement1,0,0,2450,10.31500087,103.1500087,0.006670338,0,0.2223446,0,0.205948063,0,2498.960458,0.002917,15,0,0,1,FALSE
1,MS,12,internode,HiddenElement,0,0,431.25,1.747152513,17.47152513,0.000857175,0,0.085717525,0,0.104765864,0,427.8492784,0.001920393,0.5,0,0,1,FALSE
1,MS,12,internode,StemElement,0,0,437.5,0.436788128,4.367881282,0.000214294,0,0.021429381,0,0.026191466,0,106.9623196,0.000480098,0.5,0,0,1,FALSE
1,MS,12,sheath,StemElement,0,0,430.8943089,0.479403371,4.794033711,0.001107422,0,0.132890614,0,0.132890614,0,971.2499231,0.002871416,0.5,0,0,1,FALSE
1,MS,13,peduncle,HiddenElement,0,0,433.9622642,0,0,0,0,0,0,0,0,0,0,0.7,0,0,1,FALSE
1,MS,13,peduncle,StemElement,0,0,431.0344828,0,0,0,0,0,0,0,0,0,0,0.85,0,0,1,FALSE
1,MS,14,ear,StemElement,0,0,1157.142857,24,243,0.001013,0,0.21,0,0.3536,0,726,0.0015,15,0,0,1,FALSE
