t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
252,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,18.23440,NA,NA,NA,NA,0.25072,NA,0.00000,44.64283,NA,NA,NA,NA,732455.88472,NA,NA,NA,NA,NA,83.72537,NA,NA,0.00000,0.00000,6020.08276,NA,NA,NA
252,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.36783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11639.13366,NA,NA
252,1,MS,roots,0.37730,358.66948,0.86232,0.13282,0.11074,40.95090,13.83413,0.00997,NA,2.06800,2.81359,NA,NA,NA,10.86759,13.02929,2.07559,NA,1.78590,NA,NA,767.11091,10.07182,1793.34742,7.08714,NA,55.07368,3.17622,0.00106,0.50320,254.48631,NA,0.00000,0.00580,0.00185,NA,NA,1427.86387,37.83524,15.74918
253,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,18.36093,NA,NA,NA,NA,0.23657,NA,0.00000,44.95262,NA,NA,NA,NA,737711.76944,NA,NA,NA,NA,NA,83.96727,NA,NA,0.00000,0.00000,6046.59116,NA,NA,NA
253,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.98393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12158.14227,NA,NA
253,1,MS,roots,0.37730,204.87701,0.85389,0.13637,0.13869,40.33718,5.67118,0.00997,NA,2.13278,3.44642,NA,NA,NA,12.03032,13.02929,2.14061,NA,1.87160,NA,NA,766.57234,5.39097,1024.38507,8.68116,NA,54.53511,3.97791,0.00106,0.50320,261.29032,NA,0.00000,0.00580,0.00185,NA,NA,1970.13557,37.83524,17.60952
254,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,18.95549,NA,NA,NA,NA,0.24218,NA,0.00000,46.40826,NA,NA,NA,NA,743110.45353,NA,NA,NA,NA,NA,84.21025,NA,NA,0.00000,0.00000,6073.97564,NA,NA,NA
254,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.05168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12274.07406,NA,NA
254,1,MS,roots,0.68540,123.70036,1.00681,0.16749,0.19918,42.53311,3.01765,0.00994,NA,2.31206,3.90949,NA,NA,NA,13.18393,23.66900,2.32045,NA,2.03234,NA,NA,764.02897,3.22762,618.50181,9.84758,NA,53.99499,4.79733,0.00192,0.50322,269.48023,NA,0.00000,0.00691,0.00375,NA,NA,2213.37571,68.73147,19.40547
255,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,18.89580,NA,NA,NA,NA,0.24156,NA,0.00000,46.26212,NA,NA,NA,NA,748466.76300,NA,NA,NA,NA,NA,84.45100,NA,NA,0.00000,0.00000,6101.27756,NA,NA,NA
255,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.38488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12330.48245,NA,NA
255,1,MS,roots,0.68540,64.07359,1.01139,0.17274,0.23184,40.73518,1.46520,0.00994,NA,2.26934,3.90455,NA,NA,NA,13.15715,23.66900,2.27758,NA,1.99723,NA,NA,764.27464,1.67283,320.36796,9.83513,NA,54.24066,5.58389,0.00192,0.50322,277.91686,NA,0.00000,0.00691,0.00375,NA,NA,2371.96244,68.73147,19.33103
256,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,18.92355,NA,NA,NA,NA,0.24552,NA,0.00000,46.33008,NA,NA,NA,NA,753807.75542,NA,NA,NA,NA,NA,84.69495,NA,NA,0.00000,0.00000,6128.62445,NA,NA,NA
256,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.17899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12299.37389,NA,NA
256,1,MS,roots,0.70429,50.23699,0.79388,0.14026,0.20836,39.64186,1.13046,0.00991,NA,2.25397,3.82606,NA,NA,NA,13.06443,24.32154,2.26174,NA,1.98732,NA,NA,762.09211,1.33112,251.18493,9.63743,NA,54.00626,6.36570,0.00197,0.50331,286.24513,NA,0.00000,0.00544,0.00563,NA,NA,2400.01356,70.62638,19.14446
257,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,17.87340,NA,NA,NA,NA,0.23431,NA,0.00000,43.75900,NA,NA,NA,NA,758831.59105,NA,NA,NA,NA,NA,84.92752,NA,NA,0.00000,0.00000,6154.45656,NA,NA,NA
257,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.78085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12285.15705,NA,NA
257,1,MS,roots,0.70429,26.82630,0.79807,0.14385,0.23004,34.28059,0.59395,0.00991,NA,1.98680,3.35095,NA,NA,NA,11.76502,24.32154,1.99365,NA,1.75424,NA,NA,762.37699,0.71821,134.13148,8.44067,NA,54.29114,7.02813,0.00197,0.50331,293.56919,NA,0.00000,0.00544,0.00563,NA,NA,2452.09331,70.62638,17.10276
258,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,19.28883,NA,NA,NA,NA,0.26139,NA,0.00000,47.22438,NA,NA,NA,NA,764230.27514,NA,NA,NA,NA,NA,85.18545,NA,NA,0.00000,0.00000,6182.33188,NA,NA,NA
258,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.67484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12226.62123,NA,NA
258,1,MS,roots,0.71596,33.34228,1.48941,0.28070,0.47121,39.42019,0.73309,0.00989,NA,2.32943,3.83018,NA,NA,NA,13.43692,24.72436,2.33698,NA,2.06093,NA,NA,759.50517,0.92275,166.71141,9.64782,NA,53.37708,7.58410,0.00200,0.50342,301.78901,NA,0.00000,0.01033,0.00753,NA,NA,2427.70135,71.79611,19.59653
259,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,19.83679,NA,NA,NA,NA,0.27455,NA,0.00000,48.56594,NA,NA,NA,NA,769756.85664,NA,NA,NA,NA,NA,85.45655,NA,NA,0.00000,0.00000,6210.99457,NA,NA,NA
259,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.10757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12224.49165,NA,NA
259,1,MS,roots,0.71596,22.29515,1.48747,0.28929,0.51381,43.68174,0.48385,0.00989,NA,2.64406,4.27377,NA,NA,NA,15.05416,24.72436,2.65263,NA,2.34368,NA,NA,759.43573,0.63020,111.47575,10.76516,NA,53.30764,8.26964,0.00200,0.50342,311.02721,NA,0.00000,0.01033,0.00753,NA,NA,2456.35940,71.79611,21.97199
260,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,19.89676,NA,NA,NA,NA,0.29352,NA,0.00000,48.71276,NA,NA,NA,NA,775273.72725,NA,NA,NA,NA,NA,85.74174,NA,NA,0.00000,0.00000,6239.73940,NA,NA,NA
260,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.86548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12258.70730,NA,NA
260,1,MS,roots,0.73191,38.71849,5.65413,1.24705,1.94669,46.19247,0.77073,0.00986,NA,2.85651,4.48714,NA,NA,NA,16.02541,25.27538,2.86516,NA,2.53694,NA,NA,752.45244,1.16650,193.59245,11.30262,NA,48.31713,7.47096,0.00205,0.50353,319.69936,NA,0.00000,0.04334,0.00948,NA,NA,2427.25056,73.39618,23.36906
261,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,19.42913,NA,NA,NA,NA,0.29800,NA,0.00000,47.56787,NA,NA,NA,NA,780632.27162,NA,NA,NA,NA,NA,86.03356,NA,NA,0.00000,0.00000,6267.80242,NA,NA,NA
261,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.99047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12448.93761,NA,NA
261,1,MS,roots,0.73191,37.76866,5.23506,1.28524,1.83202,50.91165,0.68334,0.00986,NA,3.23493,4.99985,NA,NA,NA,17.88861,25.27538,3.24473,NA,2.87765,NA,NA,748.87132,1.18307,188.84331,12.59409,NA,44.73602,7.03089,0.00205,0.50353,329.48942,NA,0.00000,0.04334,0.00948,NA,NA,2472.58988,73.39618,26.12340
262,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,18.80838,NA,NA,NA,NA,0.30939,NA,0.00000,46.04809,NA,NA,NA,NA,785790.58272,NA,NA,NA,NA,NA,86.33336,NA,NA,0.00000,0.00000,6294.96340,NA,NA,NA
262,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.61549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12742.76369,NA,NA
262,1,MS,roots,0.68534,62.81982,9.11714,2.82943,2.91254,54.05821,0.91852,0.00983,NA,3.51907,5.32432,NA,NA,NA,19.17286,23.66696,3.52901,NA,3.13482,NA,NA,738.62014,2.11035,314.09911,13.41139,NA,36.33991,5.21365,0.00192,0.50363,338.33445,NA,0.00000,0.09292,0.01129,NA,NA,2485.36598,68.72557,28.01626
