t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
252,1,MS,1172642.39714,26.00000,0.01148,1172642.39714,1
253,1,MS,1164361.33515,26.00000,0.01148,1164361.33515,1
254,1,MS,1155140.56096,26.90000,0.01223,1155140.56096,1
255,1,MS,1146143.73029,26.60000,0.01197,1146143.73029,1
256,1,MS,1137631.19976,26.50000,0.01189,1137631.19976,1
257,1,MS,1130280.52010,24.90000,0.01061,1130280.52010,1
258,1,MS,1122283.25451,26.90000,0.01223,1122283.25451,1
259,1,MS,1113737.46746,28.50000,0.01365,1113737.46746,1
260,1,MS,1105200.26282,29.50000,0.01459,1105200.26282,1
261,1,MS,1096180.88430,31.10000,0.01619,1096180.88430,1
262,1,MS,1087165.57361,32.20000,0.01733,1087165.57361,1
263,1,MS,1077865.64378,33.60000,0.01883,1077865.64378,1
264,1,MS,1068894.26887,34.20000,0.01948,1068894.26887,1
265,1,MS,1060449.25334,34.10000,0.01937,1060449.25334,1
266,1,MS,1052617.12738,34.00000,0.01926,1052617.12738,1
267,1,MS,1045282.74982,33.80000,0.01904,1045282.74982,1
268,1,MS,1038770.70075,32.90000,0.01807,1038770.70075,1
269,1,MS,1032897.79231,32.00000,0.01712,1032897.79231,1
270,1,MS,1027928.07330,30.30000,0.01538,1027928.07330,1
271,1,MS,1023520.37543,29.10000,0.01421,1023520.37543,1
272,1,MS,1019564.68234,28.30000,0.01347,1019564.68234,1
273,1,MS,1015838.51956,28.00000,0.01319,1015838.51956,1
274,1,MS,1012334.52624,27.90000,0.01310,1012334.52624,1
275,1,MS,1009099.59994,27.30000,0.01257,1009099.59994,1
276,1,MS,1006171.07480,26.60000,0.01197,1006171.07480,1
277,1,MS,1003436.41221,26.10000,0.01156,1003436.41221,1
278,1,MS,1001018.48583,25.00000,0.01069,1001018.48583,1
279,1,MS,998828.98602,24.00000,0.00994,998828.98602,1
280,1,MS,996752.90846,23.80000,0.00980,996752.90846,1
281,1,MS,994754.95423,23.60000,0.00966,994754.95423,1
282,1,MS,992641.99500,24.90000,0.01061,992641.99500,1
283,1,MS,990068.42405,28.10000,0.01328,990068.42405,1
284,1,MS,987260.58036,30.10000,0.01518,987260.58036,1
285,1,MS,984299.71272,31.40000,0.01650,984299.71272,1
286,1,MS,981207.66547,32.80000,0.01797,981207.66547,1
287,1,MS,977948.18289,34.20000,0.01948,977948.18289,1
288,1,MS,974725.60091,34.70000,0.02002,974725.60091,1
289,1,MS,971405.70687,35.80000,0.02120,971405.70687,1
290,1,MS,968034.13404,36.90000,0.02235,968034.13404,1
291,1,MS,965033.70642,35.10000,0.02045,965033.70642,1
292,1,MS,962450.13822,33.00000,0.01818,962450.13822,1
293,1,MS,960592.86702,28.10000,0.01328,960592.86702,1
294,1,MS,958522.95255,30.10000,0.01518,958522.95255,1
295,1,MS,956615.79645,29.10000,0.01421,956615.79645,1
296,1,MS,954658.48719,29.90000,0.01498,954658.48719,1
297,1,MS,952856.21056,28.90000,0.01402,952856.21056,1
298,1,MS,951146.41156,28.50000,0.01365,951146.41156,1
299,1,MS,949548.72263,27.70000,0.01293,949548.72263,1
300,1,MS,948150.90035,26.10000,0.01156,948150.90035,1
301,1,MS,946676.59387,27.00000,0.01231,946676.59387,1
302,1,MS,945394.66082,25.30000,0.01092,945394.66082,1
303,1,MS,944166.53181,24.80000,0.01054,944166.53181,1
304,1,MS,942959.43829,24.80000,0.01054,942959.43829,1
305,1,MS,941776.29164,24.60000,0.01038,941776.29164,1
306,1,MS,940444.75385,26.50000,0.01189,940444.75385,1
307,1,MS,938883.49519,28.90000,0.01402,938883.49519,1
308,1,MS,937123.53357,31.00000,0.01608,937123.53357,1
309,1,MS,935243.80839,32.10000,0.01723,935243.80839,1
310,1,MS,933371.89839,32.20000,0.01733,933371.89839,1
311,1,MS,931321.49554,33.70000,0.01893,931321.49554,1
312,1,MS,929202.26095,34.40000,0.01969,929202.26095,1
313,1,MS,927053.99803,34.60000,0.01991,927053.99803,1
314,1,MS,924916.98555,34.60000,0.01991,924916.98555,1
315,1,MS,922867.92744,33.80000,0.01904,922867.92744,1
316,1,MS,920840.60696,33.70000,0.01893,920840.60696,1
317,1,MS,918901.62014,32.90000,0.01807,918901.62014,1
318,1,MS,917163.89843,31.20000,0.01629,917163.89843,1
319,1,MS,915574.39108,29.80000,0.01489,915574.39108,1
320,1,MS,914088.96916,28.90000,0.01402,914088.96916,1
321,1,MS,912664.52735,28.30000,0.01347,912664.52735,1
322,1,MS,911254.95347,28.30000,0.01347,911254.95347,1
323,1,MS,909868.03190,28.10000,0.01328,909868.03190,1
324,1,MS,908514.44904,27.90000,0.01310,908514.44904,1
325,1,MS,907181.82660,27.70000,0.01293,907181.82660,1
326,1,MS,905942.21083,26.80000,0.01214,905942.21083,1
327,1,MS,904754.87178,26.20000,0.01164,904754.87178,1
328,1,MS,903567.27734,26.40000,0.01181,903567.27734,1
329,1,MS,902461.06801,25.50000,0.01108,902461.06801,1
330,1,MS,901291.63968,26.50000,0.01189,901291.63968,1
331,1,MS,899956.39921,28.50000,0.01365,899956.39921,1
332,1,MS,898542.75207,29.60000,0.01469,898542.75207,1
333,1,MS,897113.60910,29.80000,0.01489,897113.60910,1
334,1,MS,895368.84659,33.20000,0.01840,895368.84659,1
335,1,MS,893684.48374,32.60000,0.01775,893684.48374,1
336,1,MS,892687.43850,24.90000,0.01061,892687.43850,1
337,1,MS,891207.63370,30.60000,0.01568,891207.63370,1
338,1,MS,889944.55182,28.40000,0.01356,889944.55182,1
339,1,MS,888507.90974,30.30000,0.01538,888507.90974,1
340,1,MS,887004.95568,31.20000,0.01629,887004.95568,1
341,1,MS,885652.05811,29.50000,0.01459,885652.05811,1
342,1,MS,884399.81796,28.50000,0.01365,884399.81796,1
343,1,MS,883174.04993,28.10000,0.01328,883174.04993,1
344,1,MS,882038.57727,27.20000,0.01249,882038.57727,1
345,1,MS,880924.39195,26.90000,0.01223,880924.39195,1
346,1,MS,879868.62705,26.40000,0.01181,879868.62705,1
347,1,MS,878812.73364,26.40000,0.01181,878812.73364,1
348,1,MS,877793.64458,26.20000,0.01164,877793.64458,1
349,1,MS,876802.81314,25.80000,0.01132,876802.81314,1
350,1,MS,875847.95174,25.60000,0.01116,875847.95174,1
