t,plant,axis,organ,Dry_Mass,CN_ratio,proteins,amino_acids,starch,sucrose,mstruct,structure,AA_consumption_mstruct,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,N_tot,Nstruct,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,WSC_g,age_from_flowering,cytokinins,nitrates,regul_transpiration,senesced_mstruct,sucrose_consumption_mstruct,sum_respi,synthetized_mstruct
960,1,MS,grains,0.062322088,2.814814815,50.00018,NA,0,NA,NA,2001.12539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000700003,NA,0.000700003,0,NA,NA,0,0.76885,NA,NA,NA,0.00036,NA,0,1.88236,NA,NA,NA,NA,NA,734.46418,NA,NA,NA,0,NA,NA,NA
960,1,MS,phloem,NA,4470.413644,NA,1.16128,NA,6052.82203,NA,NA,NA,NA,0.268943995,NA,146.0197421,NA,NA,NA,NA,NA,NA,1.62579E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172937772,NA,NA,NA,NA,NA,NA,NA,NA
960,1,MS,roots,NA,63.69427758,NA,47.9082,NA,2088.67677,1.99899,NA,0.00712,97.31662,19.17296235,127.6163463,87.0721702,1.395719839,0.00846,0.00018,0.0329,111.8046,2.23216,0.014232168,0.00999,NA,NA,3.29183,3.45894,NA,NA,1.606149944,0.24597,0.83169,NA,0.2922,NA,NA,761.83411,0.09335,486.58309,8.71269,0.059676479,NA,2.79003,255.1038,0.00196,0.00103,0.71426,8.38239,NA
961,1,MS,grains,0.062346026,2.814814815,50.00059,NA,0,NA,NA,2001.96174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000700008,NA,0.000700008,0,NA,NA,0,0.57458,NA,NA,NA,0.00055,NA,0,1.40672,NA,NA,NA,NA,NA,1289.60742,NA,NA,NA,0,NA,NA,NA
961,1,MS,phloem,NA,2178.773847,NA,2.20571,NA,5599.45703,NA,NA,NA,NA,0.510821944,NA,135.0814821,NA,NA,NA,NA,NA,NA,3.08799E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159984487,NA,NA,NA,NA,NA,NA,NA,NA
961,1,MS,roots,NA,63.71739525,NA,47.02363,NA,2579.73779,1.99899,NA,0.00712,40.55004,18.81895557,131.1594055,107.543384,1.697772375,0.0083,0.00019,0.04002,98.99536,0.73915,0.01431894,0.00999,NA,NA,3.07119,3.67062,NA,NA,1.64995742,0.24597,0.77594,NA,0.36443,NA,NA,760.94954,0.07987,202.75021,9.24589,0.073706794,NA,3.39383,262.18634,0.00196,0.00103,0.71426,8.39369,NA
962,1,MS,grains,0.062364696,2.814814815,50.00114,NA,0,NA,NA,2002.61319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000700016,NA,0.000700016,0,NA,NA,0,0.44867,NA,NA,NA,0.00066,NA,0,1.09847,NA,NA,NA,NA,NA,1725.5613,NA,NA,NA,0,NA,NA,NA
962,1,MS,phloem,NA,1428.739667,NA,3.24105,NA,5391.7427,NA,NA,NA,NA,0.75070573,NA,130.0894045,NA,NA,NA,NA,NA,NA,4.53747E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154049791,NA,NA,NA,NA,NA,NA,NA,NA
962,1,MS,roots,NA,63.39243837,NA,47.4863,NA,2781.55047,1.99868,NA,0.10652,19.53454,19.00706466,134.8700993,115.9744794,2.041177177,0.00466,0.00011,0.02674,91.13259,0.33349,0.014428679,0.00999,NA,NA,2.88185,3.60006,NA,NA,1.614407233,3.67834,0.72822,NA,0.37274,NA,NA,761.30103,0.05871,97.67271,9.06815,0.079472871,NA,4.07966,269.56217,0.00109,0.00164,10.68138,8.0951,NA
963,1,MS,grains,0.0623862,2.814814815,50.00203,NA,0,NA,NA,2003.36262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000700028,NA,0.000700028,0,NA,NA,0,0.51681,NA,NA,NA,0.00103,NA,0,1.2653,NA,NA,NA,NA,NA,2229.1632,NA,NA,NA,0,NA,NA,NA
963,1,MS,phloem,NA,1054.771176,NA,4.30675,NA,5285.59857,NA,NA,NA,NA,0.997541902,NA,127.527671,NA,NA,NA,NA,NA,NA,6.02945E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151017102,NA,NA,NA,NA,NA,NA,NA,NA
