t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
252,1,MS,26.0000000000,1,1172642.3971400000,1172642.3971400000,0.0114800000
253,1,MS,26.0000000000,1,1164361.3351499999,1164361.3351499999,0.0114800000
254,1,MS,26.9000000000,1,1155140.5609599999,1155140.5609599999,0.0122300000
255,1,MS,26.6000000000,1,1146143.7302900001,1146143.7302900001,0.0119700000
256,1,MS,26.5000000000,1,1137631.1997600000,1137631.1997600000,0.0118900000
257,1,MS,24.9000000000,1,1130280.5201000001,1130280.5201000001,0.0106100000
258,1,MS,26.9000000000,1,1122283.2545100001,1122283.2545100001,0.0122300000
259,1,MS,28.5000000000,1,1113737.4674600000,1113737.4674600000,0.0136500000
260,1,MS,29.5000000000,1,1105200.2628200001,1105200.2628200001,0.0145900000
261,1,MS,31.1000000000,1,1096180.8843000000,1096180.8843000000,0.0161900000
262,1,MS,32.2000000000,1,1087165.5736100001,1087165.5736100001,0.0173300000
263,1,MS,33.6000000000,1,1077865.6437800000,1077865.6437800000,0.0188300000
264,1,MS,34.2000000000,1,1068894.2688700000,1068894.2688700000,0.0194800000
265,1,MS,34.1000000000,1,1060449.2533400001,1060449.2533400001,0.0193700000
266,1,MS,34.0000000000,1,1052617.1273800000,1052617.1273800000,0.0192600000
267,1,MS,33.8000000000,1,1045282.7498200000,1045282.7498200000,0.0190400000
268,1,MS,32.9000000000,1,1038770.7007500000,1038770.7007500000,0.0180700000
269,1,MS,32.0000000000,1,1032897.7923100000,1032897.7923100000,0.0171200000
270,1,MS,30.3000000000,1,1027928.0733000000,1027928.0733000000,0.0153800000
271,1,MS,29.1000000000,1,1023520.3754300000,1023520.3754300000,0.0142100000
272,1,MS,28.3000000000,1,1019564.6823400001,1019564.6823400001,0.0134700000
273,1,MS,28.0000000000,1,1015838.5195600000,1015838.5195600000,0.0131900000
274,1,MS,27.9000000000,1,1012334.5262400000,1012334.5262400000,0.0131000000
275,1,MS,27.3000000000,1,1009099.5999400000,1009099.5999400000,0.0125700000
276,1,MS,26.6000000000,1,1006171.0747999999,1006171.0747999999,0.0119700000
277,1,MS,26.1000000000,1,1003436.4122100000,1003436.4122100000,0.0115600000
278,1,MS,25.0000000000,1,1001018.4858300000,1001018.4858300000,0.0106900000
279,1,MS,24.0000000000,1,998828.9860200000,998828.9860200000,0.0099400000
280,1,MS,23.8000000000,1,996752.9084599999,996752.9084599999,0.0098000000
281,1,MS,23.6000000000,1,994754.9542300000,994754.9542300000,0.0096600000
282,1,MS,24.9000000000,1,992641.9950000000,992641.9950000000,0.0106100000
283,1,MS,28.1000000000,1,990068.4240500000,990068.4240500000,0.0132800000
284,1,MS,30.1000000000,1,987260.5803600000,987260.5803600000,0.0151800000
285,1,MS,31.4000000000,1,984299.7127200000,984299.7127200000,0.0165000000
286,1,MS,32.8000000000,1,981207.6654700000,981207.6654700000,0.0179700000
287,1,MS,34.2000000000,1,977948.1828900001,977948.1828900001,0.0194800000
288,1,MS,34.7000000000,1,974725.6009100000,974725.6009100000,0.0200200000
289,1,MS,35.8000000000,1,971405.7068700000,971405.7068700000,0.0212000000
290,1,MS,36.9000000000,1,968034.1340400000,968034.1340400000,0.0223500000
291,1,MS,35.1000000000,1,965033.7064199999,965033.7064199999,0.0204500000
292,1,MS,33.0000000000,1,962450.1382200000,962450.1382200000,0.0181800000
293,1,MS,28.1000000000,1,960592.8670200000,960592.8670200000,0.0132800000
294,1,MS,30.1000000000,1,958522.9525500000,958522.9525500000,0.0151800000
295,1,MS,29.1000000000,1,956615.7964500000,956615.7964500000,0.0142100000
296,1,MS,29.9000000000,1,954658.4871900000,954658.4871900000,0.0149800000
297,1,MS,28.9000000000,1,952856.2105600000,952856.2105600000,0.0140200000
298,1,MS,28.5000000000,1,951146.4115600000,951146.4115600000,0.0136500000
299,1,MS,27.7000000000,1,949548.7226300000,949548.7226300000,0.0129300000
300,1,MS,26.1000000000,1,948150.9003500000,948150.9003500000,0.0115600000
301,1,MS,27.0000000000,1,946676.5938700000,946676.5938700000,0.0123100000
302,1,MS,25.3000000000,1,945394.6608200000,945394.6608200000,0.0109200000
303,1,MS,24.8000000000,1,944166.5318100000,944166.5318100000,0.0105400000
