t,plant,axis,plant,axis,sum_respi_roots,Total_Transpiration,C_exudated,mstruct,senesced_mstruct,C_N_ratio,C_N_ratio_shoot,C_respired_roots,C_respired_shoot,Cont_WSC_DM,Cont_WSC_DM_laminae,Cont_WSC_DM_roots,Cont_WSC_DM_shoot,Cont_WSC_DM_stem,NNI,NS,NS_laminae,NS_roots,NS_shoot,NS_stem,N_content,N_content_mstruct,N_content_mstruct_roots,N_content_mstruct_shoot,N_content_roots,N_content_shoot,N_content_total_DM_shoot,Tillers_Photosynthesis,Tillers_Photosynthesis_An,Total_Photosynthesis,dry_mass_phloem,mstruct_laminae,mstruct_shoot,mstruct_stem,shoot_roots_mstruct_ratio,shoot_roots_ratio,sum_C_g,sum_NSC_g,sum_N_g,sum_N_g_shoot,sum_dry_mass,sum_dry_mass_laminae,sum_dry_mass_roots,sum_dry_mass_shoot,sum_dry_mass_stem,sum_respi_shoot
960.0000000000,1,MS,1,MS,4.4777100000,0.0019600000,38.6518100000,3.4544500000,0.0012600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7138800000
961.0000000000,1,MS,1,MS,4.7916600000,0.0019600000,103.9394000000,3.4544700000,0.0012600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4712600000
962.0000000000,1,MS,1,MS,5.3740500000,0.0010900000,104.2511800000,3.4538100000,0.0020000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7975600000
963.0000000000,1,MS,1,MS,6.4014300000,0.0010900000,86.9372000000,3.4538300000,0.0020000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5171600000
964.0000000000,1,MS,1,MS,6.4049900000,0.0010000000,65.9259600000,3.4533500000,0.0026500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9303500000
965.0000000000,1,MS,1,MS,6.0857400000,0.0010000000,48.6872900000,3.4533600000,0.0026500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5655500000
966.0000000000,1,MS,1,MS,7.4184400000,0.0018500000,40.3705700000,3.4528500000,0.0034400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5888700000
967.0000000000,1,MS,1,MS,10.8826200000,0.0018500000,35.1249900000,3.4528900000,0.0034400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0338300000
968.0000000000,1,MS,1,MS,13.4145000000,0.0115300000,34.1328000000,3.4515100000,0.0057500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4928700000
969.0000000000,1,MS,1,MS,16.1643200000,0.0115300000,30.4442100000,3.4515800000,0.0057500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2730500000
