t,plant,axis,organ,Dry_Mass,CN_ratio,proteins,amino_acids,starch,sucrose,mstruct,structure,AA_consumption_mstruct,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,N_tot,Nstruct,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,WSC_g,age_from_flowering,cytokinins,nitrates,regul_transpiration,senesced_mstruct,sucrose_consumption_mstruct,sum_respi,synthetized_mstruct
960.0000000000,1,MS,grains,0.062314958277310914,2.8148148148148144,50.0037000000,NA,0.0000000000,NA,NA,2000.8631500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007000518,NA,0.0007000518,0.0000000000,NA,NA,0.0000000000,0.6784100000,NA,NA,NA,0.0058500000,NA,0.0000000000,1.6609400000,NA,NA,NA,NA,NA,734.4641800000,NA,NA,NA,0.0000000000,NA,NA,NA
960.0000000000,1,MS,phloem,NA,246.05468491745953,NA,11.1622200000,NA,3167.6131000000,NA,NA,NA,NA,2.5850065857082893,NA,76.41383095234649,NA,NA,NA,NA,NA,NA,0.0001562711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09050323142857143,NA,NA,NA,NA,NA,NA,NA,NA
960.0000000000,1,MS,roots,NA,62.17762067138822,NA,58.9730800000,NA,852.0692200000,1.9989900000,NA,0.0071200000,35.3286000000,23.60115058104343,126.20851029770033,35.52082218186851,1.25856057308941,0.3123800000,0.0445500000,0.0296700000,111.9257500000,2.4451500000,0.0143476768,0.0099900000,NA,NA,2.4124600000,1.5302600000,NA,NA,0.8609093236,0.2459700000,0.6095100000,NA,0.0314200000,NA,NA,772.8989900000,0.6224600000,176.6430000000,3.8545700000,0.024344834857142852,NA,2.5158500000,252.2895500000,0.0019600000,0.0010300000,0.7142600000,4.8047700000,NA
961.0000000000,1,MS,grains,0.062337416840336134,2.814814814814815,50.0090400000,NA,0.0000000000,NA,NA,2001.6299600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007001266,NA,0.00070012656,0.0000000000,NA,NA,0.0000000000,0.5401400000,NA,NA,NA,0.0061400000,NA,0.0000000000,1.3224000000,NA,NA,NA,NA,NA,1289.6074200000,NA,NA,NA,0.0000000000,NA,NA,NA
961.0000000000,1,MS,phloem,NA,187.27751455589066,NA,18.4913500000,NA,3979.4584000000,NA,NA,NA,NA,4.282300902888141,NA,95.99780381167974,NA,NA,NA,NA,NA,NA,0.0002588789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11369881142857144,NA,NA,NA,NA,NA,NA,NA,NA
961.0000000000,1,MS,roots,NA,62.42640448932572,NA,56.6520800000,NA,1192.9427000000,1.9989900000,NA,0.0071200000,48.4147700000,22.67228150215859,127.61546581023416,49.73106001864275,1.2902515770464085,0.3000900000,0.0450400000,0.0304200000,99.2659800000,2.2991900000,0.0143545577,0.0099900000,NA,NA,2.4593300000,1.8574700000,NA,NA,1.0091079028,0.2459700000,0.6213600000,NA,0.0714600000,NA,NA,770.5779900000,1.1248400000,242.0738300000,4.6787600000,0.03408407714285715,NA,2.5792000000,255.1020400000,0.0019600000,0.0010300000,0.7142600000,5.3289500000,NA
962.0000000000,1,MS,grains,0.06235567454621849,2.8148148148148153,50.0143800000,NA,0.0000000000,NA,NA,2002.2497400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007002013,NA,0.0007002013199999999,0.0000000000,NA,NA,0.0000000000,0.4307600000,NA,NA,NA,0.0058300000,NA,0.0000000000,1.0546300000,NA,NA,NA,NA,NA,1725.5613000000,NA,NA,NA,0.0000000000,NA,NA,NA
962.0000000000,1,MS,phloem,NA,157.90646400670755,NA,23.7110500000,NA,4290.2834900000,NA,NA,NA,NA,5.492149249669207,NA,103.51571863150164,NA,NA,NA,NA,NA,NA,0.0003319547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12257952828571428,NA,NA,NA,NA,NA,NA,NA,NA
962.0000000000,1,MS,roots,NA,62.50816825780682,NA,56.1992400000,NA,1546.9188500000,1.9984500000,NA,0.0239100000,42.9556400000,22.497131276739474,129.48820335760212,64.50494341447956,1.3774425179514123,0.1655100000,0.0254000000,0.0180500000,91.5013700000,1.5605700000,0.0143996492,0.0099900000,NA,NA,2.4810800000,2.1701800000,NA,NA,1.1375991499,0.8255700000,0.6270200000,NA,0.1280000000,NA,NA,769.9313600000,1.1870100000,214.7782100000,5.4664500000,0.04419768142857143,NA,2.7527500000,258.7757000000,0.0010900000,0.0016400000,2.3973300000,5.7895000000,NA
963.0000000000,1,MS,grains,0.06237708812605041,2.8148148148148144,50.0216200000,NA,0.0000000000,NA,NA,2002.9731300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007003027,NA,0.00070030268,0.0000000000,NA,NA,0.0000000000,0.5010600000,NA,NA,NA,0.0077300000,NA,0.0000000000,1.2267400000,NA,NA,NA,NA,NA,2229.1632000000,NA,NA,NA,0.0000000000,NA,NA,NA
