t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
960,1,MS,5.7000000000,1,1290114.6551800000,1290114.6551800000,0.0023300000
961,1,MS,4.3083300000,1,1289672.4903599999,1289672.4903599999,0.0020700000
962,1,MS,3.3833300000,1,1289133.2899400000,1289133.2899400000,0.0019100000
963,1,MS,3.9083300000,1,1288448.3926400000,1288448.3926400000,0.0020000000
964,1,MS,2.9166700000,1,1287737.6144200000,1287737.6144200000,0.0018300000
965,1,MS,1.6416700000,1,1287047.3941500001,1287047.3941500001,0.0016400000
966,1,MS,3.5916700000,1,1286185.9442799999,1286185.9442799999,0.0019400000
967,1,MS,7.9166700000,1,1284888.7588700000,1284888.7588700000,0.0028100000
968,1,MS,10.3500000000,1,1283272.1753100001,1283272.1753100001,0.0034400000
969,1,MS,12.4583300000,1,1281300.5067400001,1281300.5067400001,0.0040800000
970,1,MS,13.9166700000,1,1279077.5293300000,1279077.5293300000,0.0045900000
971,1,MS,15.1250000000,1,1276568.4947500001,1276568.4947500001,0.0050500000
972,1,MS,16.1500000000,1,1273846.4383700001,1273846.4383700001,0.0054800000
973,1,MS,16.3250000000,1,1271004.9253300000,1271004.9253300000,0.0055500000
974,1,MS,16.0750000000,1,1268209.0819300001,1268209.0819300001,0.0054500000
975,1,MS,15.6250000000,1,1265431.5846500001,1265431.5846500001,0.0052600000
976,1,MS,14.8166700000,1,1262816.9835099999,1262816.9835099999,0.0049300000
977,1,MS,13.9833300000,1,1260314.4680399999,1260314.4680399999,0.0046100000
978,1,MS,13.3666700000,1,1257936.3392300000,1257936.3392300000,0.0043900000
979,1,MS,13.4083300000,1,1255520.2067000000,1255520.2067000000,0.0044100000
980,1,MS,12.7000000000,1,1253261.0683800001,1253261.0683800001,0.0041600000
981,1,MS,10.3166700000,1,1251391.4827099999,1251391.4827099999,0.0034300000
982,1,MS,8.6916700000,1,1249771.2411100001,1249771.2411100001,0.0030000000
983,1,MS,7.8000000000,1,1248265.1113700001,1248265.1113700001,0.0027800000
984,1,MS,8.4500000000,1,1246692.1063699999,1246692.1063699999,0.0029400000
985,1,MS,8.2500000000,1,1245146.3372000000,1245146.3372000000,0.0028900000
986,1,MS,8.8000000000,1,1243548.9331499999,1243548.9331499999,0.0030200000
987,1,MS,9.3666700000,1,1241878.3408800000,1241878.3408800000,0.0031700000
988,1,MS,8.7000000000,1,1240319.5998400000,1240319.5998400000,0.0030000000
989,1,MS,8.5166700000,1,1238788.3141999999,1238788.3141999999,0.0029500000
990,1,MS,10.4083300000,1,1237027.4636200001,1237027.4636200001,0.0034500000
991,1,MS,12.9416700000,1,1234872.6667100000,1234872.6667100000,0.0042400000
992,1,MS,14.3250000000,1,1232524.3382999999,1232524.3382999999,0.0047400000
993,1,MS,14.1500000000,1,1230212.4905800000,1230212.4905800000,0.0046800000
994,1,MS,15.6166700000,1,1227673.4041299999,1227673.4041299999,0.0052500000
995,1,MS,16.6500000000,1,1224905.5408399999,1224905.5408399999,0.0057000000
996,1,MS,17.2166700000,1,1222066.2578199999,1222066.2578199999,0.0059600000
997,1,MS,16.8166700000,1,1219276.1154000000,1219276.1154000000,0.0057700000
998,1,MS,17.0750000000,1,1216461.5077300000,1216461.5077300000,0.0058900000
999,1,MS,16.7416700000,1,1213671.7903799999,1213671.7903799999,0.0057400000
1000,1,MS,16.0500000000,1,1211052.7634200000,1211052.7634200000,0.0054400000
1001,1,MS,15.2916700000,1,1208553.1330400000,1208553.1330400000,0.0051200000
1002,1,MS,14.7500000000,1,1206188.1826500001,1206188.1826500001,0.0049000000
1003,1,MS,13.9416700000,1,1203958.3273000000,1203958.3273000000,0.0046000000
1004,1,MS,12.7500000000,1,1201962.4738200000,1201962.4738200000,0.0041800000
