N_content_total_DM_shoot,N_content_mstruct_roots,sum_dry_mass_shoot,C_N_ratio,N_content_mstruct_shoot,NS,plant,axis,shoot_roots_ratio,senesced_mstruct,Cont_WSC_DM_laminae,sum_dry_mass_stem,dry_mass_phloem,sum_dry_mass,NS_shoot,Tillers_Photosynthesis_An,sum_NSC_g,N_content_mstruct,sum_dry_mass_laminae,Total_Transpiration,sum_dry_mass_roots,mstruct_laminae,Cont_WSC_DM_shoot,C_exudated,shoot_roots_mstruct_ratio,NS_laminae,sum_N_g_shoot,N_content,NS_stem,Cont_WSC_DM_roots,sum_C_g,sum_N_g,sum_respi_roots,t,Tillers_Photosynthesis,C_N_ratio_shoot,Total_Photosynthesis,NS_roots,C_respired_roots,mstruct_stem,N_content_roots,NNI,mstruct_shoot,Cont_WSC_DM_stem,sum_respi_shoot,N_content_shoot,Cont_WSC_DM,C_respired_shoot,mstruct
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0018500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0058000000,NA,NA,NA,223.9847000000,NA,NA,NA,NA,NA,NA,NA,NA,13.6840700000,252.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9320800000,NA,NA,NA,2.4505900000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0018500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0058000000,NA,NA,NA,156.2507700000,NA,NA,NA,NA,NA,NA,NA,NA,16.7816600000,253.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2777200000,NA,NA,NA,2.4508800000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0037500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069100000,NA,NA,NA,97.9037200000,NA,NA,NA,NA,NA,NA,NA,NA,18.9729900000,254.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5042200000,NA,NA,NA,2.4512200000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0037500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069100000,NA,NA,NA,49.3340400000,NA,NA,NA,NA,NA,NA,NA,NA,19.1558100000,255.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3899100000,NA,NA,NA,2.4515300000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0056300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0054500000,NA,NA,NA,39.8023300000,NA,NA,NA,NA,NA,NA,NA,NA,19.0191700000,256.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5382500000,NA,NA,NA,2.4519300000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0056300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0054500000,NA,NA,NA,20.0837500000,NA,NA,NA,NA,NA,NA,NA,NA,17.0583600000,257.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9447800000,NA,NA,NA,2.4521900000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0075300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0089300000,NA,NA,NA,26.0678700000,NA,NA,NA,NA,NA,NA,NA,NA,19.5360500000,258.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.8377000000,NA,NA,NA,2.4526200000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0075300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0089300000,NA,NA,NA,14.9171000000,NA,NA,NA,NA,NA,NA,NA,NA,21.9657800000,259.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7599500000,NA,NA,NA,2.4530000000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0094800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0346300000,NA,NA,NA,25.3322700000,NA,NA,NA,NA,NA,NA,NA,NA,23.3076500000,260.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.0810600000,NA,NA,NA,2.4535300000
NA,NA,NA,NA,NA,NA,1,MS,NA,0.0094800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0346300000,NA,NA,NA,17.6487500000,NA,NA,NA,NA,NA,NA,NA,NA,26.0963900000,261.0000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.3892300000,NA,NA,NA,2.4540100000
