R_residual,sucrose,Conc_Sucrose,Export_Amino_Acids,RGR_Structure,WSC_g,plant,axis,cytokinins,senesced_mstruct,amino_acids,structure,Export_Nitrates,nitrates,HATS_LATS,N_exudation,sum_respi,Export_cytokinins,Uptake_Nitrates,Respi_growth,N_tot,AA_consumption_mstruct,S_Amino_Acids,R_Nnit_red,S_grain_starch,sucrose_consumption_mstruct,S_grain_structure,Unloading_Sucrose,age_from_flowering,synthetized_mstruct,Conc_cytokinins,Proteins_N_Mass,organ,proteins,S_Proteins,t,C_exudation,R_grain_growth_starch,R_grain_growth_struct,Conc_Amino_Acids,Dry_Mass,Conc_Nitrates,Nstruct,Unloading_Amino_Acids,S_cytokinins,Total_Organic_Nitrogen,starch,R_Nnit_upt,regul_transpiration,mstruct
NA,NA,NA,NA,0.0000000000,NA,1,MS,NA,0.0000000000,NA,6004.4512600000,NA,NA,NA,NA,NA,NA,NA,NA,0.0011692885,NA,NA,NA,0.0000000000,NA,17.9609800000,NA,1197319.8524100001,NA,NA,0.0011692885400000001,grains,83.5206100000,0.0689000000,252.0000000000,NA,0.0000000000,7.3361700000,NA,0.18015346013865544,NA,NA,NA,NA,NA,0.0000000000,NA,NA,NA
NA,11664.9360100000,396.6710060978512,NA,NA,0.3332838859999999,1,MS,NA,NA,44.7451900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0006264327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phloem,NA,NA,252.0000000000,NA,NA,NA,14.607156643910242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.7823047771,1428.8998000000,236.6354994700583,0.8360000000,NA,0.04082570857142857,1,MS,3.1763100000,0.0018500000,53.3595500000,NA,0.1329000000,254.4885900000,40.9507000000,13.4657500000,15.7537100000,0.1108100000,7.0907600000,13.0292900000,0.0142798740,0.3773000000,2.0757600000,2.0681700000,NA,37.8352400000,NA,1802.9767800000,NA,NA,6.312221780604133,NA,roots,NA,NA,252.0000000000,360.5953600000,NA,NA,84.83235294117648,NA,505.7404411764706,0.0099700000,6.9159900000,1.7861800000,765.3967800000,NA,2.8150300000,0.0058000000,0.5032000000
NA,NA,NA,NA,0.0000000000,NA,1,MS,NA,0.0000000000,NA,6015.1025200000,NA,NA,NA,NA,NA,NA,NA,NA,0.0011702225,NA,NA,NA,0.0000000000,NA,18.0396700000,NA,1199439.7048100000,NA,NA,0.00117022248,grains,83.5873200000,0.0655200000,253.0000000000,NA,0.0000000000,7.3683100000,NA,0.18046464905882356,NA,NA,NA,NA,NA,0.0000000000,NA,NA,NA
NA,12200.5309900000,414.83504530345556,NA,NA,0.3485865997142856,1,MS,NA,NA,44.3137600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0006203926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phloem,NA,NA,253.0000000000,NA,NA,NA,14.464603734168952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.9881933096,1975.0105500000,327.0751440779014,0.8119000000,NA,0.05642887285714285,1,MS,3.9776600000,0.0018500000,51.8215200000,NA,0.1364600000,261.2963600000,40.3366400000,5.4276500000,17.5973600000,0.1387600000,8.6948100000,13.0292900000,0.0143536503,0.3773000000,2.1410400000,2.1332100000,NA,37.8352400000,NA,1034.2862400000,NA,NA,7.9047297297297305,NA,roots,NA,NA,253.0000000000,206.8572500000,NA,NA,82.38715421303658,NA,519.2693958664547,0.0099700000,3.7566500000,1.8719900000,763.8587500000,NA,3.4518400000,0.0058000000,0.5032000000
NA,NA,NA,NA,0.0000000000,NA,1,MS,NA,0.0000000000,NA,6026.8323800000,NA,NA,NA,NA,NA,NA,NA,NA,0.0011712282,NA,NA,NA,0.0000000000,NA,19.8534800000,NA,1201766.8262300000,NA,NA,0.0011712282399999998,grains,83.6591600000,0.0720700000,254.0000000000,NA,0.0000000000,8.1091700000,NA,0.18080718321008402,NA,NA,NA,NA,NA,0.0000000000,NA,NA,NA
NA,12326.1819500000,419.049220048248,NA,NA,0.35217662714285713,1,MS,NA,NA,44.7440100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0006264161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phloem,NA,NA,254.0000000000,NA,NA,NA,14.603017273031389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.1433455298,2221.4512300000,367.87277102128957,0.9472000000,NA,0.06347003514285715,1,MS,4.7970500000,0.0037500000,50.7348900000,NA,0.1677200000,269.5022500000,42.5311300000,2.8510900000,19.3809700000,0.1994200000,9.8691400000,23.6829600000,0.0144233200,0.6858000000,2.3210800000,2.3126800000,NA,68.7720100000,NA,624.1815100000,NA,NA,9.532709351774571,NA,roots,NA,NA,254.0000000000,124.8363000000,NA,NA,80.65639680457852,NA,535.5555224355153,0.0099400000,2.2657800000,2.0327900000,760.7692800000,NA,3.9180500000,0.0069100000,0.5032200000
NA,NA,NA,NA,0.0000000000,NA,1,MS,NA,0.0000000000,NA,6038.2322500000,NA,NA,NA,NA,NA,NA,NA,NA,0.0011722155,NA,NA,NA,0.0000000000,NA,19.2922100000,NA,1204023.1932500000,NA,NA,0.00117221552,grains,83.7296800000,0.0712800000,255.0000000000,NA,0.0000000000,7.8799200000,NA,0.1811401531932773,NA,NA,NA,NA,NA,0.0000000000,NA,NA,NA
NA,12395.7737800000,421.3618223449574,NA,NA,0.3541649651428571,1,MS,NA,NA,45.8019100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0006412267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phloem,NA,NA,255.0000000000,NA,NA,NA,14.946391845092657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.1164031025,2382.3654000000,394.5201899765511,0.9476200000,NA,0.06806758285714286,1,MS,5.5835900000,0.0037500000,50.7575100000,NA,0.1729800000,277.9623500000,40.7310200000,1.3930600000,19.3003800000,0.2321200000,9.8598400000,23.6829600000,0.0145420780,0.6858000000,2.2782700000,2.2700300000,NA,68.7720100000,NA,326.9241300000,NA,NA,11.095723540399826,NA,roots,NA,NA,255.0000000000,65.3848300000,NA,NA,80.69235721950639,NA,552.3674535988237,0.0099400000,1.2079700000,1.9976800000,760.7918900000,NA,3.9143600000,0.0069100000,0.5032200000
NA,NA,NA,NA,0.0000000000,NA,1,MS,NA,0.0000000000,NA,6049.5369800000,NA,NA,NA,NA,NA,NA,NA,NA,0.0011732160,NA,NA,NA,0.0000000000,NA,19.1277300000,NA,1206256.3453299999,NA,NA,0.00117321596,grains,83.8011400000,0.0724300000,256.0000000000,NA,0.0000000000,7.8127300000,NA,0.1814705016554622,NA,NA,NA,NA,NA,0.0000000000,NA,NA,NA
NA,12377.6711800000,420.6778327004985,NA,NA,0.353647748,1,MS,NA,NA,46.8668600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0006561360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phloem,NA,NA,256.0000000000,NA,NA,NA,15.291418596778865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.0282535701,2413.2198900000,399.55030100135104,0.7415200000,NA,0.0689491397142857,1,MS,6.3653000000,0.0056300000,50.3502700000,NA,0.1405500000,286.3158300000,39.6355600000,1.0696900000,19.1159200000,0.2087300000,9.6673400000,24.3398800000,0.0146233254,0.7048200000,2.2625900000,2.2548200000,NA,70.6796200000,NA,256.3438300000,NA,NA,12.646626400699358,NA,roots,NA,NA,256.0000000000,51.2687700000,NA,NA,80.02903917984582,NA,568.8544663434793,0.0099100000,0.9706200000,1.9878700000,758.4370500000,NA,3.8379300000,0.0054500000,0.5033200000
NA,NA,NA,NA,0.0000000000,NA,1,MS,NA,0.0000000000,NA,6059.1043600000,NA,NA,NA,NA,NA,NA,NA,NA,0.0011740844,NA,NA,NA,0.0000000000,NA,16.1862100000,NA,1208143.1059800000,NA,NA,0.00117408438,grains,83.8631700000,0.0628900000,257.0000000000,NA,0.0000000000,6.6112700000,NA,0.1817502408109244,NA,NA,NA,NA,NA,0.0000000000,NA,NA,NA
