t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
252,1,MS,26.0000000000,1,1176267.6978300000,1176267.6978300000,0.0048100000
253,1,MS,26.0000000000,1,1172985.1016100000,1172985.1016100000,0.0048100000
254,1,MS,26.9000000000,1,1169076.7594300001,1169076.7594300001,0.0051600000
255,1,MS,26.6000000000,1,1165069.2865100000,1165069.2865100000,0.0050400000
256,1,MS,26.5000000000,1,1161121.4547900001,1161121.4547900001,0.0050000000
257,1,MS,24.9000000000,1,1157638.0457100000,1157638.0457100000,0.0044000000
258,1,MS,26.9000000000,1,1153657.0042800000,1153657.0042800000,0.0051600000
259,1,MS,28.5000000000,1,1149187.7803799999,1149187.7803799999,0.0058600000
260,1,MS,29.5000000000,1,1144521.0052499999,1144521.0052499999,0.0063300000
261,1,MS,31.1000000000,1,1139313.0911800000,1139313.0911800000,0.0071600000
262,1,MS,32.2000000000,1,1133833.8086900001,1133833.8086900001,0.0077800000
263,1,MS,33.6000000000,1,1127811.6021700001,1127811.6021700001,0.0086400000
264,1,MS,34.2000000000,1,1121677.9409200000,1121677.9409200000,0.0090400000
265,1,MS,34.1000000000,1,1115638.9896700000,1115638.9896700000,0.0089700000
266,1,MS,34.0000000000,1,1109783.8307200000,1109783.8307200000,0.0089000000
267,1,MS,33.8000000000,1,1104049.7616399999,1104049.7616399999,0.0087700000
268,1,MS,32.9000000000,1,1098803.8844300001,1098803.8844300001,0.0082000000
269,1,MS,32.0000000000,1,1093930.8428799999,1093930.8428799999,0.0076700000
270,1,MS,30.3000000000,1,1089752.8261200001,1089752.8261200001,0.0067300000
271,1,MS,29.1000000000,1,1085980.0267600000,1085980.0267600000,0.0061400000
272,1,MS,28.3000000000,1,1082532.7335600001,1082532.7335600001,0.0057700000
273,1,MS,28.0000000000,1,1079210.0351700000,1079210.0351700000,0.0056300000
274,1,MS,27.9000000000,1,1076014.7998899999,1076014.7998899999,0.0055900000
275,1,MS,27.3000000000,1,1073012.2997900001,1073012.2997900001,0.0053300000
276,1,MS,26.6000000000,1,1070258.2173899999,1070258.2173899999,0.0050400000
277,1,MS,26.1000000000,1,1067648.4606300001,1067648.4606300001,0.0048500000
