t,plant,axis,organ,Dry_Mass,CN_ratio,proteins,amino_acids,starch,sucrose,mstruct,structure,AA_consumption_mstruct,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,N_tot,Nstruct,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,WSC_g,age_from_flowering,cytokinins,nitrates,regul_transpiration,senesced_mstruct,sucrose_consumption_mstruct,sum_respi,synthetized_mstruct
960.0000000000,1,MS,grains,0.06231497976470589,2.814814814814815,50.0037200000,NA,0.0000000000,NA,NA,2000.8638300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007000521,NA,0.00070005208,0.0000000000,NA,NA,0.0000000000,0.6784300000,NA,NA,NA,0.0058700000,NA,0.0000000000,1.6609800000,NA,NA,NA,NA,NA,734.4641800000,NA,NA,NA,0.0000000000,NA,NA,NA
960.0000000000,1,MS,phloem,NA,245.45422508958507,NA,11.1904900000,NA,3167.7962100000,NA,NA,NA,NA,2.591636028879612,NA,76.4206816642253,NA,NA,NA,NA,NA,NA,0.0001566669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09050846314285713,NA,NA,NA,NA,NA,NA,NA,NA
960.0000000000,1,MS,roots,NA,62.16278258232321,NA,59.1829200000,NA,851.9461500000,1.9989900000,NA,0.0071200000,35.3422600000,23.685128990140022,126.22981605710885,35.51569167429552,1.258565575615686,0.1044800000,0.0017800000,0.0296700000,111.9239800000,2.4551500000,0.0143512108,0.0099900000,NA,NA,2.4123100000,1.5300300000,NA,NA,0.8610439661,0.2459700000,0.6094800000,NA,0.0314100000,NA,NA,773.1088300000,0.6242500000,176.7112900000,3.8539800000,0.024341318571428572,NA,2.5158600000,252.3321400000,0.0019600000,0.0010300000,0.7142600000,4.8042900000,NA
961.0000000000,1,MS,grains,0.06233743992857142,2.8148148148148144,50.0090700000,NA,0.0000000000,NA,NA,2001.6306600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007001270,NA,0.00070012698,0.0000000000,NA,NA,0.0000000000,0.5401500000,NA,NA,NA,0.0061500000,NA,0.0000000000,1.3224300000,NA,NA,NA,NA,NA,1289.6074200000,NA,NA,NA,0.0000000000,NA,NA,NA
961.0000000000,1,MS,phloem,NA,187.12967669750273,NA,18.5069900000,NA,3979.6321900000,NA,NA,NA,NA,4.286059356870737,NA,96.00505327566708,NA,NA,NA,NA,NA,NA,0.0002590979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11370377685714286,NA,NA,NA,NA,NA,NA,NA,NA
961.0000000000,1,MS,roots,NA,62.39862423229471,NA,57.0406300000,NA,1192.9282200000,1.9989900000,NA,0.0071200000,48.4268400000,22.8277800289146,127.65811734926137,49.730456380472134,1.2902515770464085,0.1007000000,0.0018000000,0.0304100000,99.2628400000,2.3155600000,0.0143611910,0.0099900000,NA,NA,2.4593400000,1.8573900000,NA,NA,1.0096076987,0.2459700000,0.6213600000,NA,0.0714600000,NA,NA,770.9665400000,1.1260300000,242.1342100000,4.6785600000,0.03408366342857143,NA,2.5792000000,255.1873000000,0.0019600000,0.0010300000,0.7142600000,5.3291400000,NA
962.0000000000,1,MS,grains,0.06235569763445378,2.8148148148148144,50.0144100000,NA,0.0000000000,NA,NA,2002.2504400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007002017,NA,0.0007002017399999999,0.0000000000,NA,NA,0.0000000000,0.4307700000,NA,NA,NA,0.0058300000,NA,0.0000000000,1.0546500000,NA,NA,NA,NA,NA,1725.5613000000,NA,NA,NA,0.0000000000,NA,NA,NA
962.0000000000,1,MS,phloem,NA,157.85398519058862,NA,23.7199300000,NA,4290.4379800000,NA,NA,NA,NA,5.494492461554945,NA,103.52484149527695,NA,NA,NA,NA,NA,NA,0.0003320790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12258394228571429,NA,NA,NA,NA,NA,NA,NA,NA
962.0000000000,1,MS,roots,NA,62.47427757201096,NA,56.6702000000,NA,1547.0041800000,1.9984500000,NA,0.0239100000,42.9656800000,22.68566138757537,129.5429407791038,64.50850158873126,1.377462533463434,0.0556100000,0.0010200000,0.0180500000,91.4976400000,1.5739300000,0.0144077741,0.0099900000,NA,NA,2.4811500000,2.1702000000,NA,NA,1.1383379266,0.8255400000,0.6270400000,NA,0.1280300000,NA,NA,770.4023300000,1.1876900000,214.8284100000,5.4665000000,0.044200119428571424,NA,2.7527900000,258.8850900000,0.0010900000,0.0016400000,2.3972500000,5.7902000000,NA
963.0000000000,1,MS,grains,0.06237711178571429,2.8148148148148144,50.0216500000,NA,0.0000000000,NA,NA,2002.9738500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007003031,NA,0.0007003031,0.0000000000,NA,NA,0.0000000000,0.5010700000,NA,NA,NA,0.0077300000,NA,0.0000000000,1.2267600000,NA,NA,NA,NA,NA,2229.1632000000,NA,NA,NA,0.0000000000,NA,NA,NA
963.0000000000,1,MS,phloem,NA,138.90493095442633,NA,27.9617900000,NA,4439.5437900000,NA,NA,NA,NA,6.477040811894662,NA,107.12202524864996,NA,NA,NA,NA,NA,NA,0.0003914651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12684410828571427,NA,NA,NA,NA,NA,NA,NA,NA
963.0000000000,1,MS,roots,NA,62.37485966120975,NA,57.6295600000,NA,1849.1606800000,1.9984500000,NA,0.0239100000,34.6751200000,23.069703019840375,131.98303685356152,77.10812046002319,1.5356251094598312,0.0565600000,0.0010400000,0.0201200000,95.5582100000,1.0806600000,0.0144894748,0.0099900000,NA,NA,2.7364800000,2.6575100000,NA,NA,1.3305497154,0.8255400000,0.6915700000,NA,0.2000100000,NA,NA,771.3616800000,1.0919800000,173.3756200000,6.6939900000,0.05283316228571429,NA,3.0688700000,263.7615000000,0.0010900000,0.0016400000,2.3972500000,6.7228900000,NA
964.0000000000,1,MS,grains,0.0623932448697479,2.8148148148148144,50.0277500000,NA,0.0000000000,NA,NA,2003.5165300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007003885,NA,0.0007003884999999999,0.0000000000,NA,NA,0.0000000000,0.3754000000,NA,NA,NA,0.0064100000,NA,0.0000000000,0.9190800000,NA,NA,NA,NA,NA,2604.9855200000,NA,NA,NA,0.0000000000,NA,NA,NA
964.0000000000,1,MS,phloem,NA,125.65356793553457,NA,31.5809700000,NA,4525.9281400000,NA,NA,NA,NA,7.316527999397644,NA,109.22347632520636,NA,NA,NA,NA,NA,NA,0.0004421336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12931223257142857,NA,NA,NA,NA,NA,NA,NA,NA
964.0000000000,1,MS,roots,NA,62.15791649600731,NA,59.0074900000,NA,2071.2705500000,1.9980800000,NA,0.0550200000,26.2074100000,23.625676649583596,134.59618733984624,86.38587001855115,1.7327334240871237,0.0532100000,0.0009700000,0.0208500000,87.5122300000,0.7466100000,0.0145811802,0.0099900000,NA,NA,2.5885400000,2.6888100000,NA,NA,1.3365356062,1.9001600000,0.6543000000,NA,0.2301400000,NA,NA,772.6070300000,0.9143500000,131.0370500000,6.7728300000,0.059179158571428574,NA,3.4621400000,268.9339500000,0.0010000000,0.0021600000,5.5178000000,6.6114100000,NA
965.0000000000,1,MS,grains,0.062402388672268896,2.8148148148148144,50.0315200000,NA,0.0000000000,NA,NA,2003.8229800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007004413,NA,0.00070044128,0.0000000000,NA,NA,0.0000000000,0.2118800000,NA,NA,NA,0.0039300000,NA,0.0000000000,0.5187400000,NA,NA,NA,NA,NA,2816.5197900000,NA,NA,NA,0.0000000000,NA,NA,NA
965.0000000000,1,MS,phloem,NA,116.01230258506196,NA,34.7577400000,NA,4590.2369900000,NA,NA,NA,NA,8.052483551107404,NA,110.77511038326693,NA,NA,NA,NA,NA,NA,0.0004866084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1311496282857143,NA,NA,NA,NA,NA,NA,NA,NA
965.0000000000,1,MS,roots,NA,61.90825196294668,NA,60.5175700000,NA,2239.7847200000,1.9980800000,NA,0.0550200000,19.5409600000,24.230289077514414,137.14460882447148,93.41404081251335,1.943806053811659,0.0545700000,0.0009900000,0.0233900000,78.1507400000,0.5279800000,0.0146736086,0.0099900000,NA,NA,2.3620200000,2.5695700000,NA,NA,1.2855550833,1.9001600000,0.5970400000,NA,0.2371300000,NA,NA,774.1171000000,0.7398300000,97.7047900000,6.4724700000,0.06399384914285715,NA,3.8838800000,274.0259000000,0.0010000000,0.0021600000,5.5178000000,6.2146400000,NA
966.0000000000,1,MS,grains,0.06242251639495798,2.814814814814815,50.0404600000,NA,0.0000000000,NA,NA,2004.4952400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007005664,NA,0.00070056644,0.0000000000,NA,NA,0.0000000000,0.4648100000,NA,NA,NA,0.0092700000,NA,0.0000000000,1.1379700000,NA,NA,NA,NA,NA,3279.3181200000,NA,NA,NA,0.0000000000,NA,NA,NA
966.0000000000,1,MS,phloem,NA,108.0559000033878,NA,37.8620700000,NA,4648.7528900000,NA,NA,NA,NA,8.773151361026954,NA,112.20610743587812,NA,NA,NA,NA,NA,NA,0.0005300690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13282151114285715,NA,NA,NA,NA,NA,NA,NA,NA
966.0000000000,1,MS,roots,NA,61.526896965265685,NA,62.2113200000,NA,2363.6965800000,1.9976900000,NA,0.0930100000,16.3239700000,24.913302864808855,140.3786723665834,98.60124193443426,2.214502750677032,0.1033200000,0.0018600000,0.0490800000,92.3432100000,0.4296400000,0.0147870215,0.0099900000,NA,NA,2.8348800000,3.1804300000,NA,NA,1.5224889925,3.2118000000,0.7167100000,NA,0.3081000000,NA,NA,775.6728800000,0.6647600000,81.6198500000,8.0111600000,0.067534188,NA,4.4238900000,280.4330700000,0.0018500000,0.0028100000,9.3266200000,7.5342900000,NA
967.0000000000,1,MS,grains,0.062467161546218494,2.8148148148148144,50.0616400000,NA,0.0000000000,NA,NA,2005.9815100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007008630,NA,0.00070086296,0.0000000000,NA,NA,0.0000000000,1.0279300000,NA,NA,NA,0.0219200000,NA,0.0000000000,2.5166600000,NA,NA,NA,NA,NA,4299.4072600000,NA,NA,NA,0.0000000000,NA,NA,NA
967.0000000000,1,MS,phloem,NA,101.23440224372685,NA,41.0698400000,NA,4715.7561600000,NA,NA,NA,NA,9.516324603629748,NA,113.82203453649154,NA,NA,NA,NA,NA,NA,0.0005749778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13473589028571428,NA,NA,NA,NA,NA,NA,NA,NA
967.0000000000,1,MS,roots,NA,60.92085825153456,NA,64.7002800000,NA,2475.6158000000,1.9976900000,NA,0.0930100000,14.3880300000,25.910038093998573,145.23824517317502,103.2699351083835,2.6510369476745645,0.1074600000,0.0019300000,0.0587600000,132.8670500000,0.3760300000,0.0149577778,0.0099900000,NA,NA,4.1400600000,4.7602200000,NA,NA,2.1173249744,3.2118000000,1.0466800000,NA,0.4807400000,NA,NA,778.1618300000,0.6265300000,71.9401500000,11.9904700000,0.07073188,NA,5.2959500000,290.1409900000,0.0018500000,0.0028100000,9.3266200000,11.0108200000,NA
968.0000000000,1,MS,grains,0.06252666195378151,2.8148148148148153,50.0916500000,NA,0.0000000000,NA,NA,2007.9559000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007012831,NA,0.0007012831,0.0000000000,NA,NA,0.0000000000,1.3658300000,NA,NA,NA,0.0309300000,NA,0.0000000000,3.3439300000,NA,NA,NA,NA,NA,5649.9191800000,NA,NA,NA,0.0000000000,NA,NA,NA
968.0000000000,1,MS,phloem,NA,95.47048828442396,NA,44.2510900000,NA,4783.4669700000,NA,NA,NA,NA,10.258208392978226,NA,115.50986893578057,NA,NA,NA,NA,NA,NA,0.0006195153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13667048485714287,NA,NA,NA,NA,NA,NA,NA,NA
968.0000000000,1,MS,roots,NA,60.18276490218906,NA,66.8514300000,NA,2537.5669400000,1.9966800000,NA,0.3128000000,14.1584300000,26.785035158362877,151.3827203157241,105.90776271944763,3.0485055191618087,0.6930400000,0.0125300000,0.4215200000,161.7113200000,0.3730000000,0.0151475999,0.0099800000,NA,NA,5.0953000000,5.9188700000,NA,NA,2.5485314855,10.8019700000,1.2888300000,NA,0.6157600000,NA,NA,779.9518600000,0.6548900000,70.7921500000,14.9089800000,0.07250191257142857,NA,6.0868900000,302.2628500000,0.0115200000,0.0047000000,31.3674300000,13.5546500000,NA
969.0000000000,1,MS,grains,0.06260229595378151,2.814814814814815,50.1317700000,NA,0.0000000000,NA,NA,2010.4585400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007018448,NA,0.00070184478,0.0000000000,NA,NA,0.0000000000,1.7323900000,NA,NA,NA,0.0411300000,NA,0.0000000000,4.2413700000,NA,NA,NA,NA,NA,7354.4011100000,NA,NA,NA,0.0000000000,NA,NA,NA
969.0000000000,1,MS,phloem,NA,91.20987725057999,NA,47.3722300000,NA,4885.3831000000,NA,NA,NA,NA,10.981522724967764,NA,117.96851924293573,NA,NA,NA,NA,NA,NA,0.0006632112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1395823742857143,NA,NA,NA,NA,NA,NA,NA,NA
969.0000000000,1,MS,roots,NA,59.28444958494551,NA,69.8008200000,NA,2623.7330100000,1.9966800000,NA,0.3128000000,13.4730000000,27.966752809664044,158.81063064687382,109.50398536570707,3.5722048600677123,0.7236100000,0.0131500000,0.4939300000,190.9255300000,0.3584300000,0.0153965276,0.0099800000,NA,NA,6.0999500000,7.1879400000,NA,NA,3.0169759459,10.8019700000,1.5429500000,NA,0.7735800000,NA,NA,782.9012500000,0.6532200000,67.3650200000,18.1056300000,0.07496380028571428,NA,7.1325500000,317.0940100000,0.0115200000,0.0047000000,31.3674300000,16.2935000000,NA
970.0000000000,1,MS,grains,0.06269141934873951,2.814814814814815,50.1810100000,NA,0.0000000000,NA,NA,2013.4004500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007025341,NA,0.00070253414,0.0000000000,NA,NA,0.0000000000,2.0369000000,NA,NA,NA,0.0502600000,NA,0.0000000000,4.9869000000,NA,NA,NA,NA,NA,9347.8951000000,NA,NA,NA,0.0000000000,NA,NA,NA
970.0000000000,1,MS,phloem,NA,87.86931215858347,NA,50.3027400000,NA,4991.5533100000,NA,NA,NA,NA,11.668428240465554,NA,120.61052242174355,NA,NA,NA,NA,NA,NA,0.0007042384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14261580885714284,NA,NA,NA,NA,NA,NA,NA,NA
970.0000000000,1,MS,roots,NA,58.26644976227637,NA,72.2246200000,NA,2662.1393000000,1.9952900000,NA,0.4978700000,15.9314700000,28.95804419407705,167.30239714527713,111.18430988310804,3.978935392850162,1.3218800000,0.0244400000,0.9706400000,213.1055000000,0.4322300000,0.0156645799,0.0099800000,NA,NA,6.8830100000,8.1263700000,NA,NA,3.3746515398,17.1931200000,1.7422400000,NA,0.8979300000,NA,NA,784.8286400000,0.8027500000,79.6573700000,20.4694400000,0.07606112285714285,NA,7.9391300000,333.8168000000,0.0203400000,0.0074800000,49.9264300000,18.3714700000,NA
971.0000000000,1,MS,grains,0.0627933778235294,2.814814814814814,50.2390200000,NA,0.0000000000,NA,NA,2016.7599900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0007033463,NA,0.0007033462799999998,0.0000000000,NA,NA,0.0000000000,2.3273300000,NA,NA,NA,0.0588100000,NA,0.0000000000,5.6979500000,NA,NA,NA,NA,NA,11610.0947700000,NA,NA,NA,0.0000000000,NA,NA,NA
971.0000000000,1,MS,phloem,NA,85.85982388040996,NA,53.1184100000,NA,5146.4219800000,NA,NA,NA,NA,12.321240975383454,NA,124.34935728299844,NA,NA,NA,NA,NA,NA,0.0007436577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14704062799999998,NA,NA,NA,NA,NA,NA,NA,NA
971.0000000000,1,MS,roots,NA,57.21369089536143,NA,75.4915600000,NA,2759.3103700000,1.9952900000,NA,0.4978700000,16.3807400000,30.267904916077367,176.79365405530024,115.2426618854068,4.479213547905316,1.3816800000,0.0258300000,1.0926800000,232.8579000000,0.4481600000,0.0159754464,0.0099800000,NA,NA,7.6414600000,9.1502300000,NA,NA,3.7583167171,17.1931200000,1.9342200000,NA,1.0459300000,NA,NA,788.0955800000,0.8453600000,81.9036900000,23.0484400000,0.07883743914285714,NA,8.9373300000,352.7546100000,0.0203400000,0.0074800000,49.9264300000,20.5344300000,NA
