t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,height,minerals_plant,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
0,1,MS,40.74275,False,0,5.70000,0.00201,1,3261.60766,3261.60766,120,0.10703,3.52026,12,0.00125,reproductive,0.45300,4.48528,9.96747,3261.60766
1,1,MS,109.40401,False,0,5.70000,0.00201,1,3261.60766,3261.60766,120,0.10703,3.52028,12,0.00125,reproductive,0.45300,4.83973,8.68357,3261.60766
2,1,MS,108.89808,False,0,3.38333,0.00111,1,1935.98349,1935.98349,120,0.10703,3.51963,12,0.00199,reproductive,0.72189,5.45680,6.97133,5197.59115
3,1,MS,90.24550,False,0,3.38333,0.00111,1,1935.98349,1935.98349,120,0.10703,3.51965,12,0.00199,reproductive,0.72189,6.51118,6.68334,5197.59115
4,1,MS,68.09983,False,0,2.91667,0.00102,1,1668.95129,1668.95129,120,0.10703,3.51919,12,0.00263,reproductive,0.95369,6.51700,6.08389,6866.54244
5,1,MS,50.07645,False,0,2.91667,0.00102,1,1668.95129,1668.95129,120,0.10703,3.51919,12,0.00263,reproductive,0.95369,6.19169,5.71496,6866.54244
6,1,MS,41.39606,False,0,3.59167,0.00167,1,2055.19430,2055.19430,120,0.10703,3.51870,12,0.00342,reproductive,1.23913,7.54570,6.59142,8921.73674
7,1,MS,35.82447,False,0,3.59167,0.00167,1,2055.19430,2055.19430,120,0.10703,3.51874,12,0.00342,reproductive,1.23913,11.06415,7.18407,8921.73674
8,1,MS,34.60546,False,0,10.35000,0.01038,1,5997.35176,5997.35176,120,0.10703,3.51741,12,0.00571,reproductive,2.07210,13.63344,11.50552,14919.08850
9,1,MS,30.21499,False,0,10.35000,0.01038,1,5997.35176,5997.35176,120,0.10703,3.51748,12,0.00571,reproductive,2.07210,16.41627,12.25323,14919.08850
10,1,MS,36.07231,False,0,13.91667,0.01823,1,8852.70578,8852.70578,120,0.10703,3.51561,12,0.00910,reproductive,3.30164,18.45716,16.50363,23771.79428
11,1,MS,33.68947,False,0,13.91667,0.01823,1,8852.70578,8852.70578,120,0.10703,3.51570,12,0.00910,reproductive,3.30164,20.62016,17.15171,23771.79428
12,1,MS,44.58265,False,0,16.15000,0.02059,1,11151.94825,11151.94825,120,0.10703,3.51345,12,0.01336,reproductive,4.85052,22.33424,19.04714,34923.74254
13,1,MS,39.89781,False,0,16.15000,0.02059,1,11151.94825,11151.94825,120,0.10703,3.51356,12,0.01336,reproductive,4.85052,23.07886,19.22929,34923.74254
14,1,MS,48.86232,False,0,16.07500,0.01693,1,11068.13052,11068.13052,120,0.10703,3.51144,12,0.01759,reproductive,6.38776,22.69683,18.12672,45991.87305
15,1,MS,40.36162,False,0,16.07500,0.01693,1,11068.13052,11068.13052,120,0.10703,3.51154,12,0.01759,reproductive,6.38776,22.35259,17.97847,45991.87305
16,1,MS,45.36490,False,0,14.81667,0.00920,1,9730.11004,9730.11004,120,0.10703,3.50978,12,0.02131,reproductive,7.73916,21.05643,15.75535,55721.98310
17,1,MS,33.80017,False,0,14.81667,0.00920,1,9730.11004,9730.11004,120,0.10703,3.50986,12,0.02131,reproductive,7.73916,20.04896,15.37292,55721.98310
18,1,MS,35.84122,False,0,13.36667,0.00355,1,8348.87973,8348.87973,120,0.10703,3.50842,12,0.02450,reproductive,8.89873,19.10628,13.22560,64070.86283
19,1,MS,24.51699,False,0,13.36667,0.00355,1,8348.87973,8348.87973,120,0.10703,3.50850,12,0.02450,reproductive,8.89873,19.35831,12.95055,64070.86283
20,1,MS,26.19493,False,0,12.70000,0.00276,1,7770.40783,7770.40783,120,0.10703,3.50719,12,0.02746,reproductive,9.97795,18.22635,11.95835,71841.27066
