N_content_mstruct,Cont_WSC_DM_shoot,N_content_total_DM_shoot,N_content_shoot,axis,shoot_roots_mstruct_ratio,Cont_WSC_DM_roots,C_N_ratio_shoot,N_content_mstruct_shoot,N_content_mstruct_roots,C_respired_shoot,sum_respi_shoot,sum_N_g,t,Tillers_Photosynthesis_An,mstruct_shoot,plant,sum_dry_mass_stem,sum_N_g_shoot,sum_dry_mass_roots,mstruct_laminae,N_content,NS_shoot,sum_C_g,sum_dry_mass,NS_stem,N_content_roots,NS_laminae,C_N_ratio,sum_dry_mass_shoot,sum_dry_mass_laminae,Tillers_Photosynthesis,sum_NSC_g,shoot_roots_ratio,C_respired_roots,NS,dry_mass_phloem,NS_roots,Total_Transpiration,senesced_mstruct,Total_Photosynthesis,Cont_WSC_DM,mstruct_stem,Cont_WSC_DM_stem,C_exudated,mstruct,NNI,sum_respi_roots,Cont_WSC_DM_laminae
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,9.9674700000,NA,0.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0020100000,0.0012500000,NA,NA,NA,NA,40.7427500000,3.5202600000,NA,4.4852800000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,8.6835700000,NA,1.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0020100000,0.0012500000,NA,NA,NA,NA,109.4040100000,3.5202800000,NA,4.8397300000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,6.9713300000,NA,2.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011100000,0.0019900000,NA,NA,NA,NA,108.8980800000,3.5196300000,NA,5.4568000000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,6.6833400000,NA,3.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011100000,0.0019900000,NA,NA,NA,NA,90.2455000000,3.5196500000,NA,6.5111800000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,6.0838900000,NA,4.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0010200000,0.0026300000,NA,NA,NA,NA,68.0998300000,3.5191900000,NA,6.5170000000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,5.7149600000,NA,5.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0010200000,0.0026300000,NA,NA,NA,NA,50.0764500000,3.5191900000,NA,6.1916900000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,6.5914200000,NA,6.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016700000,0.0034200000,NA,NA,NA,NA,41.3960600000,3.5187000000,NA,7.5457000000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,7.1840700000,NA,7.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016700000,0.0034200000,NA,NA,NA,NA,35.8244700000,3.5187400000,NA,11.0641500000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,11.5055200000,NA,8.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0103800000,0.0057100000,NA,NA,NA,NA,34.6054600000,3.5174100000,NA,13.6334400000,NA
NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,12.2532300000,NA,9.0000000000,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0103800000,0.0057100000,NA,NA,NA,NA,30.2149900000,3.5174800000,NA,16.4162700000,NA
