t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,5.7000000000,1,1290113.7349000000,1290113.7349000000,0.0023300000
1,1,MS,4.3083300000,1,1289665.1503500000,1289665.1503500000,0.0020700000
2,1,MS,3.3833300000,1,1289113.6737599999,1289113.6737599999,0.0019100000
3,1,MS,3.9083300000,1,1288411.2121100000,1288411.2121100000,0.0020000000
4,1,MS,2.9166700000,1,1287681.7753999999,1287681.7753999999,0.0018300000
5,1,MS,1.6416700000,1,1286973.5116699999,1286973.5116699999,0.0016400000
6,1,MS,3.5916700000,1,1286089.8876199999,1286089.8876199999,0.0019400000
7,1,MS,7.9166700000,1,1284760.3146700000,1284760.3146700000,0.0028100000
8,1,MS,10.3500000000,1,1283104.4498999999,1283104.4498999999,0.0034400000
9,1,MS,12.4583300000,1,1281088.0943000000,1281088.0943000000,0.0040800000
10,1,MS,13.9166700000,1,1278818.1588000001,1278818.1588000001,0.0045900000
11,1,MS,15.1250000000,1,1276263.9632800000,1276263.9632800000,0.0050500000
12,1,MS,16.1500000000,1,1273501.6368600000,1273501.6368600000,0.0054800000
13,1,MS,16.3250000000,1,1270630.0451900000,1270630.0451900000,0.0055500000
14,1,MS,16.0750000000,1,1267814.5082600000,1267814.5082600000,0.0054500000
15,1,MS,15.6250000000,1,1265027.7306800000,1265027.7306800000,0.0052600000
16,1,MS,14.8166700000,1,1262412.5792799999,1262412.5792799999,0.0049300000
17,1,MS,13.9833300000,1,1259916.2510599999,1259916.2510599999,0.0046100000
18,1,MS,13.3666700000,1,1257548.9446800000,1257548.9446800000,0.0043900000
19,1,MS,13.4083300000,1,1255147.1924600000,1255147.1924600000,0.0044100000
20,1,MS,12.7000000000,1,1252903.4242600000,1252903.4242600000,0.0041600000
21,1,MS,10.3166700000,1,1251047.0828199999,1251047.0828199999,0.0034300000
22,1,MS,8.6916700000,1,1249438.6620100001,1249438.6620100001,0.0030000000
23,1,MS,7.8000000000,1,1247943.6043799999,1247943.6043799999,0.0027800000
24,1,MS,8.4500000000,1,1246382.1890799999,1246382.1890799999,0.0029400000
25,1,MS,8.2500000000,1,1244847.7439500000,1244847.7439500000,0.0028900000
26,1,MS,8.8000000000,1,1243261.9726199999,1243261.9726199999,0.0030200000
27,1,MS,9.3666700000,1,1241603.4108500001,1241603.4108500001,0.0031700000
28,1,MS,8.7000000000,1,1240055.7869100000,1240055.7869100000,0.0030000000
29,1,MS,8.5166700000,1,1238535.2803499999,1238535.2803499999,0.0029500000
30,1,MS,10.4083300000,1,1236786.7253399999,1236786.7253399999,0.0034500000
31,1,MS,12.9416700000,1,1234646.8426399999,1234646.8426399999,0.0042400000
32,1,MS,14.3250000000,1,1232315.4502699999,1232315.4502699999,0.0047400000
33,1,MS,14.1500000000,1,1230021.6821399999,1230021.6821399999,0.0046800000
34,1,MS,15.6166700000,1,1227505.9345700000,1227505.9345700000,0.0052500000
35,1,MS,16.6500000000,1,1224768.8707000001,1224768.8707000001,0.0057000000
36,1,MS,17.2166700000,1,1221968.7483600001,1221968.7483600001,0.0059600000
37,1,MS,16.8166700000,1,1219224.9383500000,1219224.9383500000,0.0057700000
38,1,MS,17.0750000000,1,1216465.2353999999,1216465.2353999999,0.0058900000
39,1,MS,16.7416700000,1,1213737.1065199999,1213737.1065199999,0.0057400000
40,1,MS,16.0500000000,1,1211181.8244800000,1211181.8244800000,0.0054400000
41,1,MS,15.2916700000,1,1208747.1294400000,1208747.1294400000,0.0051200000
42,1,MS,14.7500000000,1,1206446.3492300001,1206446.3492300001,0.0049000000
43,1,MS,13.9416700000,1,1204277.8319300001,1204277.8319300001,0.0046000000
44,1,MS,12.7500000000,1,1202337.5938400000,1202337.5938400000,0.0041800000
45,1,MS,11.9333300000,1,1200519.9080999999,1200519.9080999999,0.0039100000
46,1,MS,11.8333300000,1,1198746.6570800000,1198746.6570800000,0.0038800000
47,1,MS,11.5166700000,1,1197021.1763200001,1197021.1763200001,0.0037800000
48,1,MS,11.6666700000,1,1195305.7106699999,1195305.7106699999,0.0038300000
49,1,MS,10.5750000000,1,1193740.3602100001,1193740.3602100001,0.0035000000
50,1,MS,10.3333300000,1,1192230.6997400001,1192230.6997400001,0.0034300000
51,1,MS,10.5250000000,1,1190701.7175600000,1190701.7175600000,0.0034900000
52,1,MS,10.3666700000,1,1189218.0822200000,1189218.0822200000,0.0034400000
53,1,MS,9.2000000000,1,1187874.6139600000,1187874.6139600000,0.0031300000
54,1,MS,10.1500000000,1,1186445.4552500001,1186445.4552500001,0.0033800000
55,1,MS,12.9166700000,1,1184663.0101099999,1184663.0101099999,0.0042400000
56,1,MS,16.4333300000,1,1182376.9364700001,1182376.9364700001,0.0056000000
57,1,MS,17.9500000000,1,1179815.2568500000,1179815.2568500000,0.0063100000
58,1,MS,18.9916700000,1,1177132.7354400000,1177132.7354400000,0.0068300000
59,1,MS,19.6666700000,1,1174296.0976199999,1174296.0976199999,0.0071900000
60,1,MS,19.7916700000,1,1171507.6418300001,1171507.6418300001,0.0072600000
61,1,MS,19.8500000000,1,1168670.4029300001,1168670.4029300001,0.0073000000
62,1,MS,20.2000000000,1,1165821.6627799999,1165821.6627799999,0.0074900000
63,1,MS,21.1333300000,1,1162722.0668800001,1162722.0668800001,0.0080400000
64,1,MS,19.4333300000,1,1160056.2041300000,1160056.2041300000,0.0070700000
65,1,MS,17.5000000000,1,1157731.6298100001,1157731.6298100001,0.0060900000
66,1,MS,15.2666700000,1,1155808.0517700000,1155808.0517700000,0.0051100000
67,1,MS,13.6750000000,1,1154101.7452700001,1154101.7452700001,0.0045000000
68,1,MS,12.4916700000,1,1152571.5729499999,1152571.5729499999,0.0040900000
69,1,MS,10.6666700000,1,1151249.8323500000,1151249.8323500000,0.0035300000
70,1,MS,10.2666700000,1,1149987.3055700001,1149987.3055700001,0.0034100000
71,1,MS,10.7583300000,1,1148673.8281400001,1148673.8281400001,0.0035500000
72,1,MS,9.9250000000,1,1147465.0855700001,1147465.0855700001,0.0033200000
73,1,MS,8.7000000000,1,1146374.5567800000,1146374.5567800000,0.0030000000
74,1,MS,8.1083300000,1,1145349.3900700000,1145349.3900700000,0.0028500000
75,1,MS,8.1083300000,1,1144326.3420700000,1144326.3420700000,0.0028500000
76,1,MS,7.5083300000,1,1143365.2774600000,1143365.2774600000,0.0027100000
77,1,MS,7.7000000000,1,1142391.0376299999,1142391.0376299999,0.0027600000
78,1,MS,9.9416700000,1,1141235.8961100001,1141235.8961100001,0.0033200000
79,1,MS,13.1000000000,1,1139748.2492100000,1139748.2492100000,0.0043000000
80,1,MS,17.0416700000,1,1137778.6198900000,1137778.6198900000,0.0058800000
81,1,MS,18.6000000000,1,1135564.2954700000,1135564.2954700000,0.0066300000
82,1,MS,19.4333300000,1,1133284.3522200000,1133284.3522200000,0.0070700000
83,1,MS,20.0666700000,1,1130879.9664300000,1130879.9664300000,0.0074200000
84,1,MS,20.0916700000,1,1128535.7549699999,1128535.7549699999,0.0074300000
85,1,MS,20.8583300000,1,1126022.5575600001,1126022.5575600001,0.0078800000
86,1,MS,21.0750000000,1,1123538.0516500000,1123538.0516500000,0.0080100000
87,1,MS,20.2583300000,1,1121171.5224400000,1121171.5224400000,0.0075300000
88,1,MS,19.5416700000,1,1118978.6430500001,1118978.6430500001,0.0071300000
89,1,MS,19.0083300000,1,1116847.7446900001,1116847.7446900001,0.0068400000
90,1,MS,17.0666700000,1,1115048.5694800001,1115048.5694800001,0.0058900000
91,1,MS,15.2000000000,1,1113484.3741700000,1113484.3741700000,0.0050800000
92,1,MS,13.1250000000,1,1112179.0939700000,1112179.0939700000,0.0043100000
93,1,MS,12.0750000000,1,1110977.5986899999,1110977.5986899999,0.0039600000
94,1,MS,12.9750000000,1,1109708.3636300000,1109708.3636300000,0.0042600000
95,1,MS,14.1083300000,1,1108320.3602700001,1108320.3602700001,0.0046600000
96,1,MS,14.6583300000,1,1106904.6733500001,1106904.6733500001,0.0048700000
97,1,MS,14.9250000000,1,1105462.6848500001,1105462.6848500001,0.0049700000
98,1,MS,15.1166700000,1,1104036.5022400001,1104036.5022400001,0.0050500000
99,1,MS,15.0916700000,1,1102617.7460300000,1102617.7460300000,0.0050400000
100,1,MS,14.9416700000,1,1101252.2154200000,1101252.2154200000,0.0049800000
101,1,MS,15.1583300000,1,1099867.8231800001,1099867.8231800001,0.0050700000
102,1,MS,15.3416700000,1,1098501.4589900000,1098501.4589900000,0.0051400000
103,1,MS,17.0833300000,1,1096941.1619100000,1096941.1619100000,0.0058900000
104,1,MS,18.7583300000,1,1095229.4262600001,1095229.4262600001,0.0067100000
105,1,MS,19.7500000000,1,1093386.2148700000,1093386.2148700000,0.0072400000
106,1,MS,20.6333300000,1,1091487.2875399999,1091487.2875399999,0.0077400000
107,1,MS,20.9333300000,1,1089529.6458900000,1089529.6458900000,0.0079200000
108,1,MS,21.2000000000,1,1087588.8150899999,1087588.8150899999,0.0080800000
109,1,MS,21.4500000000,1,1085577.5195200001,1085577.5195200001,0.0082300000
110,1,MS,21.0750000000,1,1083664.2902299999,1083664.2902299999,0.0080100000
111,1,MS,20.9250000000,1,1081734.8301700000,1081734.8301700000,0.0079200000
112,1,MS,20.3000000000,1,1079929.8190200001,1079929.8190200001,0.0075500000
113,1,MS,18.8833300000,1,1078283.2322199999,1078283.2322199999,0.0067800000
114,1,MS,16.7666700000,1,1076907.1301000000,1076907.1301000000,0.0057500000
115,1,MS,15.2500000000,1,1075674.7305900001,1075674.7305900001,0.0051000000
116,1,MS,13.7750000000,1,1074595.4680300001,1074595.4680300001,0.0045400000
117,1,MS,13.1666700000,1,1073564.5528599999,1073564.5528599999,0.0043200000
118,1,MS,12.5416700000,1,1072600.4920200000,1072600.4920200000,0.0041100000
119,1,MS,13.2416700000,1,1071580.6295700001,1071580.6295700001,0.0043500000
120,1,MS,12.1333300000,1,1070664.7988600000,1070664.7988600000,0.0039800000
121,1,MS,11.6083300000,1,1069788.0921400001,1069788.0921400001,0.0038100000
122,1,MS,11.4416700000,1,1068938.0944399999,1068938.0944399999,0.0037600000
123,1,MS,11.4333300000,1,1068090.1220799999,1068090.1220799999,0.0037600000
124,1,MS,12.6166700000,1,1067175.2585199999,1067175.2585199999,0.0041300000
125,1,MS,12.9916700000,1,1066234.6258799999,1066234.6258799999,0.0042600000
126,1,MS,14.1250000000,1,1065228.8370999999,1065228.8370999999,0.0046700000
