plant,axis,metamer,organ,element,width,height,PARa,length
1,MS,9,blade,LeafElement1,0.011,0.17,0,0.175081101
1,MS,9,internode,HiddenElement,0.002,0.03,0,0.04382181
1,MS,9,sheath,StemElement,0.002,0.12,0,0.062381525
1,MS,10,blade,LeafElement1,0.014,0.28,0,0.189396149
1,MS,10,internode,HiddenElement,0.003,0.11,0,0.086666667
1,MS,10,sheath,StemElement,0.003,0.22,0,0.093255723
1,MS,11,blade,LeafElement1,0.019,0.41,0,0.183678068
1,MS,11,internode,HiddenElement,0.003,0.21,0,0.112792391
1,MS,11,internode,StemElement,0.003,0.21,0,0.012290942
1,MS,11,sheath,StemElement,0.004,0.34,0,0.119298126
1,MS,12,blade,LeafElement1,0.025,0.6,0,0.145095667
1,MS,12,internode,HiddenElement,0.003,0.34,0,0.119298126
1,MS,12,internode,StemElement,0.003,0.41,0,0.061701874
1,MS,12,sheath,StemElement,0.004,0.52,0,0.125684226
1,MS,13,peduncle,HiddenElement,0.003,0.52,0,0.125684226
1,MS,13,peduncle,StemElement,0.003,0.65,0,0.072315774
1,MS,14,ear,StemElement,0.012,0.74,0,0.0738
