t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,height,minerals_plant,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
0,1,MS,226.29659,False,0,19.10000,0.00253,1,14778.36149,14778.36149,120,0.10703,2.14017,12,0.00151,reproductive,2.05255,9.55535,30.34587,14778.36149
1,1,MS,85.95200,False,0,19.10000,0.00253,1,14778.36149,14778.36149,120,0.10703,2.14033,12,0.00151,reproductive,2.05255,10.50503,23.19022,14778.36149
2,1,MS,43.39979,False,0,17.10000,0.00084,1,12252.06953,12252.06953,120,0.10703,2.14019,12,0.00275,reproductive,3.75423,10.28484,20.52706,27030.43103
3,1,MS,20.20905,False,0,17.10000,0.00084,1,12252.06953,12252.06953,120,0.10703,2.14034,12,0.00275,reproductive,3.75423,10.15801,20.27403,27030.43103
4,1,MS,15.82678,False,0,16.50000,0.00084,1,11549.03790,11549.03790,120,0.10703,2.14022,12,0.00393,reproductive,5.35826,9.94522,19.59425,38579.46893
5,1,MS,8.19642,False,0,16.50000,0.00084,1,11549.03790,11549.03790,120,0.10703,2.14037,12,0.00393,reproductive,5.35826,9.86770,19.44599,38579.46893
6,1,MS,10.54494,False,0,16.60000,0.00095,1,11664.27261,11664.27261,120,0.10703,2.14026,12,0.00512,reproductive,6.97830,9.87671,19.67964,50243.74154
7,1,MS,5.97882,False,0,16.60000,0.00095,1,11664.27261,11664.27261,120,0.10703,2.14041,12,0.00512,reproductive,6.97830,10.05679,19.74366,50243.74154
8,1,MS,9.66597,False,0,16.50000,0.00273,1,11549.03790,11549.03790,120,0.10703,2.14030,12,0.00629,reproductive,8.58233,9.62704,19.43832,61792.77944
9,1,MS,5.80793,False,0,16.50000,0.00273,1,11549.03790,11549.03790,120,0.10703,2.14043,12,0.00629,reproductive,8.58233,8.92206,19.07192,61792.77944
10,1,MS,10.58355,False,0,16.30000,0.00637,1,11320.93591,11320.93591,120,0.10703,2.14033,12,0.00744,reproductive,10.15468,9.32831,19.48382,73113.71535
11,1,MS,8.33687,False,0,16.30000,0.00637,1,11320.93591,11320.93591,120,0.10703,2.14050,12,0.00744,reproductive,10.15468,10.66597,20.25016,73113.71535
12,1,MS,16.40484,False,0,17.80000,0.02200,1,13106.26201,13106.26201,120,0.10703,2.14038,12,0.00878,reproductive,11.97500,10.22306,23.48714,86219.97736
13,1,MS,16.15048,False,0,17.80000,0.02200,1,13106.26201,13106.26201,120,0.10703,2.14056,12,0.00878,reproductive,11.97500,10.90666,24.04308,86219.97736
14,1,MS,22.44073,False,0,18.80000,0.01996,1,14383.72660,14383.72660,120,0.10703,2.14043,12,0.01024,reproductive,13.97274,10.86584,24.39793,100603.70396
15,1,MS,16.93258,False,0,18.80000,0.01996,1,14383.72660,14383.72660,120,0.10703,2.14063,12,0.01024,reproductive,13.97274,11.20553,24.69138,100603.70396
16,1,MS,21.47423,False,0,18.80000,0.01921,1,14383.72660,14383.72660,120,0.10703,2.14051,12,0.01171,reproductive,15.97048,10.77134,24.19633,114987.43055
17,1,MS,15.21125,False,0,18.80000,0.01921,1,14383.72660,14383.72660,120,0.10703,2.14068,12,0.01171,reproductive,15.97048,10.25696,23.99351,114987.43055
18,1,MS,16.18651,False,0,16.30000,0.00929,1,11320.93591,11320.93591,120,0.10703,2.14060,12,0.01286,reproductive,17.54283,8.92804,19.54809,126308.36646
19,1,MS,9.14168,False,0,16.30000,0.00929,1,11320.93591,11320.93591,120,0.10703,2.14071,12,0.01286,reproductive,17.54283,7.45283,18.70274,126308.36646
20,1,MS,8.59952,False,0,11.60000,0.00229,1,6890.55795,6890.55795,120,0.10703,2.14067,12,0.01356,reproductive,18.49985,6.30894,13.65504,133198.92441
