t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
0,1,MS,8,internode,StemElement,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,0.00000,NA,NA,0.00000,0.00000,NA,0.00000,0.00000,NA,NA,False,True,NA,NA,NA,0.00000,NA,0.00000,0.00000,NA,0.00000,0.00000,0.00000,NA,0.00000,NA
0,1,MS,8,sheath,StemElement,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,0.00000,NA,NA,0.00000,0.00000,NA,0.00000,0.00000,NA,NA,False,True,NA,NA,NA,0.00000,NA,0.00000,0.00000,NA,0.00000,0.00000,0.00000,NA,0.00000,NA
0,1,MS,9,blade,LeafElement1,0.00000,0.04778,0.00000,0.00000,1.10249,0.00000,3.00211,-0.11106,-2.08206,0.01235,0.00639,0.00000,0.00034,0.00000,0.00000,0.00000,0.00000,0.33879,0.09472,0.00000,0.00000,0.00000,1.66662,0.00000,0.00000,35.27089,0.16017,0.00027,18.76028,NA,5.00000,1.22892,2.36368,0.00599,0.00000,0.00171,0.05000,0.24592,False,False,1.00000,0.04000,816.66667,0.03969,1.00000,0.00627,9.94323,0.00135,0.00031,0.00000,164.39414,0.33879,0.00000,0.00969
0,1,MS,9,internode,HiddenElement,0.00000,0.00264,0.00000,0.00000,4.49431,0.00000,0.06496,-0.10901,9.84051,0.01078,0.00035,0.00000,0.00031,0.00000,0.00000,0.00000,0.00437,0.54726,2.62380,0.00000,0.00000,0.00000,2.29154,0.00000,0.00000,57.13340,0.15155,0.00002,18.68309,NA,5.00000,3.30364,0.09535,0.00033,0.00000,0.00010,0.05000,0.03000,False,False,1.00000,0.07400,432.43243,0.07400,1.00000,0.00035,31.82976,0.00000,0.00000,0.00000,306.48875,0.55163,0.00000,0.00200
0,1,MS,9,internode,StemElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,9,sheath,StemElement,0.00000,0.01753,0.00000,0.00000,4.47916,0.00000,0.12553,-0.05438,6.41301,0.01409,0.00234,0.00000,0.00042,0.00000,0.00000,0.00000,0.00223,0.56173,0.41605,0.00000,0.00000,0.00000,2.72933,0.00000,0.00000,58.44432,0.15566,0.00010,18.71999,NA,5.00000,3.19295,0.14442,0.00220,0.00000,0.00065,0.05000,0.13609,False,False,1.00000,0.05800,431.03448,0.05800,1.00000,0.00230,24.89423,0.00000,0.00000,0.00000,240.22091,0.56396,0.00000,0.00200
0,1,MS,10,blade,LeafElement1,0.00000,0.05938,0.00000,0.00000,5.00186,0.00000,3.36154,0.55400,0.82490,0.03406,0.00794,0.00000,0.00047,0.00000,0.00000,0.00000,0.00025,1.17399,0.26368,0.00000,0.00000,0.00000,5.62827,0.00000,0.00000,121.09808,0.15992,0.00034,18.75809,NA,5.00000,7.40904,3.33400,0.00745,0.00000,0.00213,0.05000,0.27481,False,False,1.00000,0.05000,2450.00000,0.05000,1.00000,0.00780,80.04618,0.00000,0.00000,0.00000,207.08699,1.17424,0.00000,0.01106
0,1,MS,10,internode,HiddenElement,0.00000,0.00651,0.00000,0.00000,4.48556,0.00000,0.04428,-0.11507,19.98935,0.00906,0.00087,0.00000,0.00026,0.00000,0.00000,0.00000,0.01307,0.67606,1.29661,0.00000,0.00000,0.00000,2.49093,0.00000,0.00000,70.64692,0.14960,0.00004,18.66564,NA,5.00000,5.37307,0.09575,0.00082,0.00000,0.00025,0.05000,0.11000,False,False,1.00000,0.10900,431.19266,0.10900,1.00000,0.00085,46.77385,0.00000,0.00000,0.00000,451.44964,0.68913,0.00000,0.00300
0,1,MS,10,internode,StemElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,10,sheath,StemElement,0.00000,0.02801,0.00000,0.00000,4.54865,0.00000,0.10047,-0.10427,9.61791,0.01052,0.00375,0.00000,0.00028,0.00000,0.00000,0.00000,0.00421,0.52745,0.24169,0.00000,0.00000,0.00000,2.32963,0.00000,0.00000,55.01057,0.15386,0.00016,18.70384,NA,5.00000,3.32304,0.14549,0.00351,0.00000,0.00105,0.05000,0.21386,False,False,1.00000,0.07300,438.35616,0.07300,1.00000,0.00368,31.83039,0.00000,0.00000,0.00000,302.34701,0.53166,0.00000,0.00300
0,1,MS,11,blade,LeafElement1,0.00000,0.06242,0.00000,0.00000,4.40997,0.00000,4.26442,1.59599,11.75277,0.04154,0.00835,0.00000,0.00077,0.00000,0.00000,0.00000,0.00635,2.58265,0.56284,0.00000,0.00000,0.00000,6.51627,0.00000,0.00000,265.32753,0.16312,0.00036,18.78666,NA,5.00000,17.03329,7.61308,0.00783,0.00000,0.00220,0.05000,0.39566,False,False,1.00000,0.09000,2450.00000,0.09000,1.00000,0.00820,193.22282,0.00000,0.00000,0.00000,372.75659,2.58899,0.00000,0.01174
0,1,MS,11,internode,HiddenElement,0.00000,0.01070,0.00000,0.00000,4.51460,0.00000,0.04767,-0.14311,38.42811,0.00880,0.00143,0.00000,0.00032,0.00000,0.00000,0.00000,0.03505,0.91882,1.10123,0.00000,0.00000,0.00000,2.49405,0.00000,0.00000,95.75641,0.15371,0.00006,18.70250,NA,5.00000,7.50398,0.14372,0.00134,0.00000,0.00040,0.05000,0.21000,False,False,1.00000,0.15200,434.21053,0.15200,1.00000,0.00141,65.68100,0.00000,0.00000,0.00000,629.54446,0.95387,0.00000,0.00300
0,1,MS,11,internode,StemElement,0.00000,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,0.00000,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,0.15583,NA,18.72149,NA,NA,0.00000,0.00000,NA,0.00000,0.00000,0.05000,0.26659,False,True,0.00000,NA,NA,0.00000,NA,0.00000,0.00000,NA,0.00000,0.00000,0.00000,NA,0.00000,0.00300
0,1,MS,11,sheath,StemElement,0.00000,0.03352,0.00000,0.00000,4.48342,0.00000,0.10273,-0.12078,15.41605,0.00953,0.00448,0.00000,0.00028,0.00000,0.00000,0.00000,0.00879,0.62196,0.23986,0.00000,0.00000,0.00000,2.35921,0.00000,0.00000,64.82144,0.15497,0.00019,18.71374,NA,5.00000,4.38956,0.19360,0.00421,0.00000,0.00124,0.05000,0.33234,False,False,1.00000,0.09500,431.57895,0.09500,1.00000,0.00440,40.78902,0.00000,0.00000,0.00000,393.46529,0.63075,0.00000,0.00400
0,1,MS,12,blade,LeafElement1,0.00000,0.05212,0.00000,0.00000,3.57258,0.00000,5.13776,2.96496,28.39564,0.04462,0.00697,0.00000,0.00097,0.00000,0.00000,0.00000,0.02385,4.32882,1.16533,0.00000,0.00000,0.00000,6.99595,0.00000,0.00000,442.87151,0.16830,0.00030,18.83276,NA,5.00000,30.12554,14.26788,0.00654,0.00000,0.00178,0.05000,0.61457,False,False,1.00000,0.14000,2450.00000,0.14000,1.00000,0.00685,343.53169,0.00000,0.00000,0.00000,579.84358,4.35267,0.00000,0.01202
0,1,MS,12,internode,HiddenElement,0.00000,0.01102,0.00000,0.00000,4.47430,0.00000,0.15015,-0.16375,42.84553,0.00931,0.00147,0.00000,0.00042,0.00000,0.00000,0.00000,0.04113,1.02548,1.22885,0.00000,0.00000,0.00000,2.40209,0.00000,0.00000,106.56516,0.15837,0.00006,18.74420,NA,5.00000,7.55266,0.47655,0.00138,0.00000,0.00040,0.05000,0.34000,False,False,1.00000,0.16000,431.25000,0.16000,1.00000,0.00145,68.65536,0.00000,0.00000,0.00000,662.67838,1.06661,0.00000,0.00300
0,1,MS,12,internode,StemElement,0.00000,0.01846,0.00000,0.00000,4.21278,0.00000,0.75195,-0.08079,2.93606,0.00925,0.00247,0.00000,0.00009,0.00000,0.00000,0.00000,0.00056,0.20418,0.14849,0.00000,0.00000,0.00000,1.95848,0.00000,0.00000,21.25671,0.16096,0.00011,18.76736,NA,5.00000,1.19008,0.47731,0.00232,0.00000,0.00066,0.05000,0.42278,False,False,1.00000,0.03200,437.50000,0.03200,1.00000,0.00242,13.92377,0.00000,0.00000,0.00000,132.53567,0.20475,0.00000,0.00300
0,1,MS,12,sheath,StemElement,0.00000,0.02887,0.00000,0.00000,4.46082,0.00000,0.19607,-0.15304,24.96066,0.01146,0.00386,0.00000,0.00060,0.00000,0.00000,0.00000,0.01842,0.97202,0.45227,0.00000,0.00000,0.00000,2.29099,0.00000,0.00000,100.85399,0.16109,0.00017,18.76849,NA,5.00000,5.48964,0.47837,0.00362,0.00000,0.00103,0.05000,0.51642,False,False,1.00000,0.12300,430.89431,0.12300,1.00000,0.00379,52.72149,0.00000,0.00000,0.00000,509.43400,0.99044,0.00000,0.00400
0,1,MS,13,peduncle,HiddenElement,0.00000,0.01424,0.00000,0.00000,4.45695,0.00000,0.31724,-0.10619,18.90715,0.01154,0.00190,0.00000,0.00051,0.00000,0.00000,0.00000,0.01202,0.84505,0.80996,0.00000,0.00000,0.00000,2.54258,0.00000,0.00000,87.50174,0.16366,0.00008,18.79146,NA,5.00000,5.35544,0.66704,0.00179,0.00000,0.00050,0.05000,0.52000,False,False,1.00000,0.10600,433.96226,0.10600,1.00000,0.00187,45.78916,0.00000,0.00000,0.00000,439.02443,0.85707,0.00000,0.00300
0,1,MS,13,peduncle,StemElement,0.00000,0.00780,0.00000,0.00000,4.19586,0.00000,0.70318,-0.11287,6.45070,0.01126,0.00104,0.00000,0.00028,0.00000,0.00000,0.00000,0.00224,0.45185,0.80195,0.00000,0.00000,0.00000,2.04788,0.00000,0.00000,46.78346,0.16598,0.00004,18.81213,NA,5.00000,2.27090,0.80901,0.00098,0.00000,0.00027,0.05000,0.61535,False,False,1.00000,0.05800,431.03448,0.05800,1.00000,0.00102,24.86970,0.00000,0.00000,0.00000,240.22091,0.45409,0.00000,0.00300
0,1,MS,14,ear,StemElement,0.00000,0.04059,0.00000,0.00000,3.74564,0.00000,3.42489,0.56199,28.34217,0.02262,0.00543,0.00000,0.00101,0.00000,0.00000,0.00000,0.03571,3.26624,1.04384,0.00000,0.00000,0.00000,4.64160,0.00000,0.00000,338.83031,0.15552,0.00023,18.71866,NA,5.00000,23.24722,14.26670,0.00509,0.00000,0.00150,0.05000,0.68836,False,False,1.00000,0.21000,1157.14286,0.21000,1.00000,0.00533,243.22595,0.00000,0.00000,0.00000,869.76537,3.30195,0.00000,0.01200
1,1,MS,8,internode,StemElement,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,0.00000,NA,NA,0.00000,0.00000,NA,0.00000,0.00000,NA,NA,False,True,NA,NA,NA,0.00000,NA,0.00000,0.00000,NA,0.00000,0.00000,0.00000,NA,0.00000,NA
1,1,MS,8,sheath,StemElement,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,0.00000,NA,NA,0.00000,0.00000,NA,0.00000,0.00000,NA,NA,False,True,NA,NA,NA,0.00000,NA,0.00000,0.00000,NA,0.00000,0.00000,0.00000,NA,0.00000,NA
1,1,MS,9,blade,LeafElement1,0.00000,0.04989,0.00000,0.00000,1.06130,0.00000,2.62176,-0.09337,10.88947,0.01235,0.00663,0.00000,0.00034,0.00000,0.00000,0.00000,0.00259,0.33781,0.09472,0.00000,0.00000,0.00000,1.65694,0.00000,0.00000,35.41947,0.16017,0.00027,18.76028,NA,5.00000,1.35541,2.26429,0.00788,0.00000,0.00171,0.05000,0.24592,False,False,1.00000,0.04000,816.66667,0.03969,1.00000,0.01278,9.96532,0.00135,0.00031,0.00000,160.02605,0.34040,0.00000,0.00969
1,1,MS,9,internode,HiddenElement,0.00000,0.00275,0.00000,0.00000,4.08013,0.00000,0.05679,-0.08491,34.94683,0.01078,0.00037,0.00000,0.00031,0.00000,0.00000,0.00000,0.01552,0.54427,2.62380,0.00000,0.00000,0.00000,2.21637,0.00000,0.00000,57.23018,0.15155,0.00002,18.68309,NA,5.00000,3.54355,0.09144,0.00043,0.00000,0.00010,0.05000,0.03000,False,False,1.00000,0.07400,432.43243,0.07400,1.00000,0.00071,31.68662,0.00000,0.00000,0.00000,298.34508,0.55979,0.00000,0.00200
1,1,MS,9,internode,StemElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,MS,9,sheath,StemElement,0.00000,0.01830,0.00000,0.00000,4.07012,0.00000,0.11127,-0.03797,7.97351,0.01409,0.00243,0.00000,0.00042,0.00000,0.00000,0.00000,0.00277,0.55819,0.41605,0.00000,0.00000,0.00000,2.58420,0.00000,0.00000,58.50673,0.15566,0.00010,18.71999,NA,5.00000,3.34464,0.14042,0.00289,0.00000,0.00065,0.05000,0.13609,False,False,1.00000,0.05800,431.03448,0.05800,1.00000,0.00469,24.80495,0.00000,0.00000,0.00000,233.83803,0.56096,0.00000,0.00200
1,1,MS,10,blade,LeafElement1,0.00000,0.06201,0.00000,0.00000,4.83234,0.00000,2.93460,0.45468,7.74749,0.03406,0.00824,0.00000,0.00047,0.00000,0.00000,0.00000,0.00232,1.15964,0.26368,0.00000,0.00000,0.00000,4.93058,0.00000,0.00000,120.66428,0.15992,0.00034,18.75809,NA,5.00000,6.95867,3.19268,0.00979,0.00000,0.00213,0.05000,0.27481,False,False,1.00000,0.05000,2450.00000,0.05000,1.00000,0.01589,80.06276,0.00000,0.00000,0.00000,201.58451,1.16196,0.00000,0.01106
1,1,MS,10,internode,HiddenElement,0.00000,0.00680,0.00000,0.00000,4.07363,0.00000,0.03895,-0.08793,13.48760,0.00906,0.00090,0.00000,0.00026,0.00000,0.00000,0.00000,0.00882,0.67219,1.29661,0.00000,0.00000,0.00000,2.37455,0.00000,0.00000,70.75187,0.14960,0.00004,18.66564,NA,5.00000,5.66958,0.09237,0.00107,0.00000,0.00025,0.05000,0.11000,False,False,1.00000,0.10900,431.19266,0.10900,1.00000,0.00174,46.58229,0.00000,0.00000,0.00000,439.45423,0.68102,0.00000,0.00300
1,1,MS,10,internode,StemElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,MS,10,sheath,StemElement,0.00000,0.02925,0.00000,0.00000,4.12965,0.00000,0.08999,-0.07929,24.55735,0.01052,0.00389,0.00000,0.00028,0.00000,0.00000,0.00000,0.01076,0.52480,0.24169,0.00000,0.00000,0.00000,2.26244,0.00000,0.00000,55.12826,0.15386,0.00016,18.70384,NA,5.00000,3.58258,0.14293,0.00462,0.00000,0.00105,0.05000,0.21386,False,False,1.00000,0.07300,438.35616,0.07300,1.00000,0.00749,31.68853,0.00000,0.00000,0.00000,294.31339,0.53556,0.00000,0.00300
1,1,MS,11,blade,LeafElement1,0.00000,0.06518,0.00000,0.00000,4.31300,0.00000,3.71750,1.23617,5.30133,0.04154,0.00866,0.00000,0.00077,0.00000,0.00000,0.00000,0.00286,2.54582,0.56284,0.00000,0.00000,0.00000,5.63828,0.00000,0.00000,264.00730,0.16312,0.00036,18.78666,NA,5.00000,15.56731,7.27997,0.01029,0.00000,0.00220,0.05000,0.39566,False,False,1.00000,0.09000,2450.00000,0.09000,1.00000,0.01670,193.36856,0.00000,0.00000,0.00000,362.85211,2.54868,0.00000,0.01174
1,1,MS,11,internode,HiddenElement,0.00000,0.01117,0.00000,0.00000,4.09990,0.00000,0.04196,-0.10966,53.88739,0.00880,0.00149,0.00000,0.00032,0.00000,0.00000,0.00000,0.04915,0.91344,1.10123,0.00000,0.00000,0.00000,2.37506,0.00000,0.00000,95.88976,0.15371,0.00006,18.70250,NA,5.00000,7.90824,0.13878,0.00176,0.00000,0.00040,0.05000,0.21000,False,False,1.00000,0.15200,434.21053,0.15200,1.00000,0.00286,65.41009,0.00000,0.00000,0.00000,612.81692,0.96258,0.00000,0.00300
1,1,MS,11,internode,StemElement,0.00000,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,0.00000,NA,NA,NA,NA,0.00000,NA,NA,NA,NA,NA,NA,NA,0.15583,NA,18.72149,NA,NA,0.00000,0.00000,NA,0.00000,0.00000,0.05000,0.26659,False,True,0.00000,NA,NA,0.00000,NA,0.00000,0.00000,NA,0.00000,0.00000,0.00000,NA,0.00000,0.00300
1,1,MS,11,sheath,StemElement,0.00000,0.03500,0.00000,0.00000,4.07090,0.00000,0.09175,-0.09237,11.19188,0.00953,0.00465,0.00000,0.00028,0.00000,0.00000,0.00000,0.00638,0.61883,0.23986,0.00000,0.00000,0.00000,2.27941,0.00000,0.00000,64.95911,0.15497,0.00019,18.71374,NA,5.00000,4.70417,0.18966,0.00553,0.00000,0.00124,0.05000,0.33234,False,False,1.00000,0.09500,431.57895,0.09500,1.00000,0.00897,40.61208,0.00000,0.00000,0.00000,383.01057,0.62520,0.00000,0.00400
1,1,MS,12,blade,LeafElement1,0.00000,0.05443,0.00000,0.00000,3.52120,0.00000,4.47581,2.25247,20.16599,0.04462,0.00724,0.00000,0.00097,0.00000,0.00000,0.00000,0.01694,4.26295,1.16533,0.00000,0.00000,0.00000,6.03396,0.00000,0.00000,440.37763,0.16830,0.00030,18.83276,NA,5.00000,27.23774,13.63439,0.00859,0.00000,0.00178,0.05000,0.61457,False,False,1.00000,0.14000,2450.00000,0.14000,1.00000,0.01395,343.92560,0.00000,0.00000,0.00000,564.43663,4.27989,0.00000,0.01202
1,1,MS,12,internode,HiddenElement,0.00000,0.01151,0.00000,0.00000,4.06365,0.00000,0.13118,-0.12754,46.45959,0.00931,0.00153,0.00000,0.00042,0.00000,0.00000,0.00000,0.04460,1.01949,1.22885,0.00000,0.00000,0.00000,2.29730,0.00000,0.00000,106.71768,0.15837,0.00006,18.74420,NA,5.00000,7.99742,0.45671,0.00182,0.00000,0.00040,0.05000,0.34000,False,False,1.00000,0.16000,431.25000,0.16000,1.00000,0.00295,68.36312,0.00000,0.00000,0.00000,645.07044,1.06409,0.00000,0.00300
1,1,MS,12,internode,StemElement,0.00000,0.01927,0.00000,0.00000,3.84718,0.00000,0.65848,-0.06260,14.36566,0.00925,0.00256,0.00000,0.00009,0.00000,0.00000,0.00000,0.00276,0.20369,0.14849,0.00000,0.00000,0.00000,1.97976,0.00000,0.00000,21.34528,0.16096,0.00011,18.76736,NA,5.00000,1.34134,0.45849,0.00304,0.00000,0.00066,0.05000,0.42278,False,False,1.00000,0.03200,437.50000,0.03200,1.00000,0.00494,13.86109,0.00000,0.00000,0.00000,129.01409,0.20644,0.00000,0.00300
