t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.67079,NA,NA,NA,NA,0.19282,NA,0.00000,11.43538,NA,NA,NA,NA,3327.86106,NA,NA,NA,NA,NA,107.19352,NA,NA,0.00000,500.00000,2456.76717,NA,NA,NA
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.44943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8863.36077,NA,NA
0,1,MS,roots,0.23886,229.81454,0.44098,0.05897,0.05533,58.21661,10.16044,0.00998,NA,0.02733,4.05719,NA,NA,NA,6.79472,8.24874,0.02741,NA,2.57311,NA,NA,777.30639,19.37507,1149.07272,10.21963,NA,64.44438,3.63147,0.00067,0.50350,258.51467,NA,0.00000,0.00253,0.00117,NA,NA,1457.63964,23.95321,10.87923
1,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.18437,NA,NA,NA,NA,0.17414,NA,0.00000,10.24449,NA,NA,NA,NA,6307.30673,NA,NA,NA,NA,NA,107.36674,NA,NA,0.00000,500.00000,2462.82474,NA,NA,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.66901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8628.62175,NA,NA
1,1,MS,roots,0.23886,96.79843,0.46049,0.06121,0.07271,51.91363,3.72303,0.00998,NA,0.02986,4.10229,NA,NA,NA,6.69935,8.24874,0.02995,NA,2.42131,NA,NA,780.15699,8.22688,483.99214,10.33323,NA,67.29497,4.77200,0.00067,0.50350,268.37348,NA,0.00000,0.00253,0.00117,NA,NA,1749.66285,23.95321,10.83151
2,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.87962,NA,NA,NA,NA,0.16335,NA,0.00000,9.49838,NA,NA,NA,NA,9066.28547,NA,NA,NA,NA,NA,107.52898,NA,NA,0.00000,500.00000,2468.43967,NA,NA,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.23061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8502.84497,NA,NA
2,1,MS,roots,0.33999,50.93694,0.15650,0.02114,0.02988,47.70716,1.89222,0.00997,NA,0.02962,3.90840,NA,NA,NA,6.46122,11.74095,0.02971,NA,2.29580,NA,NA,780.46078,4.38003,254.68470,9.84484,NA,68.63439,5.88563,0.00095,0.50348,278.07106,NA,0.00000,0.00084,0.00214,NA,NA,1847.57581,34.09407,10.39924
3,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.73631,NA,NA,NA,NA,0.15934,NA,0.00000,9.14753,NA,NA,NA,NA,11719.02664,NA,NA,NA,NA,NA,107.68717,NA,NA,0.00000,500.00000,2473.84634,NA,NA,NA
