t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,1175052.25969,19.10000,0.00689,1175052.25969,1
1,1,MS,1170979.93882,17.90000,0.00628,1170979.93882,1
2,1,MS,1166989.68780,17.10000,0.00590,1166989.68780,1
3,1,MS,1163072.80422,16.70000,0.00572,1163072.80422,1
4,1,MS,1159290.13517,16.50000,0.00563,1159290.13517,1
5,1,MS,1155580.02869,16.40000,0.00559,1155580.02869,1
6,1,MS,1151920.36116,16.60000,0.00568,1151920.36116,1
7,1,MS,1148235.18958,16.90000,0.00581,1148235.18958,1
8,1,MS,1144774.03383,16.50000,0.00563,1144774.03383,1
9,1,MS,1141624.28368,15.50000,0.00521,1141624.28368,1
10,1,MS,1138366.04542,16.30000,0.00554,1138366.04542,1
11,1,MS,1134648.19805,18.20000,0.00643,1134648.19805,1
