Cont_WSC_DM_roots,plant,N_content_mstruct,Tillers_Photosynthesis_An,mstruct,mstruct_laminae,Cont_WSC_DM_stem,senesced_mstruct,C_N_ratio_shoot,dry_mass_phloem,sum_dry_mass,C_respired_shoot,C_N_ratio,NS_laminae,NS_roots,shoot_roots_mstruct_ratio,C_respired_roots,sum_respi_shoot,N_content_total_DM_shoot,Total_Photosynthesis,Cont_WSC_DM_shoot,sum_C_g,Tillers_Photosynthesis,sum_dry_mass_roots,mstruct_shoot,Cont_WSC_DM_laminae,sum_dry_mass_stem,N_content_roots,sum_respi_roots,Cont_WSC_DM,sum_dry_mass_shoot,NS,N_content_mstruct_shoot,N_content_mstruct_roots,N_content,sum_dry_mass_laminae,shoot_roots_ratio,N_content_shoot,C_exudated,sum_N_g_shoot,NS_stem,sum_NSC_g,Total_Transpiration,mstruct_stem,NNI,NS_shoot,t,axis,sum_N_g
NA,1,NA,NA,2.1401700000,NA,NA,0.0015100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3577600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7265600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.9833000000,NA,NA,NA,0.0025300000,NA,NA,NA,0.0000000000,MS,NA
NA,1,NA,NA,2.1403300000,NA,NA,0.0015100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1903800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7306900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.1607100000,NA,NA,NA,0.0025300000,NA,NA,NA,1.0000000000,MS,NA
NA,1,NA,NA,2.1401900000,NA,NA,0.0027500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5266400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5198600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4982600000,NA,NA,NA,0.0008400000,NA,NA,NA,2.0000000000,MS,NA
NA,1,NA,NA,2.1403400000,NA,NA,0.0027500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2735700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3987300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3197700000,NA,NA,NA,0.0008400000,NA,NA,NA,3.0000000000,MS,NA
NA,1,NA,NA,2.1402200000,NA,NA,0.0039300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5933100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1856700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8808500000,NA,NA,NA,0.0008400000,NA,NA,NA,4.0000000000,MS,NA
NA,1,NA,NA,2.1403700000,NA,NA,0.0039300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4450300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1108800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3064500000,NA,NA,NA,0.0008400000,NA,NA,NA,5.0000000000,MS,NA
NA,1,NA,NA,2.1402600000,NA,NA,0.0051200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6784800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1228300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6847600000,NA,NA,NA,0.0009500000,NA,NA,NA,6.0000000000,MS,NA
NA,1,NA,NA,2.1404100000,NA,NA,0.0051200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7423300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3125400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1362300000,NA,NA,NA,0.0009500000,NA,NA,NA,7.0000000000,MS,NA
NA,1,NA,NA,2.1403000000,NA,NA,0.0062900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4366900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8737700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8327400000,NA,NA,NA,0.0027300000,NA,NA,NA,8.0000000000,MS,NA
NA,1,NA,NA,2.1404300000,NA,NA,0.0062900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0698900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1535500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9613100000,NA,NA,NA,0.0027300000,NA,NA,NA,9.0000000000,MS,NA
