t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,19.1000000000,1,1175055.1173000000,1175055.1173000000,0.0068900000
1,1,MS,17.9000000000,1,1170983.1699399999,1170983.1699399999,0.0062800000
2,1,MS,17.1000000000,1,1166991.3039800001,1166991.3039800001,0.0059000000
3,1,MS,16.7000000000,1,1163072.0678300001,1163072.0678300001,0.0057200000
4,1,MS,16.5000000000,1,1159285.6994800000,1159285.6994800000,0.0056300000
5,1,MS,16.4000000000,1,1155571.3329500000,1155571.3329500000,0.0055900000
6,1,MS,16.6000000000,1,1151906.4361300000,1151906.4361300000,0.0056800000
7,1,MS,16.9000000000,1,1148214.8148900000,1148214.8148900000,0.0058100000
8,1,MS,16.5000000000,1,1144746.2748400001,1144746.2748400001,0.0056300000
9,1,MS,15.5000000000,1,1141588.2092800001,1141588.2092800001,0.0052100000
10,1,MS,16.3000000000,1,1138319.2190000000,1138319.2190000000,0.0055400000
11,1,MS,18.2000000000,1,1134585.2364600000,1134585.2364600000,0.0064300000
12,1,MS,17.8000000000,1,1131069.4224700001,1131069.4224700001,0.0062300000
13,1,MS,18.7000000000,1,1127328.0243299999,1127328.0243299999,0.0066800000
14,1,MS,18.8000000000,1,1123642.2919900001,1123642.2919900001,0.0067300000
15,1,MS,19.2000000000,1,1119865.4770000000,1119865.4770000000,0.0069400000
16,1,MS,18.8000000000,1,1116290.3046400000,1116290.3046400000,0.0067300000
17,1,MS,18.1000000000,1,1112928.9449499999,1112928.9449499999,0.0063800000
18,1,MS,16.3000000000,1,1110069.0586999999,1110069.0586999999,0.0055400000
19,1,MS,13.8000000000,1,1107744.4186900000,1107744.4186900000,0.0045500000
20,1,MS,11.6000000000,1,1105830.9467199999,1105830.9467199999,0.0038100000
21,1,MS,12.1000000000,1,1103859.8591100001,1103859.8591100001,0.0039600000
22,1,MS,12.0000000000,1,1101944.3344399999,1101944.3344399999,0.0039300000
23,1,MS,10.5000000000,1,1100269.8832400001,1100269.8832400001,0.0034800000
24,1,MS,10.4000000000,1,1098639.4134899999,1098639.4134899999,0.0034500000
25,1,MS,9.7000000000,1,1097117.9344400000,1097117.9344400000,0.0032600000
26,1,MS,11.8000000000,1,1095346.7084500000,1095346.7084500000,0.0038700000
27,1,MS,9.5000000000,1,1093897.4018000001,1093897.4018000001,0.0032000000
28,1,MS,9.2000000000,1,1092507.1138100000,1092507.1138100000,0.0031300000
29,1,MS,13.7000000000,1,1090527.7043999999,1090527.7043999999,0.0045100000
30,1,MS,14.9000000000,1,1088404.2953699999,1088404.2953699999,0.0049600000
31,1,MS,16.1000000000,1,1086098.1990600000,1086098.1990600000,0.0054600000
32,1,MS,18.3000000000,1,1083430.1188500000,1083430.1188500000,0.0064800000
33,1,MS,19.5000000000,1,1080532.7151500001,1080532.7151500001,0.0071000000
34,1,MS,20.3000000000,1,1077531.6575100000,1077531.6575100000,0.0075500000
35,1,MS,21.3000000000,1,1074321.3100099999,1074321.3100099999,0.0081400000
36,1,MS,22.4000000000,1,1070933.1644500000,1070933.1644500000,0.0088400000
37,1,MS,23.0000000000,1,1067430.7418800001,1067430.7418800001,0.0092400000
38,1,MS,23.2000000000,1,1063988.8210900000,1063988.8210900000,0.0093800000
39,1,MS,22.8000000000,1,1060695.8851999999,1060695.8851999999,0.0091000000
40,1,MS,22.0000000000,1,1057692.9564900000,1057692.9564900000,0.0085800000
41,1,MS,20.9000000000,1,1054973.5555000000,1054973.5555000000,0.0079000000
42,1,MS,19.6000000000,1,1052585.2920500000,1052585.2920500000,0.0071600000
43,1,MS,17.4000000000,1,1050606.3362000000,1050606.3362000000,0.0060400000
44,1,MS,16.1000000000,1,1048867.7460300000,1048867.7460300000,0.0054600000
45,1,MS,15.4000000000,1,1047252.9587500000,1047252.9587500000,0.0051600000
46,1,MS,13.2000000000,1,1045931.5465500000,1045931.5465500000,0.0043300000
47,1,MS,14.0000000000,1,1044546.7584100000,1044546.7584100000,0.0046200000
48,1,MS,13.3000000000,1,1043269.5551200000,1043269.5551200000,0.0043700000
49,1,MS,13.0000000000,1,1042043.3634700000,1042043.3634700000,0.0042600000
50,1,MS,12.7000000000,1,1040873.8380700001,1040873.8380700001,0.0041600000
51,1,MS,12.2000000000,1,1039768.1273500000,1039768.1273500000,0.0040000000
52,1,MS,12.0000000000,1,1038703.5163600000,1038703.5163600000,0.0039300000
53,1,MS,12.4000000000,1,1037620.6459900000,1037620.6459900000,0.0040600000
54,1,MS,13.4000000000,1,1036473.3539900000,1036473.3539900000,0.0044000000
55,1,MS,14.0000000000,1,1035287.3497400000,1035287.3497400000,0.0046200000
56,1,MS,14.6000000000,1,1034070.4191400000,1034070.4191400000,0.0048500000
57,1,MS,16.9000000000,1,1032631.9925700000,1032631.9925700000,0.0058100000
58,1,MS,17.7000000000,1,1031136.4400100000,1031136.4400100000,0.0061800000
59,1,MS,18.1000000000,1,1029605.9953299999,1029605.9953299999,0.0063800000
60,1,MS,19.5000000000,1,1027933.7061599999,1027933.7061599999,0.0071000000
61,1,MS,19.8000000000,1,1026233.2792900000,1026233.2792900000,0.0072700000
62,1,MS,20.1000000000,1,1024528.6800700000,1024528.6800700000,0.0074400000
63,1,MS,19.1000000000,1,1022963.7634000001,1022963.7634000001,0.0068900000
64,1,MS,19.9000000000,1,1021338.2209500000,1021338.2209500000,0.0073200000
65,1,MS,18.3000000000,1,1019919.5806500000,1019919.5806500000,0.0064800000
66,1,MS,17.1000000000,1,1018657.2757100000,1018657.2757100000,0.0059000000
67,1,MS,16.3000000000,1,1017491.8226800000,1017491.8226800000,0.0055400000
68,1,MS,15.2000000000,1,1016449.8400200000,1016449.8400200000,0.0050800000
69,1,MS,15.1000000000,1,1015435.0177000000,1015435.0177000000,0.0050400000
70,1,MS,14.7000000000,1,1014476.9033000000,1014476.9033000000,0.0048900000
71,1,MS,14.6000000000,1,1013543.8656700000,1013543.8656700000,0.0048500000
72,1,MS,13.2000000000,1,1012729.0019400000,1012729.0019400000,0.0043300000
73,1,MS,13.2000000000,1,1011927.0244699999,1011927.0244699999,0.0043300000
74,1,MS,12.9000000000,1,1011160.9067700000,1011160.9067700000,0.0042300000
75,1,MS,12.4000000000,1,1010436.0750100000,1010436.0750100000,0.0040600000
76,1,MS,11.7000000000,1,1009764.6834200000,1009764.6834200000,0.0038400000
77,1,MS,11.6000000000,1,1009108.2262499999,1009108.2262499999,0.0038100000
78,1,MS,11.7000000000,1,1008458.9481000000,1008458.9481000000,0.0038400000
79,1,MS,11.9000000000,1,1007807.8531299999,1007807.8531299999,0.0039000000
80,1,MS,12.3000000000,1,1007147.1252800000,1007147.1252800000,0.0040300000
81,1,MS,12.6000000000,1,1006477.2652000000,1006477.2652000000,0.0041300000
82,1,MS,13.1000000000,1,1005790.7224500000,1005790.7224500000,0.0043000000
83,1,MS,13.9000000000,1,1005065.9412500000,1005065.9412500000,0.0045800000
84,1,MS,15.0000000000,1,1004287.5389700000,1004287.5389700000,0.0050000000
85,1,MS,15.7000000000,1,1003471.6165300000,1003471.6165300000,0.0052900000
86,1,MS,15.9000000000,1,1002656.1112500000,1002656.1112500000,0.0053700000
87,1,MS,16.2000000000,1,1001829.2936900000,1001829.2936900000,0.0055000000
88,1,MS,16.2000000000,1,1001018.1055200000,1001018.1055200000,0.0055000000
89,1,MS,16.2000000000,1,1000218.0601000000,1000218.0601000000,0.0055000000
90,1,MS,15.4000000000,1,999483.5378500000,999483.5378500000,0.0051600000
91,1,MS,13.6000000000,1,998857.0746700000,998857.0746700000,0.0044700000
92,1,MS,14.1000000000,1,998218.9970200000,998218.9970200000,0.0046600000
93,1,MS,14.0000000000,1,997596.6790300000,997596.6790300000,0.0046200000
94,1,MS,12.7000000000,1,997048.1688800000,997048.1688800000,0.0041600000
95,1,MS,11.8000000000,1,996546.0086500000,996546.0086500000,0.0038700000
96,1,MS,10.5000000000,1,996102.6288600001,996102.6288600001,0.0034800000
97,1,MS,11.6000000000,1,995624.3901500000,995624.3901500000,0.0038100000
98,1,MS,12.1000000000,1,995135.9869200001,995135.9869200001,0.0039600000
99,1,MS,12.1000000000,1,994654.7177799999,994654.7177799999,0.0039600000
100,1,MS,12.5000000000,1,994167.4153600000,994167.4153600000,0.0040900000
101,1,MS,13.3000000000,1,993655.8153100000,993655.8153100000,0.0043700000
102,1,MS,15.2000000000,1,993072.1746000000,993072.1746000000,0.0050800000
103,1,MS,18.0000000000,1,992354.0128300000,992354.0128300000,0.0063300000
104,1,MS,19.8000000000,1,991541.0214500000,991541.0214500000,0.0072700000
105,1,MS,19.0000000000,1,990771.1062600000,990771.1062600000,0.0068400000
106,1,MS,20.7000000000,1,989895.3574600000,989895.3574600000,0.0077800000
107,1,MS,20.7000000000,1,989011.0063800000,989011.0063800000,0.0077800000
108,1,MS,20.7000000000,1,988132.9441400000,988132.9441400000,0.0077800000
109,1,MS,20.3000000000,1,987286.4691099999,987286.4691099999,0.0075500000
110,1,MS,19.3000000000,1,986512.4245500000,986512.4245500000,0.0070000000
111,1,MS,18.9000000000,1,985763.3429600000,985763.3429600000,0.0067800000
112,1,MS,19.0000000000,1,985019.3789300000,985019.3789300000,0.0068400000
113,1,MS,18.7000000000,1,984302.4807000000,984302.4807000000,0.0066800000
114,1,MS,18.0000000000,1,983638.1787500000,983638.1787500000,0.0063300000
115,1,MS,16.9000000000,1,983037.5043800001,983037.5043800001,0.0058100000
116,1,MS,15.8000000000,1,982498.0943000000,982498.0943000000,0.0053300000
117,1,MS,14.8000000000,1,982007.7651400000,982007.7651400000,0.0049200000
118,1,MS,12.5000000000,1,981607.6681500000,981607.6681500000,0.0040900000
119,1,MS,12.7000000000,1,981206.8833399999,981206.8833399999,0.0041600000
120,1,MS,15.2000000000,1,980728.1266600000,980728.1266600000,0.0050800000
121,1,MS,15.2000000000,1,980258.8688800000,980258.8688800000,0.0050800000
122,1,MS,15.9000000000,1,979775.3390600000,979775.3390600000,0.0053700000
123,1,MS,14.8000000000,1,979340.3958700000,979340.3958700000,0.0049200000
124,1,MS,14.9000000000,1,978912.0411499999,978912.0411499999,0.0049600000
125,1,MS,15.4000000000,1,978474.7654700000,978474.7654700000,0.0051600000
126,1,MS,15.9000000000,1,978129.9027000000,978129.9027000000,0.0053700000
127,1,MS,17.9000000000,1,977883.3703599999,977883.3703599999,0.0062800000
128,1,MS,18.5000000000,1,977586.2604199999,977586.2604199999,0.0065800000
129,1,MS,19.1000000000,1,1027165.2911499999,1027165.2911499999,0.0068900000
130,1,MS,17.1000000000,1,1025119.6052699999,1025119.6052699999,0.0059000000
131,1,MS,17.5000000000,1,1023061.3022400000,1023061.3022400000,0.0060900000
132,1,MS,18.7000000000,1,1020877.8303100000,1020877.8303100000,0.0066800000
133,1,MS,19.0000000000,1,1018699.8969100000,1018699.8969100000,0.0068400000
134,1,MS,19.1000000000,1,1016579.9334900000,1016579.9334900000,0.0068900000
135,1,MS,19.7000000000,1,1014415.6454700000,1014415.6454700000,0.0072100000
136,1,MS,20.1000000000,1,1012264.4706200000,1012264.4706200000,0.0074400000
137,1,MS,20.5000000000,1,1010109.7924300000,1010109.7924300000,0.0076700000
138,1,MS,19.8000000000,1,1008144.9759899999,1008144.9759899999,0.0072700000
139,1,MS,17.3000000000,1,1006566.4876500000,1006566.4876500000,0.0059900000
140,1,MS,17.4000000000,1,1005026.4269000000,1005026.4269000000,0.0060400000
141,1,MS,16.8000000000,1,1003593.5719900000,1003593.5719900000,0.0057700000
142,1,MS,15.0000000000,1,1002386.9223300000,1002386.9223300000,0.0050000000
143,1,MS,15.0000000000,1,1001206.8542900000,1001206.8542900000,0.0050000000
144,1,MS,14.3000000000,1,1000121.2925200000,1000121.2925200000,0.0047300000
145,1,MS,13.8000000000,1,999100.0916300000,999100.0916300000,0.0045500000
146,1,MS,13.5000000000,1,998128.5746200000,998128.5746200000,0.0044400000
147,1,MS,13.9000000000,1,997145.9085900000,997145.9085900000,0.0045800000
148,1,MS,14.5000000000,1,996142.6652600000,996142.6652600000,0.0048100000
149,1,MS,15.0000000000,1,995121.6641200000,995121.6641200000,0.0050000000
150,1,MS,17.0000000000,1,993961.4048200001,993961.4048200001,0.0058600000
151,1,MS,19.1000000000,1,992628.0621400001,992628.0621400001,0.0068900000
152,1,MS,18.5000000000,1,991394.4486999999,991394.4486999999,0.0065800000
153,1,MS,19.0000000000,1,990140.0855200000,990140.0855200000,0.0068400000
154,1,MS,19.4000000000,1,988882.9960600000,988882.9960600000,0.0070500000
155,1,MS,21.1000000000,1,987478.2453400000,987478.2453400000,0.0080200000
156,1,MS,21.6000000000,1,986057.3470700000,986057.3470700000,0.0083300000
