shoot_roots_mstruct_ratio,N_content_shoot,sum_dry_mass_stem,N_content_total_DM_shoot,NS_stem,Total_Photosynthesis,sum_dry_mass_shoot,Cont_WSC_DM_laminae,C_respired_roots,NS,plant,sum_dry_mass_roots,mstruct_shoot,sum_NSC_g,NNI,N_content_roots,Cont_WSC_DM,C_N_ratio,Tillers_Photosynthesis_An,Cont_WSC_DM_stem,C_exudated,C_respired_shoot,sum_respi_shoot,N_content,sum_dry_mass,Total_Transpiration,NS_laminae,N_content_mstruct,dry_mass_phloem,Cont_WSC_DM_shoot,mstruct,sum_respi_roots,sum_N_g_shoot,NS_roots,mstruct_stem,sum_dry_mass_laminae,N_content_mstruct_shoot,axis,Tillers_Photosynthesis,shoot_roots_ratio,sum_N_g,sum_C_g,C_N_ratio_shoot,t,N_content_mstruct_roots,NS_shoot,senesced_mstruct,Cont_WSC_DM_roots,mstruct_laminae
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0002100000,NA,23.5423400000,NA,NA,0.0025300000,NA,NA,NA,NA,2.1401300000,9.5335700000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,0.0000000000,NA,NA,0.0015100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8216600000,NA,21.9155500000,NA,NA,0.0025300000,NA,NA,NA,NA,2.1402700000,8.5626200000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,1.0000000000,NA,NA,0.0015100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3180200000,NA,18.8813000000,NA,NA,0.0008400000,NA,NA,NA,NA,2.1396400000,8.1483400000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,2.0000000000,NA,NA,0.0027500000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4469700000,NA,18.2555100000,NA,NA,0.0008400000,NA,NA,NA,NA,2.1397700000,8.2721300000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,3.0000000000,NA,NA,0.0027500000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0649200000,NA,17.3654700000,NA,NA,0.0008400000,NA,NA,NA,NA,2.1392500000,8.3560000000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,4.0000000000,NA,NA,0.0039300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4833400000,NA,17.0057600000,NA,NA,0.0008400000,NA,NA,NA,NA,2.1393900000,8.6040800000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,5.0000000000,NA,NA,0.0039300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7234800000,NA,17.0346300000,NA,NA,0.0009500000,NA,NA,NA,NA,2.1389300000,8.8335600000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,6.0000000000,NA,NA,0.0051100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0350200000,NA,16.9733200000,NA,NA,0.0009500000,NA,NA,NA,NA,2.1390700000,9.2481200000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,7.0000000000,NA,NA,0.0051100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6236700000,NA,16.6179700000,NA,NA,0.0027300000,NA,NA,NA,NA,2.1386500000,8.9937900000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,8.0000000000,NA,NA,0.0062900000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2265400000,NA,16.2525900000,NA,NA,0.0027300000,NA,NA,NA,NA,2.1387700000,8.4823500000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,9.0000000000,NA,NA,0.0062900000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0479300000,NA,16.6667500000,NA,NA,0.0063700000,NA,NA,NA,NA,2.1383800000,8.9630100000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,10.0000000000,NA,NA,0.0074400000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4380400000,NA,17.5539700000,NA,NA,0.0063700000,NA,NA,NA,NA,2.1385400000,10.4138100000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,11.0000000000,NA,NA,0.0074400000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5517700000,NA,20.6170300000,NA,NA,0.0220000000,NA,NA,NA,NA,2.1381000000,10.0234800000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,12.0000000000,NA,NA,0.0087700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4473400000,NA,21.6789900000,NA,NA,0.0220000000,NA,NA,NA,NA,2.1382700000,10.8087000000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,13.0000000000,NA,NA,0.0087700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3144300000,NA,22.2706200000,NA,NA,0.0199600000,NA,NA,NA,NA,2.1378000000,10.8062100000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,14.0000000000,NA,NA,0.0102300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1281700000,NA,22.6542400000,NA,NA,0.0199600000,NA,NA,NA,NA,2.1379900000,11.3177300000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,15.0000000000,NA,NA,0.0102300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7344700000,NA,22.2521600000,NA,NA,0.0192100000,NA,NA,NA,NA,2.1375500000,10.9784300000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,16.0000000000,NA,NA,0.0116900000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2973600000,NA,22.0790700000,NA,NA,0.0192100000,NA,NA,NA,NA,2.1377200000,10.6389200000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,17.0000000000,NA,NA,0.0116900000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9781200000,NA,18.0057300000,NA,NA,0.0092900000,NA,NA,NA,NA,2.1374000000,9.3491600000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,18.0000000000,NA,NA,0.0128300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5257200000,NA,17.0615600000,NA,NA,0.0092900000,NA,NA,NA,NA,2.1375100000,7.9051800000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,19.0000000000,NA,NA,0.0128300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0058700000,NA,12.4350300000,NA,NA,0.0022900000,NA,NA,NA,NA,2.1373400000,6.7387000000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,20.0000000000,NA,NA,0.0135300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2122400000,NA,12.4124800000,NA,NA,0.0022900000,NA,NA,NA,NA,2.1374300000,7.0743600000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,21.0000000000,NA,NA,0.0135300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8313400000,NA,12.4588600000,NA,NA,0.0031700000,NA,NA,NA,NA,2.1372600000,7.0203500000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,22.0000000000,NA,NA,0.0142600000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9876200000,NA,12.0082500000,NA,NA,0.0031700000,NA,NA,NA,NA,2.1373300000,6.3169700000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,23.0000000000,NA,NA,0.0142600000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9111400000,NA,11.0163700000,NA,NA,0.0016000000,NA,NA,NA,NA,2.1371900000,6.2553900000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,24.0000000000,NA,NA,0.0148700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0061000000,NA,10.8047500000,NA,NA,0.0016000000,NA,NA,NA,NA,2.1372600000,5.9598300000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,25.0000000000,NA,NA,0.0148700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0597700000,NA,12.0537400000,NA,NA,0.0024800000,NA,NA,NA,NA,2.1371000000,6.9399100000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,26.0000000000,NA,NA,0.0155900000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1397400000,NA,11.4898200000,NA,NA,0.0024800000,NA,NA,NA,NA,2.1371700000,5.8567400000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,27.0000000000,NA,NA,0.0155900000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5035600000,NA,10.4843600000,NA,NA,0.0011600000,NA,NA,NA,NA,2.1370500000,5.7023900000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,28.0000000000,NA,NA,0.0161200000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0004000000,NA,11.1202500000,NA,NA,0.0011600000,NA,NA,NA,NA,2.1371600000,7.9956800000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,29.0000000000,NA,NA,0.0161200000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5409200000,NA,16.1761200000,NA,NA,0.0107000000,NA,NA,NA,NA,2.1369300000,8.6502200000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,30.0000000000,NA,NA,0.0171100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0404000000,NA,16.9026000000,NA,NA,0.0107000000,NA,NA,NA,NA,2.1370700000,9.4613600000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,31.0000000000,NA,NA,0.0171100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4543900000,NA,22.2276600000,NA,NA,0.0203200000,NA,NA,NA,NA,2.1367600000,10.9687500000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,32.0000000000,NA,NA,0.0185000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9195600000,NA,23.2012700000,NA,NA,0.0203200000,NA,NA,NA,NA,2.1369500000,12.0296800000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,33.0000000000,NA,NA,0.0185000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2055300000,NA,26.9087000000,NA,NA,0.0283600000,NA,NA,NA,NA,2.1365800000,12.6140400000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,34.0000000000,NA,NA,0.0201600000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2856900000,NA,27.7644700000,NA,NA,0.0283600000,NA,NA,NA,NA,2.1368100000,13.7252400000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,35.0000000000,NA,NA,0.0201600000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5882300000,NA,31.3498600000,NA,NA,0.0323200000,NA,NA,NA,NA,2.1364000000,14.7595900000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,36.0000000000,NA,NA,0.0221100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9730600000,NA,31.9012200000,NA,NA,0.0323200000,NA,NA,NA,NA,2.1366600000,15.6867400000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,37.0000000000,NA,NA,0.0221100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3956200000,NA,32.3604600000,NA,NA,0.0319800000,NA,NA,NA,NA,2.1362800000,15.8571400000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,38.0000000000,NA,NA,0.0241700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0188200000,NA,32.3068400000,NA,NA,0.0319800000,NA,NA,NA,NA,2.1365400000,15.6950100000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,39.0000000000,NA,NA,0.0241700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5151500000,NA,29.2439400000,NA,NA,0.0236300000,NA,NA,NA,NA,2.1362300000,14.7739300000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,40.0000000000,NA,NA,0.0260600000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9561800000,NA,28.7278000000,NA,NA,0.0236300000,NA,NA,NA,NA,2.1364600000,13.8528400000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,41.0000000000,NA,NA,0.0260600000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3571400000,NA,24.1498700000,NA,NA,0.0112800000,NA,NA,NA,NA,2.1362300000,12.5698300000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,42.0000000000,NA,NA,0.0276200000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6646200000,NA,22.9995000000,NA,NA,0.0112800000,NA,NA,NA,NA,2.1364000000,10.8237100000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,43.0000000000,NA,NA,0.0276200000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5531400000,NA,18.3483700000,NA,NA,0.0048400000,NA,NA,NA,NA,2.1362400000,9.8096300000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,44.0000000000,NA,NA,0.0287400000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4818000000,NA,17.9217700000,NA,NA,0.0048400000,NA,NA,NA,NA,2.1363800000,9.3737500000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,45.0000000000,NA,NA,0.0287400000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1951800000,NA,14.6967400000,NA,NA,0.0025800000,NA,NA,NA,NA,2.1362700000,7.9397200000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,46.0000000000,NA,NA,0.0295700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2226400000,NA,14.8609000000,NA,NA,0.0025800000,NA,NA,NA,NA,2.1363900000,8.4500200000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,47.0000000000,NA,NA,0.0295700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3709100000,NA,14.6515900000,NA,NA,0.0027300000,NA,NA,NA,NA,2.1362800000,7.9808300000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,48.0000000000,NA,NA,0.0304100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8110200000,NA,14.5000900000,NA,NA,0.0027300000,NA,NA,NA,NA,2.1363900000,7.8195700000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,49.0000000000,NA,NA,0.0304100000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2354300000,NA,13.9031200000,NA,NA,0.0025200000,NA,NA,NA,NA,2.1362900000,7.6042300000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,50.0000000000,NA,NA,0.0312000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0525900000,NA,13.7180800000,NA,NA,0.0025200000,NA,NA,NA,NA,2.1363900000,7.3366200000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,51.0000000000,NA,NA,0.0312000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4724500000,NA,13.1158800000,NA,NA,0.0023000000,NA,NA,NA,NA,2.1362900000,7.1886200000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,52.0000000000,NA,NA,0.0319200000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6824600000,NA,13.1945900000,NA,NA,0.0023000000,NA,NA,NA,NA,2.1364000000,7.4122000000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,53.0000000000,NA,NA,0.0319200000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9280600000,NA,15.9778600000,NA,NA,0.0051000000,NA,NA,NA,NA,2.1362800000,7.9287700000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,54.0000000000,NA,NA,0.0327700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3991700000,NA,15.3068700000,NA,NA,0.0051000000,NA,NA,NA,NA,2.1364100000,8.2935900000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,55.0000000000,NA,NA,0.0327700000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6151000000,NA,16.9149300000,NA,NA,0.0090300000,NA,NA,NA,NA,2.1362800000,8.6044100000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,56.0000000000,NA,NA,0.0337300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8135100000,NA,17.9442000000,NA,NA,0.0090300000,NA,NA,NA,NA,2.1364400000,10.1990000000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,57.0000000000,NA,NA,0.0337300000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4201800000,NA,22.6381300000,NA,NA,0.0211800000,NA,NA,NA,NA,2.1362700000,10.7164800000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,58.0000000000,NA,NA,0.0350400000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6926100000,NA,23.1928000000,NA,NA,0.0211800000,NA,NA,NA,NA,2.1364500000,11.0711700000,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,59.0000000000,NA,NA,0.0350400000,NA,NA
