N_exudation,organ,Conc_Nitrates,S_Amino_Acids,RGR_Structure,Conc_Amino_Acids,sum_respi,synthetized_mstruct,Unloading_Amino_Acids,Nstruct,HATS_LATS,amino_acids,plant,WSC_g,Conc_Sucrose,nitrates,structure,Export_Nitrates,AA_consumption_mstruct,proteins,Conc_cytokinins,sucrose,S_grain_starch,S_grain_structure,Uptake_Nitrates,age_from_flowering,S_cytokinins,mstruct,S_Proteins,cytokinins,R_residual,R_grain_growth_starch,axis,R_Nnit_upt,N_tot,R_Nnit_red,sucrose_consumption_mstruct,t,starch,Export_Amino_Acids,Dry_Mass,Proteins_N_Mass,Export_cytokinins,Unloading_Sucrose,Total_Organic_Nitrogen,senesced_mstruct,C_exudation,regul_transpiration,R_grain_growth_struct,Respi_growth
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2455.30814,NA,NA,107.82755,NA,NA,0,9.8945,NA,3327.86106,NA,NA,0.60457,NA,NA,0,MS,NA,0.001509586,NA,NA,0,0,NA,0.081251556,0.001509586,NA,NA,NA,0,NA,NA,4.04141,NA
NA,phloem,NA,NA,NA,61.42838052,NA,NA,NA,NA,NA,164.3309,1,0.076841773,104.7234689,NA,NA,NA,NA,NA,NA,2689.46205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.002300633,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0128,roots,504.8280238,2.61216,NA,96.4053863,9.32731,NA,0.0407,0.00998,58.77134,60.67514,1,0.018045102,104.5313737,254.18091,NA,0.05798,0.23886,NA,6.411797418,631.57856,NA,NA,5.35875,NA,1.46746,0.5035,NA,3.22834,4.601182451,NA,MS,2.12742,0.014387985,2.60412,23.95321,0,NA,0.41519,NA,NA,0.04919,0.66608,773.53715,0.00117,0.13322,0.00253,NA,8.24874
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2460.69694,NA,NA,108.30938,NA,NA,0,9.28419,NA,6307.30673,NA,NA,0.44022,NA,NA,0,MS,NA,0.001516331,NA,NA,1,0,NA,0.081455122,0.001516331,NA,NA,NA,0,NA,NA,3.79213,NA
NA,phloem,NA,NA,NA,61.66932583,NA,NA,NA,NA,NA,164.98626,1,0.099416522,135.4805025,NA,NA,NA,NA,NA,NA,3479.57826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.002309808,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.33074,roots,512.0311619,2.39298,NA,99.31741807,8.63358,NA,5.70819,0.00998,53.1494,62.5079,1,0.018449341,106.8730453,257.80769,NA,0.0588,0.23886,NA,7.65225422,645.72694,NA,NA,4.9379,NA,1.38094,0.5035,NA,3.85291,4.297758188,NA,MS,1.96034,0.014464418,2.38561,23.95321,1,NA,0.42773,NA,NA,0.05871,120.3863,775.36991,0.00117,24.07726,0.00253,NA,8.24874
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2465.83372,NA,NA,108.69578,NA,NA,0,8.75103,NA,9066.28547,NA,NA,0.36964,NA,NA,0,MS,NA,0.001521741,NA,NA,2,0,NA,0.081641663,0.001521741,NA,NA,NA,0,NA,NA,3.57436,NA
NA,phloem,NA,NA,NA,61.02057542,NA,NA,NA,NA,NA,163.20258,1,0.110391598,150.4811526,NA,NA,NA,NA,NA,NA,3863.70592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,0.002284836,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.41382,roots,519.4565606,2.27067,NA,103.874497,8.32267,NA,7.45568,0.00996,49.48015,65.31109,1,0.019296247,111.8900994,261.28665,NA,0.01986,0.16851,NA,8.908170974,675.36864,NA,NA,4.77807,NA,1.37915,0.503,NA,4.48081,4.180318794,NA,MS,1.89689,0.014532368,2.26143,16.89844,2,NA,0.14892,NA,NA,0.02275,176.50806,776.966,0.00214,35.30161,0.00084,NA,5.8193
NA,grains,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2470.83618,NA,NA,109.04061,NA,NA,0,8.49231,NA,11719.02664,NA,NA,0.33602,NA,NA,0,MS,NA,0.001526569,NA,NA,3,0,NA,0.081820088,0.001526569,NA,NA,NA,0,NA,NA,3.46869,NA
