t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,19.1000000000,1,1176290.0046399999,1176290.0046399999,0.0068900000
1,1,MS,17.9000000000,1,1174286.9703800001,1174286.9703800001,0.0062800000
2,1,MS,17.1000000000,1,1172388.3985200000,1172388.3985200000,0.0059000000
3,1,MS,16.7000000000,1,1170428.4682300000,1170428.4682300000,0.0057200000
4,1,MS,16.5000000000,1,1168434.9508900000,1168434.9508900000,0.0056300000
5,1,MS,16.4000000000,1,1166353.1983700001,1166353.1983700001,0.0055900000
6,1,MS,16.6000000000,1,1164213.8508899999,1164213.8508899999,0.0056800000
7,1,MS,16.9000000000,1,1161955.5644400001,1161955.5644400001,0.0058100000
8,1,MS,16.5000000000,1,1159777.1289100000,1159777.1289100000,0.0056300000
9,1,MS,15.5000000000,1,1157727.3281000000,1157727.3281000000,0.0052100000
10,1,MS,16.3000000000,1,1155571.9399200000,1155571.9399200000,0.0055400000
11,1,MS,18.2000000000,1,1153046.6289200000,1153046.6289200000,0.0064300000
12,1,MS,17.8000000000,1,1150649.1788600001,1150649.1788600001,0.0062300000
13,1,MS,18.7000000000,1,1148046.5374600000,1148046.5374600000,0.0066800000
14,1,MS,18.8000000000,1,1145464.1124400001,1145464.1124400001,0.0067300000
15,1,MS,19.2000000000,1,1142737.8372700000,1142737.8372700000,0.0069400000
16,1,MS,18.8000000000,1,1140110.6280600000,1140110.6280600000,0.0067300000
17,1,MS,18.1000000000,1,1137551.2531000001,1137551.2531000001,0.0063800000
18,1,MS,16.3000000000,1,1135324.9430100000,1135324.9430100000,0.0055400000
19,1,MS,13.8000000000,1,1133456.3767800000,1133456.3767800000,0.0045500000
20,1,MS,11.6000000000,1,1131886.9726100001,1131886.9726100001,0.0038100000
21,1,MS,12.1000000000,1,1130231.1593299999,1130231.1593299999,0.0039600000
22,1,MS,12.0000000000,1,1128598.7087200000,1128598.7087200000,0.0039300000
23,1,MS,10.5000000000,1,1127145.7972400000,1127145.7972400000,0.0034800000
24,1,MS,10.4000000000,1,1125717.3770800000,1125717.3770800000,0.0034500000
25,1,MS,9.7000000000,1,1124366.6857900000,1124366.6857900000,0.0032600000
26,1,MS,11.8000000000,1,1122785.1225500000,1122785.1225500000,0.0038700000
27,1,MS,9.5000000000,1,1121476.4198499999,1121476.4198499999,0.0032000000
28,1,MS,9.2000000000,1,1120214.6589299999,1120214.6589299999,0.0031300000
29,1,MS,13.7000000000,1,1118400.4590400001,1118400.4590400001,0.0045100000
30,1,MS,14.9000000000,1,1116452.3581699999,1116452.3581699999,0.0049600000
31,1,MS,16.1000000000,1,1114318.3105200001,1114318.3105200001,0.0054600000
32,1,MS,18.3000000000,1,1111856.7131099999,1111856.7131099999,0.0064800000
33,1,MS,19.5000000000,1,1109148.3955000001,1109148.3955000001,0.0071000000
34,1,MS,20.3000000000,1,1106336.2069600001,1106336.2069600001,0.0075500000
35,1,MS,21.3000000000,1,1103253.8379400000,1103253.8379400000,0.0081400000
36,1,MS,22.4000000000,1,1099960.9176500000,1099960.9176500000,0.0088400000
37,1,MS,23.0000000000,1,1096432.3362000000,1096432.3362000000,0.0092400000
38,1,MS,23.2000000000,1,1092895.7004000000,1092895.7004000000,0.0093800000
39,1,MS,22.8000000000,1,1089378.8566399999,1089378.8566399999,0.0091000000
40,1,MS,22.0000000000,1,1086106.7108100001,1086106.7108100001,0.0085800000
41,1,MS,20.9000000000,1,1083043.4522100000,1083043.4522100000,0.0079000000
42,1,MS,19.6000000000,1,1080305.4265600001,1080305.4265600001,0.0071600000
43,1,MS,17.4000000000,1,1077974.8474099999,1077974.8474099999,0.0060400000
44,1,MS,16.1000000000,1,1075898.6450799999,1075898.6450799999,0.0054600000
45,1,MS,15.4000000000,1,1073932.0867300001,1073932.0867300001,0.0051600000
46,1,MS,13.2000000000,1,1072306.1558699999,1072306.1558699999,0.0043300000
47,1,MS,14.0000000000,1,1070578.0883400000,1070578.0883400000,0.0046200000
48,1,MS,13.3000000000,1,1068973.4409000000,1068973.4409000000,0.0043700000
49,1,MS,13.0000000000,1,1067415.0881500000,1067415.0881500000,0.0042600000
50,1,MS,12.7000000000,1,1065921.1339000000,1065921.1339000000,0.0041600000
51,1,MS,12.2000000000,1,1064494.4816200000,1064494.4816200000,0.0040000000
52,1,MS,12.0000000000,1,1063114.8711999999,1063114.8711999999,0.0039300000
53,1,MS,12.4000000000,1,1061698.4699299999,1061698.4699299999,0.0040600000
54,1,MS,13.4000000000,1,1060193.1903599999,1060193.1903599999,0.0044000000
55,1,MS,14.0000000000,1,1058623.9979300001,1058623.9979300001,0.0046200000
56,1,MS,14.6000000000,1,1057011.9376699999,1057011.9376699999,0.0048500000
57,1,MS,16.9000000000,1,1055089.5417400000,1055089.5417400000,0.0058100000
58,1,MS,17.7000000000,1,1053091.6664300000,1053091.6664300000,0.0061800000
59,1,MS,18.1000000000,1,1051028.1388500000,1051028.1388500000,0.0063800000
60,1,MS,19.5000000000,1,1048772.2920500000,1048772.2920500000,0.0071000000
61,1,MS,19.8000000000,1,1046441.6897099999,1046441.6897099999,0.0072700000
62,1,MS,20.1000000000,1,1044087.9314100000,1044087.9314100000,0.0074400000
63,1,MS,19.1000000000,1,1041879.7694399999,1041879.7694399999,0.0068900000
64,1,MS,19.9000000000,1,1039560.8245300000,1039560.8245300000,0.0073200000
65,1,MS,18.3000000000,1,1037491.8219400001,1037491.8219400001,0.0064800000
66,1,MS,17.1000000000,1,1035628.8646700000,1035628.8646700000,0.0059000000
67,1,MS,16.3000000000,1,1033874.8761300000,1033874.8761300000,0.0055400000
68,1,MS,15.2000000000,1,1032289.9610800000,1032289.9610800000,0.0050800000
69,1,MS,15.1000000000,1,1030722.0281600000,1030722.0281600000,0.0050400000
70,1,MS,14.7000000000,1,1029229.9926200000,1029229.9926200000,0.0048900000
71,1,MS,14.6000000000,1,1027758.4660700000,1027758.4660700000,0.0048500000
72,1,MS,13.2000000000,1,1026465.6078400000,1026465.6078400000,0.0043300000
73,1,MS,13.2000000000,1,1025180.5675000000,1025180.5675000000,0.0043300000
74,1,MS,12.9000000000,1,1023947.6190800000,1023947.6190800000,0.0042300000
75,1,MS,12.4000000000,1,1022770.8118600000,1022770.8118600000,0.0040600000
76,1,MS,11.7000000000,1,1021676.3672400001,1021676.3672400001,0.0038400000
