mstruct_laminae,C_respired_shoot,Cont_WSC_DM_shoot,Cont_WSC_DM_laminae,NNI,senesced_mstruct,sum_N_g_shoot,shoot_roots_ratio,sum_respi_shoot,sum_N_g,NS_shoot,Cont_WSC_DM_roots,mstruct,axis,Tillers_Photosynthesis_An,C_respired_roots,Total_Photosynthesis,Tillers_Photosynthesis,N_content_mstruct,Total_Transpiration,N_content_mstruct_shoot,sum_dry_mass_shoot,dry_mass_phloem,shoot_roots_mstruct_ratio,Cont_WSC_DM_stem,N_content_roots,t,C_exudated,sum_C_g,N_content_mstruct_roots,sum_dry_mass_roots,N_content,plant,sum_dry_mass_stem,N_content_total_DM_shoot,C_N_ratio,N_content_shoot,C_N_ratio_shoot,NS,sum_NSC_g,NS_laminae,NS_roots,sum_respi_roots,sum_dry_mass_laminae,NS_stem,Cont_WSC_DM,sum_dry_mass,mstruct_stem,mstruct_shoot
NA,NA,NA,NA,NA,0.0015100000,NA,NA,30.3460200000,NA,NA,NA,2.1401700000,MS,NA,NA,NA,NA,NA,0.0025300000,NA,NA,NA,NA,NA,NA,0.0000000000,226.2965900000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5553500000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0015100000,NA,NA,23.1990800000,NA,NA,NA,2.1403300000,MS,NA,NA,NA,NA,NA,0.0025300000,NA,NA,NA,NA,NA,NA,1.0000000000,85.9644500000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5047300000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0027500000,NA,NA,20.5271200000,NA,NA,NA,2.1401900000,MS,NA,NA,NA,NA,NA,0.0008400000,NA,NA,NA,NA,NA,NA,2.0000000000,43.3964800000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2848600000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0027500000,NA,NA,20.2740300000,NA,NA,NA,2.1403400000,MS,NA,NA,NA,NA,NA,0.0008400000,NA,NA,NA,NA,NA,NA,3.0000000000,20.2075700000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1580100000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0039300000,NA,NA,19.5942400000,NA,NA,NA,2.1402200000,MS,NA,NA,NA,NA,NA,0.0008400000,NA,NA,NA,NA,NA,NA,4.0000000000,15.8260900000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9452100000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0039300000,NA,NA,19.4459800000,NA,NA,NA,2.1403700000,MS,NA,NA,NA,NA,NA,0.0008400000,NA,NA,NA,NA,NA,NA,5.0000000000,8.1960900000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8676900000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0051200000,NA,NA,19.6796300000,NA,NA,NA,2.1402600000,MS,NA,NA,NA,NA,NA,0.0009500000,NA,NA,NA,NA,NA,NA,6.0000000000,10.5446500000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8767000000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0051200000,NA,NA,19.7436500000,NA,NA,NA,2.1404100000,MS,NA,NA,NA,NA,NA,0.0009500000,NA,NA,NA,NA,NA,NA,7.0000000000,5.9784900000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0567700000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0062900000,NA,NA,19.4385200000,NA,NA,NA,2.1403000000,MS,NA,NA,NA,NA,NA,0.0027300000,NA,NA,NA,NA,NA,NA,8.0000000000,9.6648800000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6270200000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0062900000,NA,NA,19.0719700000,NA,NA,NA,2.1404300000,MS,NA,NA,NA,NA,NA,0.0027300000,NA,NA,NA,NA,NA,NA,9.0000000000,5.8060100000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9220300000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0074400000,NA,NA,19.4849600000,NA,NA,NA,2.1403300000,MS,NA,NA,NA,NA,NA,0.0063600000,NA,NA,NA,NA,NA,NA,10.0000000000,10.5728000000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3282400000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0074400000,NA,NA,20.2509200000,NA,NA,NA,2.1405000000,MS,NA,NA,NA,NA,NA,0.0063600000,NA,NA,NA,NA,NA,NA,11.0000000000,8.3142500000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6657600000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0087800000,NA,NA,23.5026800000,NA,NA,NA,2.1403800000,MS,NA,NA,NA,NA,NA,0.0218600000,NA,NA,NA,NA,NA,NA,12.0000000000,16.2834400000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2223800000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0087800000,NA,NA,24.0548300000,NA,NA,NA,2.1405600000,MS,NA,NA,NA,NA,NA,0.0218600000,NA,NA,NA,NA,NA,NA,13.0000000000,15.9048400000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9044500000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0102400000,NA,NA,24.4034200000,NA,NA,NA,2.1404300000,MS,NA,NA,NA,NA,NA,0.0198500000,NA,NA,NA,NA,NA,NA,14.0000000000,22.1735200000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8615800000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0102400000,NA,NA,24.6950300000,NA,NA,NA,2.1406300000,MS,NA,NA,NA,NA,NA,0.0198500000,NA,NA,NA,NA,NA,NA,15.0000000000,16.7007100000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1993600000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0117100000,NA,NA,24.1969500000,NA,NA,NA,2.1405100000,MS,NA,NA,NA,NA,NA,0.0191100000,NA,NA,NA,NA,NA,NA,16.0000000000,21.2622300000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7638100000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0117100000,NA,NA,23.9928300000,NA,NA,NA,2.1406800000,MS,NA,NA,NA,NA,NA,0.0191100000,NA,NA,NA,NA,NA,NA,17.0000000000,15.0355500000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2488200000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0128600000,NA,NA,19.5372100000,NA,NA,NA,2.1406000000,MS,NA,NA,NA,NA,NA,0.0092800000,NA,NA,NA,NA,NA,NA,18.0000000000,16.0621800000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9201800000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0128600000,NA,NA,18.6909600000,NA,NA,NA,2.1407100000,MS,NA,NA,NA,NA,NA,0.0092800000,NA,NA,NA,NA,NA,NA,19.0000000000,9.0852600000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4461200000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0135600000,NA,NA,13.6472400000,NA,NA,NA,2.1406600000,MS,NA,NA,NA,NA,NA,0.0022900000,NA,NA,NA,NA,NA,NA,20.0000000000,8.5398900000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3033500000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0135600000,NA,NA,13.7515500000,NA,NA,NA,2.1407600000,MS,NA,NA,NA,NA,NA,0.0022900000,NA,NA,NA,NA,NA,NA,21.0000000000,4.6763300000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5276000000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0142900000,NA,NA,13.9295000000,NA,NA,NA,2.1407100000,MS,NA,NA,NA,NA,NA,0.0031700000,NA,NA,NA,NA,NA,NA,22.0000000000,6.1857100000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4274900000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0142900000,NA,NA,13.5472300000,NA,NA,NA,2.1407900000,MS,NA,NA,NA,NA,NA,0.0031700000,NA,NA,NA,NA,NA,NA,23.0000000000,3.3096900000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7481800000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0149100000,NA,NA,12.4899100000,NA,NA,NA,2.1407500000,MS,NA,NA,NA,NA,NA,0.0016000000,NA,NA,NA,NA,NA,NA,24.0000000000,4.8418300000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6641200000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0149100000,NA,NA,12.3230000000,NA,NA,NA,2.1408200000,MS,NA,NA,NA,NA,NA,0.0016000000,NA,NA,NA,NA,NA,NA,25.0000000000,2.7481600000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3697100000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0156300000,NA,NA,13.7865900000,NA,NA,NA,2.1407700000,MS,NA,NA,NA,NA,NA,0.0024800000,NA,NA,NA,NA,NA,NA,26.0000000000,5.1988700000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2056400000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0156300000,NA,NA,13.2398000000,NA,NA,NA,2.1408400000,MS,NA,NA,NA,NA,NA,0.0024800000,NA,NA,NA,NA,NA,NA,27.0000000000,2.7849800000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2365600000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0161600000,NA,NA,12.1397400000,NA,NA,NA,2.1408000000,MS,NA,NA,NA,NA,NA,0.0011600000,NA,NA,NA,NA,NA,NA,28.0000000000,4.3144800000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0901900000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0161600000,NA,NA,12.7260900000,NA,NA,NA,2.1409200000,MS,NA,NA,NA,NA,NA,0.0011600000,NA,NA,NA,NA,NA,NA,29.0000000000,3.3443200000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0371800000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0171600000,NA,NA,18.5597300000,NA,NA,NA,2.1408500000,MS,NA,NA,NA,NA,NA,0.0106400000,NA,NA,NA,NA,NA,NA,30.0000000000,9.4018000000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5956900000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0171600000,NA,NA,19.0121300000,NA,NA,NA,2.1409900000,MS,NA,NA,NA,NA,NA,0.0106400000,NA,NA,NA,NA,NA,NA,31.0000000000,8.9630800000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2678000000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0185600000,NA,NA,24.6851400000,NA,NA,NA,2.1409000000,MS,NA,NA,NA,NA,NA,0.0201800000,NA,NA,NA,NA,NA,NA,32.0000000000,17.8981200000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5781500000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0185600000,NA,NA,25.3487100000,NA,NA,NA,2.1411000000,MS,NA,NA,NA,NA,NA,0.0201800000,NA,NA,NA,NA,NA,NA,33.0000000000,15.5911000000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4447600000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0202300000,NA,NA,29.1454500000,NA,NA,NA,2.1410000000,MS,NA,NA,NA,NA,NA,0.0281600000,NA,NA,NA,NA,NA,NA,34.0000000000,24.6507100000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9451600000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0202300000,NA,NA,29.7906600000,NA,NA,NA,2.1412300000,MS,NA,NA,NA,NA,NA,0.0281600000,NA,NA,NA,NA,NA,NA,35.0000000000,19.7235200000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7820400000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0221900000,NA,NA,33.4942800000,NA,NA,NA,2.1411200000,MS,NA,NA,NA,NA,NA,0.0320900000,NA,NA,NA,NA,NA,NA,36.0000000000,29.3668500000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5956400000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0221900000,NA,NA,33.9505900000,NA,NA,NA,2.1413900000,MS,NA,NA,NA,NA,NA,0.0320900000,NA,NA,NA,NA,NA,NA,37.0000000000,21.1640700000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1748500000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0242600000,NA,NA,34.3564200000,NA,NA,NA,2.1412900000,MS,NA,NA,NA,NA,NA,0.0318000000,NA,NA,NA,NA,NA,NA,38.0000000000,29.4991700000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2012000000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0242600000,NA,NA,34.3151000000,NA,NA,NA,2.1415600000,MS,NA,NA,NA,NA,NA,0.0318000000,NA,NA,NA,NA,NA,NA,39.0000000000,18.8104800000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8535300000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0261700000,NA,NA,31.0440800000,NA,NA,NA,2.1414800000,MS,NA,NA,NA,NA,NA,0.0235300000,NA,NA,NA,NA,NA,NA,40.0000000000,25.1029800000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0026500000,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.0261700000,NA,NA,30.5851400000,NA,NA,NA,2.1417100000,MS,NA,NA,NA,NA,NA,0.0235300000,NA,NA,NA,NA,NA,NA,41.0000000000,14.6829600000,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1115400000,NA,NA,NA,NA,NA,NA
