S_Amino_Acids,Export_Amino_Acids,RGR_Structure,age_from_flowering,R_grain_growth_starch,amino_acids,Export_cytokinins,senesced_mstruct,R_Nnit_red,sum_respi,Conc_cytokinins,structure,mstruct,C_exudation,nitrates,S_cytokinins,axis,proteins,S_grain_starch,Conc_Nitrates,sucrose_consumption_mstruct,R_residual,R_Nnit_upt,N_exudation,Dry_Mass,WSC_g,HATS_LATS,R_grain_growth_struct,regul_transpiration,Export_Nitrates,starch,Respi_growth,Unloading_Amino_Acids,S_grain_structure,Conc_Sucrose,t,Uptake_Nitrates,synthetized_mstruct,Conc_Amino_Acids,plant,organ,sucrose,N_tot,Proteins_N_Mass,AA_consumption_mstruct,S_Proteins,Nstruct,Unloading_Sucrose,Total_Organic_Nitrogen,cytokinins
NA,NA,0.0000000000,3327.8610600000,0.0000000000,NA,NA,0.0000000000,NA,NA,NA,2456.7671700000,NA,NA,NA,NA,MS,107.1935200000,0.0000000000,NA,NA,NA,NA,NA,0.09551368905882354,NA,NA,4.6707900000,NA,NA,500.0000000000,NA,NA,11.4353800000,NA,0.0000000000,NA,NA,NA,1,grains,NA,0.0015007093,0.00150070928,NA,0.1928200000,NA,NA,NA,NA
NA,NA,NA,NA,NA,149.4494300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,0.2532388765714286,NA,NA,NA,NA,NA,NA,NA,NA,345.11902792768797,0.0000000000,NA,NA,55.864507959648066,1,phloem,8863.3606800000,0.0020922920,NA,NA,NA,NA,NA,NA,NA
0.0274100000,0.4409700000,NA,NA,NA,64.4443900000,0.0553300000,0.0011700000,0.0273300000,10.8792300000,7.21245283018868,NA,0.5035000000,229.8145400000,258.5146800000,2.5731100000,MS,NA,NA,513.4353128103278,23.9532100000,6.8358805415,4.0571900000,10.1604400000,NA,0.041646846571428565,58.2166000000,NA,0.0025300000,0.0589600000,NA,8.2487400000,19.3750700000,NA,241.25118007282356,0.0000000000,10.2196300000,NA,102.39426415094341,1,roots,1457.6396300000,0.0145014270,NA,0.2388600000,NA,0.0099800000,1149.0726900000,777.3064000000,3.6314700000
NA,NA,0.0000000000,6307.3067300000,0.0000000000,NA,NA,0.0000000000,NA,NA,NA,2462.8247400000,NA,NA,NA,NA,MS,107.3667300000,0.0000000000,NA,NA,NA,NA,NA,0.09570459292857143,NA,NA,4.1843700000,NA,NA,500.0000000000,NA,NA,10.2444900000,NA,1.0000000000,NA,NA,NA,1,grains,NA,0.0015031342,0.00150313422,NA,0.1741400000,NA,NA,NA,NA
NA,NA,NA,NA,NA,146.6684300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,0.246531502,NA,NA,NA,NA,NA,NA,NA,NA,335.95296714369584,1.0000000000,NA,NA,54.82086594123336,1,phloem,8628.6025700000,0.0020533580,NA,NA,NA,NA,NA,NA,NA
0.0299500000,0.4604600000,NA,NA,NA,67.2932500000,0.0727100000,0.0011700000,0.0298600000,10.8315600000,9.477576961271103,NA,0.5035000000,96.7898900000,268.3732000000,2.4213100000,MS,NA,NA,533.0152929493546,23.9532100000,6.7239137769,4.1023200000,3.7225600000,NA,0.04999092685714286,51.9136600000,NA,0.0025300000,0.0612100000,NA,8.2487400000,8.2261400000,NA,289.58663356504474,1.0000000000,10.3333100000,NA,106.92075471698115,1,roots,1749.6824400000,0.0146793303,NA,0.2388600000,NA,0.0099800000,483.9494400000,780.1552600000,4.7719600000
NA,NA,0.0000000000,9066.2854700000,0.0000000000,NA,NA,0.0000000000,NA,NA,NA,2468.4396700000,NA,NA,NA,NA,MS,107.5289800000,0.0000000000,NA,NA,NA,NA,NA,0.09588172170588236,NA,NA,3.8796200000,NA,NA,500.0000000000,NA,NA,9.4983800000,NA,2.0000000000,NA,NA,NA,1,grains,NA,0.0015054057,0.0015054057200000002,NA,0.1633500000,NA,NA,NA,NA
NA,NA,NA,NA,NA,146.2303000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,0.24293811085714287,NA,NA,NA,NA,NA,NA,NA,NA,331.07784355594595,2.0000000000,NA,NA,54.660679659282586,1,phloem,8502.8338800000,0.0020472242,NA,NA,NA,NA,NA,NA,NA
0.0297100000,0.1565000000,NA,NA,NA,68.6325900000,0.0298800000,0.0021400000,0.0296200000,10.3992500000,11.689838722491459,NA,0.5034800000,50.9332600000,278.0708200000,2.2958000000,MS,NA,NA,552.2976483673632,34.0941900000,6.4751340217,3.9084100000,1.8920300000,NA,0.052788115999999996,47.7071900000,NA,0.0008400000,0.0211400000,NA,11.7409800000,4.3797100000,NA,305.80229270940913,2.0000000000,9.8448700000,NA,109.05313418606497,1,roots,1847.5840600000,0.0148238477,NA,0.3399900000,NA,0.0099700000,254.6662800000,780.4589800000,5.8856000000
NA,NA,0.0000000000,11719.0266400000,0.0000000000,NA,NA,0.0000000000,NA,NA,NA,2473.8463300000,NA,NA,NA,NA,MS,107.6871700000,0.0000000000,NA,NA,NA,NA,NA,0.09605248197058822,NA,NA,3.7363100000,NA,NA,500.0000000000,NA,NA,9.1475300000,NA,3.0000000000,NA,NA,NA,1,grains,NA,0.0015076204,0.0015076203799999999,NA,0.1593400000,NA,NA,NA,NA
