t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,19.1000000000,1,1175052.2311600000,1175052.2311600000,0.0068900000
1,1,MS,17.9000000000,1,1170979.8702000000,1170979.8702000000,0.0062800000
2,1,MS,17.1000000000,1,1166989.4065800000,1166989.4065800000,0.0059000000
3,1,MS,16.7000000000,1,1163072.5427999999,1163072.5427999999,0.0057200000
4,1,MS,16.5000000000,1,1159289.8219399999,1159289.8219399999,0.0056300000
5,1,MS,16.4000000000,1,1155579.6902500000,1155579.6902500000,0.0055900000
6,1,MS,16.6000000000,1,1151919.7915200000,1151919.7915200000,0.0056800000
7,1,MS,16.9000000000,1,1148234.1637700000,1148234.1637700000,0.0058100000
8,1,MS,16.5000000000,1,1144772.2822799999,1144772.2822799999,0.0056300000
9,1,MS,15.5000000000,1,1141621.1637800001,1141621.1637800001,0.0052100000
10,1,MS,16.3000000000,1,1138360.3200500000,1138360.3200500000,0.0055400000
11,1,MS,18.2000000000,1,1134637.1201100000,1134637.1201100000,0.0064300000
12,1,MS,17.8000000000,1,1131132.7207599999,1131132.7207599999,0.0062300000
13,1,MS,18.7000000000,1,1127405.9274899999,1127405.9274899999,0.0066800000
14,1,MS,18.8000000000,1,1123737.0004700001,1123737.0004700001,0.0067300000
15,1,MS,19.2000000000,1,1119980.1038800001,1119980.1038800001,0.0069400000
16,1,MS,18.8000000000,1,1116426.2414299999,1116426.2414299999,0.0067300000
17,1,MS,18.1000000000,1,1113087.0907200000,1113087.0907200000,0.0063800000
18,1,MS,16.3000000000,1,1110247.6444699999,1110247.6444699999,0.0055400000
19,1,MS,13.8000000000,1,1107940.6343499999,1107940.6343499999,0.0045500000
20,1,MS,11.6000000000,1,1106042.2980899999,1106042.2980899999,0.0038100000
21,1,MS,12.1000000000,1,1104087.4917500000,1104087.4917500000,0.0039600000
22,1,MS,12.0000000000,1,1102188.4537899999,1102188.4537899999,0.0039300000
23,1,MS,10.5000000000,1,1100528.8061100000,1100528.8061100000,0.0034800000
24,1,MS,10.4000000000,1,1098913.2346500000,1098913.2346500000,0.0034500000
25,1,MS,9.7000000000,1,1097406.0476500001,1097406.0476500001,0.0032600000
26,1,MS,11.8000000000,1,1095651.9729500001,1095651.9729500001,0.0038700000
27,1,MS,9.5000000000,1,1094217.0988900000,1094217.0988900000,0.0032000000
28,1,MS,9.2000000000,1,1092841.0454100000,1092841.0454100000,0.0031300000
29,1,MS,13.7000000000,1,1090882.5166000000,1090882.5166000000,0.0045100000
30,1,MS,14.9000000000,1,1088782.3560899999,1088782.3560899999,0.0049600000
31,1,MS,16.1000000000,1,1086502.5847100001,1086502.5847100001,0.0054600000
32,1,MS,18.3000000000,1,1083866.6860400001,1083866.6860400001,0.0064800000
33,1,MS,19.5000000000,1,1081006.4614800001,1081006.4614800001,0.0071000000
34,1,MS,20.3000000000,1,1078046.7185899999,1078046.7185899999,0.0075500000
35,1,MS,21.3000000000,1,1074883.6370800000,1074883.6370800000,0.0081400000
36,1,MS,22.4000000000,1,1071549.6431400001,1071549.6431400001,0.0088400000
37,1,MS,23.0000000000,1,1068107.2361200000,1068107.2361200000,0.0092400000
38,1,MS,23.2000000000,1,1064728.5515600001,1064728.5515600001,0.0093800000
39,1,MS,22.8000000000,1,1061499.9185899999,1061499.9185899999,0.0091000000
40,1,MS,22.0000000000,1,1058559.2190800000,1058559.2190800000,0.0085800000
41,1,MS,20.9000000000,1,1055898.8365799999,1055898.8365799999,0.0079000000
42,1,MS,19.6000000000,1,1053565.0172500000,1053565.0172500000,0.0071600000
43,1,MS,17.4000000000,1,1051632.8478999999,1051632.8478999999,0.0060400000
44,1,MS,16.1000000000,1,1049936.7670000000,1049936.7670000000,0.0054600000
45,1,MS,15.4000000000,1,1048362.6090900000,1048362.6090900000,0.0051600000
46,1,MS,13.2000000000,1,1047075.4337800000,1047075.4337800000,0.0043300000
