Proteins_N_Mass,sucrose,cytokinins,R_Nnit_red,R_grain_growth_struct,Uptake_Nitrates,Unloading_Sucrose,N_tot,regul_transpiration,Export_Nitrates,structure,nitrates,S_grain_structure,Total_Organic_Nitrogen,amino_acids,sum_respi,S_Amino_Acids,S_grain_starch,senesced_mstruct,Nstruct,proteins,axis,starch,C_exudation,mstruct,Conc_cytokinins,sucrose_consumption_mstruct,AA_consumption_mstruct,RGR_Structure,S_cytokinins,R_Nnit_upt,S_Proteins,Conc_Nitrates,age_from_flowering,N_exudation,organ,Unloading_Amino_Acids,WSC_g,Respi_growth,Conc_Amino_Acids,synthetized_mstruct,R_grain_growth_starch,plant,Conc_Sucrose,Dry_Mass,R_residual,t,Export_Amino_Acids,Export_cytokinins,HATS_LATS
0.00151028836,NA,NA,NA,4.0312700000,NA,NA,0.0015102884,NA,NA,2455.3443200000,NA,9.8696600000,NA,NA,NA,NA,0.0000000000,0.0000000000,NA,107.8777400000,MS,0.0000000000,NA,NA,NA,NA,NA,0.0000000000,NA,NA,0.6590700000,NA,3327.8610600000,NA,grains,NA,NA,NA,NA,NA,0.0000000000,1,NA,0.08125775632773109,NA,0.0000000000,NA,NA,NA
NA,2453.0175100000,NA,NA,NA,NA,NA,0.0022932687,NA,NA,NA,NA,NA,NA,163.8049100000,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phloem,NA,0.07008621457142858,NA,66.26311696323377,NA,NA,1,103.36520270896646,NA,NA,0.0000000000,NA,NA,NA
NA,632.4688500000,3.2368500000,2.6096300000,NA,5.3736900000,-3.5649800000,0.0144085115,0.0024100000,0.0551400000,NA,254.1956200000,NA,775.2225800000,60.6980600000,9.3462300000,2.6116000000,NA,0.0000000000,0.0100000000,NA,MS,NA,0.0000000000,0.5046700000,6.413795153268473,23.9481200000,0.2388100000,NA,1.4652700000,2.1333500000,NA,503.68680523906716,NA,0.0000000000,roots,0.0000000000,0.01807053857142857,8.2469900000,96.21821784532467,NA,NA,1,104.43604236431729,NA,4.6088053244,0.0000000000,0.3950100000,0.0469000000,58.9810600000
0.00151766118,NA,NA,NA,3.7801000000,NA,NA,0.0015176612,NA,NA,2460.7174100000,NA,9.2547300000,NA,NA,NA,NA,0.0000000000,0.0000000000,NA,108.4043700000,MS,0.0000000000,NA,NA,NA,NA,NA,0.0000000000,NA,NA,0.4820100000,NA,6307.3067300000,NA,grains,NA,NA,NA,NA,NA,0.0000000000,1,NA,0.08146548509663865,NA,1.0000000000,NA,NA,NA
NA,3150.8378100000,NA,NA,NA,NA,NA,0.0022974571,NA,NA,NA,NA,NA,NA,164.1040800000,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phloem,NA,0.09002393742857143,NA,66.37910384370355,NA,NA,1,132.75987091587538,NA,NA,1.0000000000,NA,NA,NA
NA,643.4659200000,3.8624300000,2.3881400000,NA,4.9312100000,109.4898500000,0.0144856154,0.0024100000,0.0559300000,NA,257.8278400000,NA,777.0977900000,62.5732600000,8.6286200000,2.3899500000,NA,0.0000000000,0.0100000000,NA,MS,NA,21.8979700000,0.5046700000,7.653377454574277,23.9481200000,0.2388100000,NA,1.3697700000,1.9576900000,NA,510.8840232230963,NA,2.1294500000,roots,5.7025300000,0.01838474057142857,8.2469900000,99.19077416925913,NA,NA,1,106.25192700180317,NA,4.2931403286,1.0000000000,0.4072100000,0.0559700000,53.3399700000
0.00152358402,NA,NA,NA,3.5624300000,NA,NA,0.0015235840,NA,NA,2465.8371600000,NA,8.7218200000,NA,NA,NA,NA,0.0000000000,0.0000000000,NA,108.8274300000,MS,0.0000000000,NA,NA,NA,NA,NA,0.0000000000,NA,NA,0.4045900000,NA,9066.2854700000,NA,grains,NA,NA,NA,NA,NA,0.0000000000,1,NA,0.08165531396218488,NA,2.0000000000,NA,NA,NA
NA,3490.4160300000,NA,NA,NA,NA,NA,0.0022668012,NA,NA,NA,NA,NA,NA,161.9143700000,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phloem,NA,0.09972617228571429,NA,65.47318577226937,NA,NA,1,147.02258022937843,NA,NA,2.0000000000,NA,NA,NA
NA,668.8097800000,4.4916700000,2.2644000000,NA,4.7537000000,164.4216400000,0.0145859841,0.0008000000,0.0189000000,NA,261.2936200000,NA,780.2544600000,65.5623900000,8.3002200000,2.2640100000,NA,0.0000000000,0.0100100000,NA,MS,NA,32.8843300000,0.5051400000,8.891930949835688,16.8014700000,0.1675500000,NA,1.3544200000,1.8872200000,NA,517.2697074078472,NA,3.2236000000,roots,7.6272400000,0.019108850857142857,5.7859100000,103.8324266539969,NA,NA,1,110.33406250412428,NA,4.1654479166,2.0000000000,0.1422900000,0.0217100000,49.8104600000
0.00152886496,NA,NA,NA,3.4569900000,NA,NA,0.0015288650,NA,NA,2470.8228200000,NA,8.4636500000,NA,NA,NA,NA,0.0000000000,0.0000000000,NA,109.2046400000,MS,0.0000000000,NA,NA,NA,NA,NA,0.0000000000,NA,NA,0.3673400000,NA,11719.0266400000,NA,grains,NA,NA,NA,NA,NA,0.0000000000,1,NA,0.08183659183193279,NA,3.0000000000,NA,NA,NA
