t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
0,1,MS,1,blade,LeafElement1,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.06848600,NA,0.00000000,0.00002050,0.00000000,NA,NA,NA,NA,NA,0.18654221,NA,NA,NA,NA,NA,NA,20.08972257,0.11289059,NA,6.69782975,0.00300000,240.40044528,1.69000000,NA,0.34907527,NA,0.00000000,0.00019533,0.05000000,0.04580020,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,16.93543686,0.00000000,0.00000000,0.00000000,24.15745785,NA,0.00000000,0.00232481
0,1,MS,1,sheath,StemElement,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.02322060,NA,0.00000000,0.00000855,0.00000000,NA,NA,NA,NA,NA,0.01068490,NA,NA,NA,NA,NA,NA,2.83623099,0.09974170,NA,6.51076067,NA,240.40044528,0.20231970,NA,0.04104000,NA,0.00000000,0.00040201,0.05000000,0.01425000,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00000000,2.02319701,0.00000000,0.00000000,0.00000000,10.05882353,NA,0.00000000,0.00448990
0,1,MS,2,blade,LeafElement1,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.08023525,NA,0.00000000,0.00002420,0.00000000,NA,NA,NA,NA,NA,0.21110931,NA,NA,NA,NA,NA,NA,27.72496500,0.11360232,NA,6.70791740,0.00330000,160.40044528,2.36000000,NA,0.48860194,NA,0.00000000,0.00024107,0.05000000,0.06174058,False,False,0.09200000,0.00483764,4885.93175850,0.00483764,1.00000000,0.00000000,23.63639357,0.00000000,0.00000000,0.00000000,28.45672340,NA,0.00000000,0.00255729
0,1,MS,2,sheath,HiddenElement,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00001140,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,5.02325484,0.00000000,NA,20.00000000,NA,160.40044528,0.38263356,NA,0.07980000,NA,6.70588235,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.82633557,0.00000000,0.00000000,0.00000000,13.41176471,NA,0.00000000,0.00448990
0,1,MS,2,sheath,StemElement,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00000020,0.00000000,NA,NA,NA,NA,NA,0.02027895,NA,NA,NA,NA,NA,NA,0.08812728,0.10320477,NA,6.56015970,NA,160.40044528,0.00671287,NA,0.00140000,NA,0.00000000,0.00000705,0.05000000,0.02875000,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000000,0.06712869,0.00000000,0.00000000,0.00000000,0.23529412,NA,0.00000000,0.00448990
0,1,MS,3,blade,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00400000,0.00000000,0.00000000,NA,0.00000000,NA,0.00000000,0.00000317,NA,NA,False,False,0.00099000,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,NA,NA,NA
0,1,MS,3,blade,LeafElement1,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002090,0.00000000,NA,NA,NA,NA,NA,0.27972459,NA,NA,NA,NA,NA,NA,26.17348287,0.11292530,NA,6.69832166,0.00400000,80.40044528,2.24000000,NA,0.46295991,NA,0.00000000,0.00000000,0.05000000,0.05104960,False,False,0.00001000,0.00417081,0.00000000,0.00417081,1.00000000,0.00000000,22.44062573,0.00000000,0.00000000,0.00000000,24.53417647,NA,0.00000000,0.00041484
0,1,MS,3,sheath,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00001010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.99587481,NA,0.00000000,NA,8.90302012,0.00040835,NA,NA,False,False,0.02895000,0.00201801,0.00000000,0.00201801,NA,0.00000000,9.95874813,0.00000000,0.00000000,0.00000000,8.90302012,NA,NA,NA
0,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001007,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,NA,NA,NA
0,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005035,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,NA,NA,NA
