t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
0,1,MS,0.00000000,False,0.00000000,10.00000000,NA,1,2883.20598615,2883.20598615,0.05442030,10,0.00000000,vegetative,0.40044528,0.00100000,0.00000000,2883.20598615
1,1,MS,0.00000000,False,0.00000000,10.00000000,0.00287614,1,2883.20598615,2883.20598615,0.05045616,10,0.00000000,vegetative,0.80089055,0.38219176,1.84439659,5766.41197231
2,1,MS,0.00000000,False,0.00000000,10.00000000,0.00287617,1,2883.20598615,2883.20598615,0.05055789,10,0.00000000,vegetative,1.20133583,0.36448415,1.81833974,8649.61795846
3,1,MS,0.00000000,False,0.00000000,10.00000000,0.00287636,1,2883.20598615,2883.20598615,0.05065784,10,0.00000000,vegetative,1.60178110,0.35315823,1.80491538,11532.82394462
4,1,MS,0.00000000,False,0.00000000,10.00000000,0.00305911,1,2883.20598615,2883.20598615,0.05075630,10,0.00000000,vegetative,2.00222638,0.34638358,1.88059121,14416.02993077
5,1,MS,0.01725837,False,0.00000000,10.00000000,0.00305941,1,2883.20598615,2883.20598615,0.05085359,10,0.00000000,vegetative,2.40267166,0.34297341,1.86403417,17299.23591693
6,1,MS,0.39795461,False,0.00000000,10.00000000,0.00305974,1,2883.20598615,2883.20598615,0.05095004,10,0.00000000,vegetative,2.80311693,0.34172863,1.84762927,20182.44190308
7,1,MS,0.87067737,False,0.00000000,10.00000000,0.00306008,1,2883.20598615,2883.20598615,0.05104595,10,0.00000000,vegetative,3.20356221,0.34292440,1.83020905,23065.64788924
8,1,MS,1.32364255,False,0.00000000,10.00000000,0.00306044,1,2883.20598615,2883.20598615,0.05114170,10,0.00000000,vegetative,3.60400748,0.34654622,1.81329992,25948.85387539
9,1,MS,1.73632667,False,0.00000000,10.00000000,0.00306080,1,2883.20598615,2883.20598615,0.05123768,10,0.00000000,vegetative,4.00445276,0.35229701,1.79735989,28832.05986155
10,1,MS,2.09860510,False,0.00000000,10.00000000,0.00306117,1,2883.20598615,2883.20598615,0.05133424,10,0.00000000,vegetative,4.40489803,0.35984854,1.78261476,31715.26584770
11,1,MS,2.40567421,False,0.00000000,10.00000000,0.00306155,1,2883.20598615,2883.20598615,0.05143166,10,0.00000000,vegetative,4.80534331,0.36869069,1.76939681,34598.47183385
12,1,MS,2.66152006,False,0.00000000,10.00000000,0.00306194,1,2883.20598615,2883.20598615,0.05153010,10,0.00000000,vegetative,5.20578859,0.37881254,1.75746828,37481.67782001
13,1,MS,2.35312991,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05162967,10,0.00000000,vegetative,5.60623386,0.38536851,0.37773807,40364.88380616
14,1,MS,2.14823147,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05173011,10,0.00000000,vegetative,6.00667914,0.38988450,0.37010123,43248.08979232
15,1,MS,1.90240704,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05183125,10,0.00000000,vegetative,6.40712441,0.39284509,0.36618512,46131.29577847
16,1,MS,1.68574769,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05193294,10,0.00000000,vegetative,6.80756969,0.39442116,0.36360482,49014.50176463
17,1,MS,1.50819217,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05203503,10,0.00000000,vegetative,7.20801497,0.39482513,0.36165783,51897.70775078
18,1,MS,1.36479323,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05213743,10,0.00000000,vegetative,7.60846024,0.39433848,0.36005031,54780.91373694
19,1,MS,1.24921267,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05224005,10,0.00000000,vegetative,8.00890552,0.39316486,0.35865092,57664.11972309
20,1,MS,1.15672817,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05234281,10,0.00000000,vegetative,8.40935079,0.39146155,0.35739406,60547.32570924
21,1,MS,1.08237027,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05244567,10,0.00000000,vegetative,8.80979607,0.38935250,0.35623549,63430.53169540
22,1,MS,1.02231174,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05254858,10,0.00000000,vegetative,9.21024134,0.38693169,0.35514362,66313.73768155
23,1,MS,0.97360964,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05265149,10,0.00000000,vegetative,9.61068662,0.38427064,0.35409595,69196.94366771
24,1,MS,0.93397698,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05275437,10,0.00000000,vegetative,10.01113190,0.38142377,0.35307572,72080.14965386
25,1,MS,1.09878791,False,0.00000000,10.00000000,0.00306438,1,2883.20598615,2883.20598615,0.05285717,10,0.00000000,vegetative,10.41157717,0.38208678,2.27345946,74963.35564002
26,1,MS,1.36884187,False,0.00000000,10.00000000,0.00306471,1,2883.20598615,2883.20598615,0.05295999,10,0.00000000,vegetative,10.81202245,0.38047048,1.99586054,77846.56162617
27,1,MS,1.75251449,False,0.00000000,10.00000000,0.00306509,1,2883.20598615,2883.20598615,0.05306299,10,0.00000000,vegetative,11.21246772,0.38275686,1.95974356,80729.76761233
28,1,MS,2.11522913,False,0.00000000,10.00000000,0.00306548,1,2883.20598615,2883.20598615,0.05316644,10,0.00000000,vegetative,11.61291300,0.38808795,1.94113034,83612.97359848
29,1,MS,2.42723257,False,0.00000000,10.00000000,0.00306587,1,2883.20598615,2883.20598615,0.05327057,10,0.00000000,vegetative,12.01335828,0.39567693,1.92301900,86496.17958464
30,1,MS,2.68730889,False,0.00000000,10.00000000,0.00306625,1,2883.20598615,2883.20598615,0.05337554,10,0.00000000,vegetative,12.41380355,0.40521522,1.90611236,89379.38557079
31,1,MS,2.89403489,False,0.00000000,10.00000000,0.00306664,1,2883.20598615,2883.20598615,0.05348146,10,0.00000000,vegetative,12.81424883,0.41476035,1.89268242,92262.59155694
32,1,MS,3.05989009,False,0.00000000,10.00000000,0.00306703,1,2883.20598615,2883.20598615,0.05358838,10,0.00000000,vegetative,13.21469410,0.42520053,1.88074800,95145.79754310
33,1,MS,3.18999529,False,0.00000000,10.00000000,0.00306742,1,2883.20598615,2883.20598615,0.05369630,10,0.00000000,vegetative,13.61513938,0.43582921,1.87087966,98029.00352925
34,1,MS,3.29100284,False,0.00000000,10.00000000,0.00306782,1,2883.20598615,2883.20598615,0.05380521,10,0.00000000,vegetative,14.01558465,0.44645666,1.86295619,100912.20951541
35,1,MS,3.36806380,False,0.00000000,10.00000000,0.00306821,1,2883.20598615,2883.20598615,0.05391508,10,0.00000000,vegetative,14.41602993,0.45701259,1.85682246,103795.41550156
36,1,MS,3.42642117,False,0.00000000,10.00000000,0.00306861,1,2883.20598615,2883.20598615,0.05402585,10,0.00000000,vegetative,14.81647521,0.46736019,1.85242844,106678.62148772
37,1,MS,2.07858674,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05830831,10,0.00000000,vegetative,15.21692048,0.47152785,0.58268946,109561.82747387
38,1,MS,1.98055588,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05842042,10,0.00000000,vegetative,15.61736576,0.47241347,0.56772684,112445.03346003
39,1,MS,1.77791451,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05853294,10,0.00000000,vegetative,16.01781103,0.47250162,0.56382404,115328.23944618
40,1,MS,1.59732900,False,0.00000000,10.00000000,0.00009026,1,2883.20598615,2883.20598615,0.05864582,10,0.00000000,vegetative,16.41825631,0.47164768,0.56131584,118211.44543233
