t,plant,axis,metamer,AA_consumption_mstruct,D_Fructan,D_Proteins,LSIW,LSSW,Nstruct,Respi_growth,SSLW,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,amino_acids,delta_internode_L,delta_internode_distance_to_emerge,delta_internode_pseudo_age,delta_leaf_L,delta_leaf_pseudo_age,delta_leaf_pseudostem_length,fructan,hiddenzone_age,internode_L,internode_Lmax,internode_Lmax_lig,internode_distance_to_emerge,internode_enclosed_Nstruct,internode_enclosed_mstruct,internode_is_growing,internode_is_remobilizing,internode_is_visible,internode_pseudo_age,is_over,lamina_Lmax,leaf_L,leaf_Lmax,leaf_Lmax_em,leaf_Wmax,leaf_enclosed_Nstruct,leaf_enclosed_mstruct,leaf_is_emerged,leaf_is_growing,leaf_is_remobilizing,leaf_pseudo_age,leaf_pseudostem_length,mean_conc_sucrose,mstruct,nb_replications,proteins,ratio_DZ,sheath_Lmax,sucrose,sucrose_consumption_mstruct
0,1,MS,3,0.00103037,NA,NA,1.00000000,0.09000000,0.00001012,0.03444169,21.00000000,NA,NA,NA,NA,0.99549586,0.00000000,0.00010000,0.00000000,0.00029997,2883.20598615,0.00000000,8.90884366,3838323.20598615,0.00005000,NA,NA,0.02900000,0.00000001,0.00000132,True,False,False,866883.20598615,False,0.09718037,0.09279997,0.12773387,0.12300000,0.00400000,0.00001011,0.00202090,True,True,False,1572883.20598615,0.02895000,1800.00000000,0.00202222,1,9.96526223,0.00000000,0.03055351,8.77107690,0.10332507
0,1,MS,4,0.00159250,NA,NA,NA,NA,0.00000409,0.05323200,NA,NA,NA,NA,NA,0.67424377,0.00000007,0.00002000,0.00000000,0.00019366,2883.20598615,0.00000000,1.79406104,3290403.20598615,0.00001007,NA,NA,0.02895000,0.00000000,0.00000017,True,False,False,0.00000000,False,0.09910648,0.02669366,0.13391137,0.13300000,NA,0.00000409,0.00081760,False,True,False,759883.20598615,0.02894000,1804.78754588,0.00081777,1,6.75836276,0.29798723,0.03399352,3.37519408,0.15969600
0,1,MS,5,0.00005048,NA,NA,NA,NA,0.00000015,0.00168742,NA,NA,NA,NA,NA,0.05301857,0.00000035,0.00006000,0.00000000,0.00001841,0.00000000,0.00006000,0.00000000,2742483.20598615,0.00005035,NA,NA,0.02900000,0.00000000,0.00000000,True,False,False,0.00000000,False,NA,0.00198615,NA,NA,NA,0.00000015,0.00002934,False,True,False,0.00000000,0.02900000,1809.89765371,0.00002934,1,0.53069049,1.00000000,NA,0.12198072,0.00506226
0,1,MS,6,0.00000896,NA,NA,NA,NA,0.00000004,0.00029946,NA,NA,NA,NA,NA,0.01557333,0.00000000,0.00006000,0.00000000,0.00000442,0.00000000,0.00006000,0.00000000,2194563.20598615,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00075853,NA,NA,NA,0.00000004,0.00000860,False,True,False,0.00000000,0.02900000,NA,0.00000860,1,0.15582292,1.00000000,NA,0.03660035,0.00089839
0,1,MS,7,0.00000278,NA,NA,NA,NA,0.00000001,0.00009288,NA,NA,NA,NA,NA,0.00510157,0.00000000,0.00006000,0.00000000,0.00000175,0.00000000,0.00006000,0.00000000,1646643.20598615,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00031552,NA,NA,NA,0.00000001,0.00000282,False,True,False,0.00000000,0.02900000,NA,0.00000282,1,0.05104347,1.00000000,NA,0.01201017,0.00027864
0,1,MS,8,0.00000095,NA,NA,NA,NA,0.00000001,0.00003186,NA,NA,NA,NA,NA,0.00194420,0.00000000,0.00006000,0.00000000,0.00000075,0.00000000,0.00006000,0.00000000,1098723.20598615,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00014662,NA,NA,NA,0.00000001,0.00000107,False,True,False,0.00000000,0.02900000,NA,0.00000107,1,0.01945158,1.00000000,NA,0.00459094,0.00009559
0,1,MS,9,0.00000042,NA,NA,NA,NA,0.00000000,0.00001405,NA,NA,NA,NA,NA,0.00089894,0.00000000,0.00006000,0.00000000,0.00000039,0.00000000,0.00006000,0.00000000,550803.20598615,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00007839,NA,NA,NA,0.00000000,0.00000050,False,True,False,0.00000000,0.02900000,NA,0.00000050,1,0.00899357,1.00000000,NA,0.00212538,0.00004215
0,1,MS,10,0.00000021,NA,NA,NA,NA,0.00000000,0.00000718,NA,NA,NA,NA,NA,0.00052188,0.00000000,0.00006000,0.00000000,0.00000023,0.00000000,0.00006000,0.00000000,2883.20598615,0.00000000,NA,NA,0.02900000,0.00000000,0.00000000,False,False,False,0.00000000,False,NA,0.00004963,NA,NA,NA,0.00000000,0.00000029,False,True,False,0.00000000,0.02900000,NA,0.00000029,1,0.00522099,1.00000000,NA,0.00123774,0.00002154
1,1,MS,3,0.00103037,7.88551086,2.58770672,1.00000000,0.09000000,0.00001014,0.03444169,21.00000000,0.00000180,64.31246976,0.06451080,-2.59124210,0.19190167,0.00000000,0.00000000,0.00000000,0.00029951,2883.20598615,0.00000000,8.92460184,3841206.41197231,0.00005000,NA,NA,0.02900000,0.00000001,0.00000132,True,False,False,869766.41197231,False,0.09720979,0.09309947,0.12777255,0.12300000,0.00400000,0.00001013,0.00202378,True,True,False,1575766.41197231,0.02895000,1800.00000000,0.00202510,1,10.07842016,0.00000000,0.03056276,3.53639999,0.10332507
1,1,MS,4,0.00160848,1.84313725,4.31966016,NA,NA,0.00000412,0.05376601,NA,80.64259925,103.40873011,0.09756455,0.73879732,0.07784177,0.00000007,0.00000000,0.00000000,0.00019395,2883.20598615,-0.00000007,1.84313725,3293286.41197231,0.00001014,NA,NA,0.02895000,0.00000000,0.00000017,True,False,False,0.00000000,False,0.09910648,0.02688761,0.13393664,0.13300000,NA,0.00000411,0.00082210,False,True,False,762766.41197231,0.02893993,1809.03713995,0.00082227,1,6.83116372,0.29471429,0.03399352,1.43321486,0.16129802
