t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA
0,1,MS,roots,0.03454722,NA,NA,NA,NA,NA,NA,0.00017268,NA,NA,NA,NA,NA,NA,NA,1.19303084,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,2.15598651,8.60000000,0.00009673,0.03449673,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,197.92736394,3.46439572,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.17964504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.27922684,NA,NA
1,1,MS,roots,0.03453681,0.00000000,0.36671725,0.49095303,0.06588471,0.00000008,0.00000000,0.00017316,NA,0.10364055,0.00000000,NA,NA,NA,0.07981568,1.19267117,1.51311113,NA,1.33658486,NA,NA,14.14126061,0.00000000,-495.56657148,0.00000000,NA,1.77239086,8.58042619,0.00009670,0.03459344,21.35554278,NA,0.00000000,0.00127719,0.00000000,NA,NA,170.00535680,3.46335130,0.18345623
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01895009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.77603742,NA,NA
2,1,MS,roots,0.03388673,0.00000000,0.30397050,0.48187911,0.06618980,0.00000016,0.00000000,0.00017364,NA,0.10310071,0.00000000,NA,NA,NA,0.07562733,1.17022168,1.50111243,NA,1.32613871,NA,NA,13.86168298,0.00000000,-283.49083332,0.00000000,NA,1.45892651,8.56030220,0.00009488,0.03468832,20.81529589,NA,0.00000000,0.00128612,0.00000000,NA,NA,152.46309960,3.39816110,0.17872804
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59416749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.10467758,NA,NA
3,1,MS,roots,0.03331004,0.00000000,0.25146119,0.47025283,0.06611632,0.00000024,0.00000000,0.00017410,NA,0.10270635,0.00000000,NA,NA,NA,0.07240378,1.15030668,1.49136077,NA,1.31577496,NA,NA,13.64144605,0.00000000,-154.63104364,0.00000000,NA,1.20537953,8.53999434,0.00009327,0.03478159,20.28741834,NA,0.00000000,0.00128775,0.00000000,NA,NA,140.67666154,3.34033071,0.17511012
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03327945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.51847321,NA,NA
4,1,MS,roots,0.03281717,0.00000000,0.20917057,0.45919909,0.06608787,0.00000032,0.00000000,0.00017456,NA,0.10244508,0.00000000,NA,NA,NA,0.06995692,1.13328630,1.48364742,NA,1.30605507,NA,NA,13.46956366,0.00000000,-67.32694922,0.00000000,NA,1.00067997,8.51946691,0.00009189,0.03487347,19.77143272,NA,0.00000000,0.00129030,0.00000000,NA,NA,132.63689021,3.29090589,0.17240201
