t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,NA,12,NA,3000000.00000000,1
1,1,MS,2999876.39811019,10,0.00333894,2999876.39811019,1
2,1,MS,2999759.17127247,10,0.00333894,2999759.17127247,1
3,1,MS,2999645.93876273,10,0.00333894,2999645.93876273,1
4,1,MS,2999534.89128129,10,0.00333894,2999534.89128129,1
5,1,MS,2999424.64542464,10,0.00333894,2999424.64542464,1
6,1,MS,2999314.38887628,10,0.00333894,2999314.38887628,1
7,1,MS,2999203.17940923,10,0.00333894,2999203.17940923,1
8,1,MS,2999090.02064517,10,0.00333894,2999090.02064517,1
9,1,MS,2998973.96091729,10,0.00333894,2998973.96091729,1
10,1,MS,2998854.14106785,10,0.00333894,2998854.14106785,1
11,1,MS,2998729.91563772,10,0.00333894,2998729.91563772,1
12,1,MS,2998600.60603551,10,0.00333894,2998600.60603551,1
13,1,MS,2998468.31970070,10,0.00333894,2998468.31970070,1
14,1,MS,2998335.19457532,10,0.00333894,2998335.19457532,1
15,1,MS,2998201.92159425,10,0.00333894,2998201.92159425,1
16,1,MS,2998069.08274831,10,0.00333894,2998069.08274831,1
17,1,MS,2997937.16165112,10,0.00333894,2997937.16165112,1
18,1,MS,2997806.51348637,10,0.00333894,2997806.51348637,1
19,1,MS,2997677.40327291,10,0.00333894,2997677.40327291,1
20,1,MS,2997550.02694691,10,0.00333894,2997550.02694691,1
21,1,MS,2997424.52637217,10,0.00333894,2997424.52637217,1
22,1,MS,2997301.00278474,10,0.00333894,2997301.00278474,1
23,1,MS,2997179.52667784,10,0.00333894,2997179.52667784,1
24,1,MS,2997060.14534256,10,0.00333894,2997060.14534256,1
25,1,MS,2996940.63836487,10,0.00333894,2996940.63836487,1
26,1,MS,2996818.74380775,10,0.00333894,2996818.74380775,1
27,1,MS,2996693.74579373,10,0.00333894,2996693.74579373,1
28,1,MS,2996564.92358892,10,0.00333894,2996564.92358892,1
29,1,MS,2996431.61204836,10,0.00333894,2996431.61204836,1
30,1,MS,2996293.07413378,10,0.00333894,2996293.07413378,1
31,1,MS,2996149.46818505,10,0.00333894,2996149.46818505,1
32,1,MS,2996000.38620825,10,0.00333894,2996000.38620825,1
33,1,MS,2995845.75189804,10,0.00333894,2995845.75189804,1
34,1,MS,2995685.56609593,10,0.00333894,2995685.56609593,1
35,1,MS,2995519.85585281,10,0.00333894,2995519.85585281,1
36,1,MS,2995348.71706430,10,0.00333894,2995348.71706430,1
37,1,MS,2995175.74467884,10,0.00333894,2995175.74467884,1
38,1,MS,2995003.99306667,10,0.00333894,2995003.99306667,1
39,1,MS,2994833.80732399,10,0.00333894,2994833.80732399,1
40,1,MS,2994665.55001727,10,0.00333894,2994665.55001727,1
41,1,MS,2994499.50129207,10,0.00333894,2994499.50129207,1
42,1,MS,2994335.86273246,10,0.00333894,2994335.86273246,1
43,1,MS,2994174.77557358,10,0.00333894,2994174.77557358,1
44,1,MS,2994016.32872058,10,0.00333894,2994016.32872058,1
45,1,MS,2993860.57426177,10,0.00333894,2993860.57426177,1
46,1,MS,2993707.53744269,10,0.00333894,2993707.53744269,1
47,1,MS,2993557.21663390,10,0.00333894,2993557.21663390,1
48,1,MS,2993409.61226231,10,0.00333894,2993409.61226231,1
49,1,MS,2993261.95875016,10,0.00333894,2993261.95875016,1
50,1,MS,2993111.46234290,10,0.00333894,2993111.46234290,1
51,1,MS,2992957.59693850,10,0.00333894,2992957.59693850,1
52,1,MS,2992799.79301297,10,0.00333894,2992799.79301297,1
53,1,MS,2992637.57418259,10,0.00333894,2992637.57418259,1
54,1,MS,2992470.72066286,10,0.00333894,2992470.72066286,1
55,1,MS,2992299.12509537,10,0.00333894,2992299.12509537,1
56,1,MS,2992122.79199477,10,0.00333894,2992122.79199477,1
57,1,MS,2991941.38067569,10,0.00333894,2991941.38067569,1
58,1,MS,2991755.05265876,10,0.00333894,2991755.05265876,1
59,1,MS,2991563.87120592,10,0.00333894,2991563.87120592,1
60,1,MS,2991368.14833908,10,0.00333894,2991368.14833908,1
61,1,MS,2991170.48069412,10,0.00333894,2991170.48069412,1
62,1,MS,2990973.99790040,10,0.00333894,2990973.99790040,1
63,1,MS,2990779.34381390,10,0.00333894,2990779.34381390,1
64,1,MS,2990587.02506138,10,0.00333894,2990587.02506138,1
65,1,MS,2990397.39277345,10,0.00333894,2990397.39277345,1
66,1,MS,2990210.68764441,10,0.00333894,2990210.68764441,1
67,1,MS,2990027.06991203,10,0.00333894,2990027.06991203,1
68,1,MS,2989846.62105132,10,0.00333894,2989846.62105132,1
69,1,MS,2989669.41220537,10,0.00333894,2989669.41220537,1
70,1,MS,2989495.42123153,10,0.00333894,2989495.42123153,1
71,1,MS,2989324.64636054,10,0.00333894,2989324.64636054,1
72,1,MS,2989157.05748300,10,0.00333894,2989157.05748300,1
73,1,MS,2988989.28477812,10,0.00333894,2988989.28477812,1
74,1,MS,2988817.97594952,10,0.00333894,2988817.97594952,1
75,1,MS,2988642.70637067,10,0.00333894,2988642.70637067,1
76,1,MS,2988462.97073252,10,0.00333894,2988462.97073252,1
77,1,MS,2988278.78787390,10,0.00333894,2988278.78787390,1
78,1,MS,2988089.81173183,10,0.00333894,2988089.81173183,1
79,1,MS,2987895.43738190,10,0.00333894,2987895.43738190,1
