sum_dry_mass_laminae,Cont_WSC_DM_shoot,Cont_WSC_DM,C_exudated,Tillers_Photosynthesis_An,senesced_mstruct,dry_mass_phloem,axis,C_N_ratio,sum_dry_mass,N_content_shoot,NS_roots,Cont_WSC_DM_laminae,t,sum_NSC_g,sum_respi_roots,mstruct_shoot,mstruct_laminae,sum_dry_mass_shoot,mstruct_stem,N_content,sum_C_g,C_respired_roots,Total_Transpiration,N_content_mstruct_shoot,C_respired_shoot,N_content_total_DM_shoot,NS_stem,C_N_ratio_shoot,N_content_roots,sum_dry_mass_stem,Cont_WSC_DM_stem,N_content_mstruct,shoot_roots_ratio,Total_Photosynthesis,N_content_mstruct_roots,plant,Tillers_Photosynthesis,NS_laminae,NS,mstruct,sum_respi_shoot,NNI,sum_N_g_shoot,sum_dry_mass_roots,Cont_WSC_DM_roots,NS_shoot,sum_N_g,shoot_roots_mstruct_ratio
0.02250638,11.102682081848519,12.462487230162871,0.00000000,0.00000000,0.00000000,0.00000000,MS,16.36931907,0.07532531,4.25656677,17.29138215,9.793839245848211,0.00000000,0.00781892,0.00100000,0.02002689,0.01311522,0.03361656,0.00691167,2.57609348,0.03176385,1.19403084,NA,7.14494811,0.07879813,4.25656677,37.78970514,9.87147138,1.22166013,0.01111017,13.75406390445695,3.55891656,0.80598327,0.00000000,1.47706511,1,0.00000000,41.72665565,27.61579441,0.05442030,0.00000000,0.96740154,0.00143091,0.04170875,13.558467423980886,40.42550486,0.00194045,0.58054466
0.02284199,11.243108065116285,13.150161111291556,0.00000000,33.01333470,0.00000000,0.00263330,MS,16.49183342,0.07612853,4.23526408,18.62503479,11.075921507052486,1.00000000,0.00991503,0.38219176,0.02003354,0.01311522,0.03361738,0.00691832,2.55800586,0.03211574,1.57486292,0.00287614,7.10700515,1.92373853,4.23526408,35.79515910,9.92264781,1.23164750,0.01077538,11.597515275737544,3.56485462,0.79078960,32.89676634,1.51354596,1,32.89676634,42.58284996,28.24375373,0.05045616,1.84439659,0.96256002,0.00142378,0.04251115,14.65823883125948,40.40719001,0.00194737,0.57911391
0.02318857,12.476222585838997,13.83198497370428,0.00000000,33.02476379,0.00000000,0.00382669,MS,16.61699014,0.07693408,4.19307465,18.87075733,12.36008072580493,2.00000000,0.01022308,0.36448415,0.02004051,0.01311522,0.03417739,0.00692529,2.53975486,0.03246855,1.53306151,0.00287617,7.15093212,1.90156002,4.19307465,36.97874207,10.02057353,1.21818065,0.01098882,12.721304850445192,3.57022420,0.79934579,32.90838290,1.50153091,1,32.90838290,43.44101199,28.86287467,0.05055789,1.81833974,0.95297151,0.00143308,0.04275670,14.91570793380995,41.36324366,0.00195394,0.57773305
0.02350696,13.621319617876749,14.507961245682013,0.00000000,33.04092377,0.00000000,0.00474661,MS,16.74360962,0.07774233,4.15483039,19.15706778,13.470858496862844,3.00000000,0.01053269,0.35315823,0.02004744,0.01311522,0.03471913,0.00693222,2.52150716,0.03282214,1.50048495,0.00287636,7.19553773,1.88763608,4.15483039,38.17237956,10.11091385,1.20343749,0.01121217,13.936770003813159,3.57528099,0.80698642,32.92389585,1.48861188,1,32.92389585,44.20707712,29.47387431,0.05065784,1.80491538,0.94427963,0.00144252,0.04302319,15.223469000087796,42.25823630,0.00196028,0.57638705
0.02380315,14.68072529414233,15.197101993293924,0.00000000,33.99828424,0.00000000,0.00553380,MS,16.87603442,0.07857476,4.12165343,19.51426226,14.448007795276165,4.00000000,0.01085390,0.34638358,0.02005433,0.01311522,0.03524686,0.00693911,2.50270851,0.03318667,1.47570057,0.00305911,7.24408740,1.96289765,4.12165343,39.36309153,10.19028277,1.18571110,0.01144371,15.16478234550237,3.58019404,0.81349118,33.88806075,1.47319405,1,33.88806075,44.90132192,30.09572998,0.05075630,1.88059121,0.93673942,0.00145275,0.04332790,15.61716988430127,43.10320684,0.00196650,0.57507132
0.02406197,15.63355814048834,15.878504687978259,0.01725837,34.02046422,0.00000000,0.00624063,MS,17.00825818,0.07941007,4.09240237,19.93941732,15.283296374118628,5.00000000,0.01117611,0.34297341,0.02006120,0.01311522,0.03573914,0.00694598,2.48415678,0.03355169,1.45820743,0.00305941,7.29063871,1.94596009,4.09240237,40.51660219,10.26122674,1.16801097,0.01167717,16.355307576653818,3.58508351,0.81837365,33.90906227,1.45890890,1,33.90906227,45.49398943,30.70853795,0.05085359,1.86403417,0.93009145,0.00146259,0.04367093,16.078962487244283,43.86771123,0.00197267,0.57378031
0.02429572,16.497467255071307,16.54062164284933,0.39795461,34.04461008,0.00000000,0.00687860,MS,17.13774725,0.08023773,4.06617464,20.40314396,16.025653884652684,6.00000000,0.01149475,0.34172863,0.02006803,0.01311522,0.03619978,0.00695281,2.46621482,0.03391277,1.44699505,0.00305974,7.33478306,1.92919440,4.06617464,41.59298346,10.32565341,1.15102626,0.01190406,17.460419600192008,3.58999324,0.82201349,33.93193457,1.44607001,1,33.93193457,46.01838921,31.30307913,0.05095004,1.84762927,0.92413060,0.00147195,0.04403794,16.576095131646646,44.56312332,0.00197883,0.57250829
0.02450822,17.271761530313672,17.18104004744546,0.87067737,34.07019602,0.00000000,0.00745053,MS,17.26354168,0.08105519,4.04342848,20.90043912,16.687177582215174,7.00000000,0.01180854,0.34292440,0.02007483,0.01311522,0.03662773,0.00695961,2.44899340,0.03426876,1.44191729,0.00306008,7.37747596,1.91143611,4.04342848,42.57512757,10.38206620,1.13447902,0.01211951,18.453914436315234,3.59498863,0.82443894,33.95619333,1.43424187,1,33.95619333,46.48643968,31.87757599,0.05104595,1.83020905,0.91896102,0.00148102,0.04442746,17.106245723910195,45.19225132,0.00198504,0.57125023
0.02470234,17.961973925089474,17.800392018815515,1.32364255,34.09708362,0.00000000,0.00796595,MS,17.38535712,0.08186294,4.02417874,21.42742863,17.27816498204969,8.00000000,0.01211746,0.34654622,0.02008161,0.01311522,0.03702427,0.00696639,2.43250478,0.03461981,1.44388048,0.00306044,7.41933932,1.89421406,4.02417874,43.46348249,10.43011207,1.11822486,0.01232193,19.33283729743812,3.60012602,0.82572183,33.98171320,1.42317457,1,33.98171320,46.90697277,32.43278782,0.05114170,1.81329992,0.91458608,0.00148992,0.04483867,17.66697031171427,45.76095575,0.00199132,0.56999996
0.02488024,18.577825405166486,18.399777018912346,1.73632667,34.12513982,0.00000000,0.00843404,MS,17.50303974,0.08266204,4.00808513,21.97852453,17.80798748062724,9.00000000,0.01242175,0.35229701,0.02008836,0.01311522,0.03739229,0.00697314,2.41674325,0.03496633,1.45278364,0.00306080,7.46061060,1.87798519,4.00808513,44.26854783,10.47041870,1.10231341,0.01251204,20.108650816661235,3.60545671,0.82598834,34.00836953,1.41283333,1,34.00836953,47.28660305,32.96984425,0.05123768,1.79735989,0.91092844,0.00149871,0.04526975,18.25271112807948,46.27671458,0.00199773,0.56875119
