Nstruct,delta_leaf_L,sucrose,leaf_pseudostem_length,S_Proteins,RER,internode_L,plant,sum_dry_mass,Cont_Proteins_DM,Unloading_Amino_Acids,Conc_Amino_Acids,t,Respi_growth,D_Fructan,N_content,ratio_DZ,leaf_is_emerged,D_Proteins,Conc_Sucrose,Cont_WSC_DM,fructan,mstruct,axis,AA_consumption_mstruct,Conc_Proteins,leaf_L,Cont_Fructan_DM,Unloading_Sucrose,sucrose_consumption_mstruct,amino_acids,nb_replications,proteins,S_Fructan,Conc_Fructan,metamer
0.00001012,0.00029997,8.77107690,0.02895000,NA,0.00000090,0.00005000,1,0.00366403,25.21626850,NA,393.82335455,0.00000000,0.03444169,NA,4.46425565,0.00000000,True,NA,361.44622705,13.78647588,8.90884366,0.00202222,MS,0.00103037,0.51104015,0.09279997,6.94695193,NA,0.10332507,0.99549586,1,9.96526223,NA,734.24688134,3
0.00000409,0.00019366,3.37519408,0.02894000,NA,0.00000202,0.00001007,1,0.00173625,36.08947968,NA,659.59499238,0.00000000,0.05323200,NA,6.22892459,0.29798723,False,NA,343.94414626,8.50644222,1.79406104,0.00081777,MS,0.00159250,0.85705005,0.02669366,2.95227769,NA,0.15969600,0.67424377,1,6.75836276,NA,365.64225849,4
0.00000015,0.00001841,0.12198072,0.02900000,NA,0.00000257,0.00005035,1,0.00009336,52.70293442,NA,1445.56598753,0.00000000,0.00168742,NA,8.91034246,1.00000000,False,NA,346.44148946,3.73306505,0.00000000,0.00002934,MS,0.00005048,1.87566605,0.00198615,0.00000000,NA,0.00506226,0.05301857,1,0.53069049,NA,0.00000000,5
0.00000004,0.00000442,0.03660035,0.02900000,NA,0.00000162,0.00000000,1,0.00002742,52.69755275,NA,1449.51060071,0.00000000,0.00029946,NA,8.90918110,1.00000000,False,NA,354.85732491,3.81439066,0.00000000,0.00000860,MS,0.00000896,1.88007611,0.00075853,0.00000000,NA,0.00089839,0.01557333,1,0.15582292,NA,0.00000000,6
0.00000001,0.00000175,0.01201017,0.02900000,NA,0.00000154,0.00000000,1,0.00000898,52.68071660,NA,1448.39351910,0.00000000,0.00009288,NA,8.90611051,1.00000000,False,NA,355.18992790,3.81980678,0.00000000,0.00000282,MS,0.00000278,1.87856965,0.00031552,0.00000000,NA,0.00027864,0.00510157,1,0.05104347,NA,0.00000000,7
0.00000001,0.00000075,0.00459094,0.02900000,NA,0.00000141,0.00000000,1,0.00000342,52.69168560,NA,1449.99391893,0.00000000,0.00003186,NA,8.90840006,1.00000000,False,NA,356.66018251,3.83239025,0.00000000,0.00000107,MS,0.00000095,1.88054345,0.00014662,0.00000000,NA,0.00009559,0.00194420,1,0.01945158,NA,0.00000000,8
0.00000000,0.00000039,0.00212538,0.02900000,NA,0.00000139,0.00000000,1,0.00000158,52.71496731,NA,1452.30772163,0.00000000,0.00001405,NA,8.91210791,1.00000000,False,NA,357.68059293,3.83901356,0.00000000,0.00000050,MS,0.00000042,1.88350185,0.00007839,0.00000000,NA,0.00004215,0.00089894,1,0.00899357,NA,0.00000000,9
0.00000000,0.00000023,0.00123774,0.02900000,NA,0.00000127,0.00000000,1,0.00000092,52.70040219,NA,1451.68697942,0.00000000,0.00000718,NA,8.91031060,1.00000000,False,NA,358.63867223,3.85009640,0.00000000,0.00000029,MS,0.00000021,1.88259033,0.00004963,0.00000000,NA,0.00002154,0.00052188,1,0.00522099,NA,0.00000000,10
0.00001014,0.00029951,3.53639999,0.02895000,64.31246976,0.00000089,0.00005000,1,0.00344620,27.11457536,0.06451080,75.80914891,1.00000000,0.03444169,7.88551086,4.46636535,0.00000000,True,2.58770672,145.52345844,10.33104313,8.92460184,0.00202510,MS,0.00103037,0.51610682,0.09309947,7.39911989,-2.59124210,0.10332507,0.19190167,1,10.07842016,0.00000180,734.49775358,3
0.00000412,0.00019395,1.43321486,0.02893993,103.40873011,0.00000200,0.00001014,1,0.00163237,38.79958765,0.09756455,75.73346688,1.00000000,0.05376601,1.84313725,6.17762632,0.29471429,False,4.31966016,145.24969250,5.73460953,1.84313725,0.00082227,MS,0.00160848,0.86153738,0.02688761,3.22604900,0.73879732,0.16129802,0.07784177,1,6.83116372,80.64259925,373.58685848,4
0.00000015,0.00001855,0.05141372,0.02888958,197.17707263,0.00000257,0.00005069,1,0.00008684,57.18492203,0.00611203,75.78379523,1.00000000,0.00171421,0.00181621,8.84971568,1.00000000,False,9.44550519,145.31069187,1.75130832,0.00181621,0.00002948,MS,0.00005128,1.88386482,0.00200470,0.05975478,0.02801043,0.00514264,0.00279310,1,0.53561867,80.66770912,10.26631281,5
0.00000004,0.00000444,0.01503280,0.02900000,197.22046967,0.00000162,0.00000000,1,0.00002546,57.27207845,0.00178700,75.80679666,1.00000000,0.00030243,0.00053114,8.86211104,1.00000000,False,9.48562533,145.32166461,1.74670238,0.00053114,0.00000862,MS,0.00000905,1.89186661,0.00076298,0.05960879,0.00819244,0.00090729,0.00081686,1,0.15726228,80.67222538,10.26907900,6
0.00000001,0.00000176,0.00492774,0.02900000,197.24705296,0.00000154,0.00000000,1,0.00000834,57.25881610,0.00058585,75.82088832,1.00000000,0.00009376,0.00017413,8.85980129,1.00000000,False,9.47955543,145.32839785,1.74750328,0.00017413,0.00000283,MS,0.00000280,1.89065599,0.00031728,0.05964214,0.00268510,0.00028127,0.00026780,1,0.05151505,80.67499662,10.27062834,7
0.00000001,0.00000075,0.00187542,0.02900000,197.26331113,0.00000141,0.00000000,1,0.00000318,57.28575349,0.00022296,75.82950739,1.00000000,0.00003214,0.00006627,8.86429322,1.00000000,False,9.49199318,145.33251176,1.74608715,0.00006627,0.00000108,MS,0.00000096,1.89313665,0.00014737,0.05959693,0.00102200,0.00009642,0.00010193,1,0.01963098,80.67668977,10.27147535,8
0.00000000,0.00000039,0.00086567,0.02900000,197.27303393,0.00000139,0.00000000,1,0.00000147,57.32001271,0.00010291,75.83466208,1.00000000,0.00001417,0.00003059,8.86924066,1.00000000,False,9.50782588,145.33497145,1.74425415,0.00003059,0.00000050,MS,0.00000042,1.89629441,0.00007879,0.05953690,0.00047181,0.00004251,0.00004705,1,0.00907636,80.67770209,10.27210181,9
0.00000000,0.00000023,0.00050264,0.02900000,197.27851414,0.00000127,0.00000000,1,0.00000085,57.31599708,0.00005976,75.83756758,1.00000000,0.00000724,0.00001776,8.86924924,1.00000000,False,9.50597807,145.33635937,1.74448859,0.00001776,0.00000029,MS,0.00000022,1.89592588,0.00004986,0.05954582,0.00027394,0.00002171,0.00002732,1,0.00526905,80.67827331,10.27236385,10
0.00001015,0.00027287,4.81620097,0.02895000,71.46386287,0.00000081,0.00005000,1,0.00350229,27.03245708,0.04893570,87.94576996,2.00000000,0.03444169,5.88269013,4.46082649,0.00000000,True,2.61812862,197.90554304,11.19894692,8.91148862,0.00202799,MS,0.00103037,0.52217434,0.09337234,7.26992605,-4.45485024,0.10332507,0.22294122,1,10.21143209,0.00000044,732.37516760,3
0.00000414,0.00017729,1.95947315,0.02893986,114.46495224,0.00000182,0.00001021,1,0.00166426,38.53913130,0.10125057,87.85561706,2.00000000,0.05266172,1.91701288,6.14440047,0.29170624,False,4.35114960,197.52387909,6.65500296,1.91701288,0.00082668,MS,0.00157544,0.86781781,0.02706490,3.29105440,0.57245054,0.15798516,0.09078582,1,6.91787578,100.33153359,386.48737864,4
0.00000015,0.00001567,0.07021757,0.02888917,219.08535492,0.00000215,0.00005105,1,0.00008825,56.89394258,0.00657330,87.90504917,2.00000000,0.00157772,0.00451788,8.81041850,1.00000000,False,9.50713757,197.57048379,2.41964135,0.00451788,0.00002962,MS,0.00004720,1.89615713,0.00202037,0.14627121,0.02211409,0.00473317,0.00325437,1,0.54153005,100.34759191,25.42381828,5
0.00000004,0.00000374,0.02049323,0.02900000,219.12810990,0.00000135,0.00000000,1,0.00002585,57.01726092,0.00191825,87.92974615,2.00000000,0.00027522,0.00131925,8.82802651,1.00000000,False,9.56409929,197.57912440,2.41062561,0.00131925,0.00000864,MS,0.00000823,1.90751790,0.00076672,0.14579792,0.00645881,0.00082565,0.00095002,1,0.15898735,100.35056889,25.43824911,6
0.00000001,0.00000148,0.00671655,0.02900000,219.15425066,0.00000129,0.00000000,1,0.00000847,57.00709601,0.00062877,87.94484817,2.00000000,0.00008528,0.00043250,8.82617113,1.00000000,False,9.55943907,197.58442375,2.41147653,0.00043250,0.00000283,MS,0.00000255,1.90658844,0.00031876,0.14588795,0.00211662,0.00025585,0.00031141,1,0.05208050,100.35239466,25.44609002,7
0.00000001,0.00000063,0.00255554,0.02900000,219.17023870,0.00000118,0.00000000,1,0.00000323,57.03898965,0.00023923,87.95408556,2.00000000,0.00002921,0.00016455,8.83136704,1.00000000,False,9.57423205,197.58766119,2.40913057,0.00016455,0.00000108,MS,0.00000087,1.90953883,0.00014800,0.14573986,0.00080550,0.00008764,0.00011850,1,0.01984613,100.35351002,25.44536135,8
0.00000000,0.00000033,0.00117947,0.02900000,219.17979777,0.00000116,0.00000000,1,0.00000149,57.07508260,0.00011041,87.95960877,2.00000000,0.00001288,0.00007594,8.83657647,1.00000000,False,9.59099439,197.58959662,2.40644914,0.00007594,0.00000050,MS,0.00000039,1.91288201,0.00007912,0.14556233,0.00037185,0.00003863,0.00005469,1,0.00917565,100.35417681,25.44276103,9
