N_exudation,sucrose,R_Nnit_upt,S_Amino_Acids,senesced_mstruct,R_residual,Total_Organic_Nitrogen,Proteins_N_Mass,age_from_flowering,S_grain_starch,axis,HATS_LATS,sum_respi,RGR_Structure,R_grain_growth_starch,t,AA_consumption_mstruct,nitrates,organ,Export_cytokinins,S_Proteins,Conc_Amino_Acids,structure,synthetized_mstruct,R_grain_growth_struct,N_tot,Uptake_Nitrates,regul_transpiration,Export_Amino_Acids,starch,proteins,amino_acids,S_grain_structure,Conc_Sucrose,WSC_g,sucrose_consumption_mstruct,Nstruct,Conc_Nitrates,Export_Nitrates,Unloading_Amino_Acids,plant,Dry_Mass,Conc_cytokinins,C_exudation,Respi_growth,mstruct,S_cytokinins,R_Nnit_red,Unloading_Sucrose,cytokinins
NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,0.00000000,NA,NA,phloem,NA,NA,0.0,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,0.00000000,NA,0.0,0.0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,197.92736394,NA,NA,0.00000000,0.09514644,14.49031944,NA,NA,NA,MS,NA,NA,NA,NA,0.00000000,0.03454722,21.90533730,roots,NA,NA,49.99862574006066,NA,NA,NA,0.00050954,NA,NA,NA,NA,NA,2.15598651,NA,478.1307077251103,0.005655067541246046,3.46439572,0.00017268,634.9974587156204,NA,NA,1,NA,249.29897541245967,NA,1.19303084,0.03449673,NA,NA,NA,8.60000000
NA,78.25863630,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,1.00000000,NA,NA,phloem,NA,NA,60.75013441811607,NA,NA,NA,0.00005364,NA,NA,NA,NA,NA,3.83152351,NA,129.25185710017354,0.0022359610371100497,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00000000,168.53994194,0.19157647,1.51219394,0.00000000,0.07552751,13.74205253,NA,NA,NA,MS,1.95981874,0.37479425,NA,NA,1.00000000,0.03453681,21.23068209,roots,0.14695111,NA,31.75591589401262,NA,NA,NA,0.00048962,0.48256037,0.00287614,0.63981273,NA,NA,1.37318278,NA,406.00174688635343,0.004815426912573008,3.46335130,0.00017316,613.7199705256021,1.09912217,0.00000000,1,NA,245.6691909083308,0.00000000,1.19267117,0.03459344,1.33549190,0.10357773,-514.65452968,8.49854126
NA,114.73690844,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,2.00000000,NA,NA,phloem,NA,NA,83.6909845595667,NA,NA,NA,0.00007405,NA,NA,NA,NA,NA,5.28904902,NA,189.1180564099239,0.0032781973840252613,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00000000,150.48860630,0.18384718,1.49957112,0.00000000,0.07079596,13.28567079,NA,NA,NA,MS,2.01716792,0.36006954,NA,NA,2.00000000,0.03383911,20.56586399,roots,0.14522401,NA,20.363404686481058,NA,NA,NA,0.00047392,0.46309113,0.00287617,0.41140743,NA,NA,0.88296193,NA,361.5270519080159,0.004299674465647947,3.39338621,0.00017364,592.8780678356634,1.06471801,0.00000000,1,NA,242.11558465704002,0.00000000,1.16857735,0.03468818,1.32385043,0.10299445,-286.01781445,8.39855015
NA,142.94807281,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,3.00000000,NA,NA,phloem,NA,NA,100.86904360318634,NA,NA,NA,0.00008942,NA,NA,NA,NA,NA,6.38725998,NA,235.15292286500673,0.004084230651664214,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00000000,138.55596778,0.17908979,1.48940556,0.00000000,0.06766064,13.01150913,NA,NA,NA,MS,2.07297947,0.35074668,NA,NA,3.00000000,0.03322375,19.91931630,roots,0.14352882,NA,13.238791949781803,NA,NA,NA,0.00046103,0.45110779,0.00287636,0.26820177,NA,NA,0.57557653,NA,331.9703430592638,0.003958741936615591,3.33167731,0.00017410,572.7033520465136,1.03131297,0.00000000,1,NA,238.63376244162916,0.00000000,1.14732672,0.03478121,1.31230297,0.10257059,-147.74764762,8.29997132
NA,167.28230852,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,NA,4.00000000,NA,NA,phloem,NA,NA,114.64378714482334,NA,NA,NA,0.00010183,NA,NA,NA,NA,NA,7.27361832,NA,274.6494895767065,0.004779494529029254,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00000000,130.62451465,0.17696251,1.48150923,0.00000000,0.06555197,12.84249487,NA,NA,NA,MS,2.13126709,0.34567258,NA,NA,4.00000000,0.03270223,19.23552129,roots,0.15069652,NA,8.57654718914941,NA,NA,NA,0.00044909,0.44574940,0.00305911,0.18527611,NA,NA,0.37386003,NA,312.1453748878991,0.003732128989878085,3.27937957,0.00017456,551.5913167445736,1.05918502,0.00000000,1,NA,234.9645571852863,0.00000000,1.12931699,0.03487278,1.30125765,0.10229540,-53.89761183,8.19386673
