t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,12,1,3000000.00000000,NA,NA
1,1,MS,10,1,2999876.39811019,2999876.39811019,0.00333894
2,1,MS,10,1,2999759.17127247,2999759.17127247,0.00333894
3,1,MS,10,1,2999645.93876273,2999645.93876273,0.00333894
4,1,MS,10,1,2999534.89128129,2999534.89128129,0.00333894
5,1,MS,10,1,2999424.64542464,2999424.64542464,0.00333894
6,1,MS,10,1,2999314.38887628,2999314.38887628,0.00333894
7,1,MS,10,1,2999203.17940923,2999203.17940923,0.00333894
8,1,MS,10,1,2999090.02064517,2999090.02064517,0.00333894
9,1,MS,10,1,2998973.96091729,2998973.96091729,0.00333894
10,1,MS,10,1,2998854.14106785,2998854.14106785,0.00333894
11,1,MS,10,1,2998729.91563772,2998729.91563772,0.00333894
12,1,MS,10,1,2998600.60603551,2998600.60603551,0.00333894
13,1,MS,10,1,2998468.31970070,2998468.31970070,0.00333894
14,1,MS,10,1,2998335.19457532,2998335.19457532,0.00333894
15,1,MS,10,1,2998201.92159425,2998201.92159425,0.00333894
16,1,MS,10,1,2998069.08274831,2998069.08274831,0.00333894
17,1,MS,10,1,2997937.16165112,2997937.16165112,0.00333894
18,1,MS,10,1,2997806.51348637,2997806.51348637,0.00333894
19,1,MS,10,1,2997677.40327291,2997677.40327291,0.00333894
20,1,MS,10,1,2997550.02694691,2997550.02694691,0.00333894
21,1,MS,10,1,2997424.52637217,2997424.52637217,0.00333894
22,1,MS,10,1,2997301.00278474,2997301.00278474,0.00333894
23,1,MS,10,1,2997179.52667784,2997179.52667784,0.00333894
24,1,MS,10,1,2997060.14534256,2997060.14534256,0.00333894
25,1,MS,10,1,2996940.63836487,2996940.63836487,0.00333894
26,1,MS,10,1,2996818.74380775,2996818.74380775,0.00333894
27,1,MS,10,1,2996693.74579373,2996693.74579373,0.00333894
28,1,MS,10,1,2996564.92358892,2996564.92358892,0.00333894
29,1,MS,10,1,2996431.61204836,2996431.61204836,0.00333894
30,1,MS,10,1,2996293.07413378,2996293.07413378,0.00333894
31,1,MS,10,1,2996149.46818505,2996149.46818505,0.00333894
32,1,MS,10,1,2996000.38620825,2996000.38620825,0.00333894
33,1,MS,10,1,2995845.75189804,2995845.75189804,0.00333894
34,1,MS,10,1,2995685.56609593,2995685.56609593,0.00333894
35,1,MS,10,1,2995519.85585281,2995519.85585281,0.00333894
36,1,MS,10,1,2995348.71706430,2995348.71706430,0.00333894
37,1,MS,10,1,2995175.74467884,2995175.74467884,0.00333894
38,1,MS,10,1,2995003.99306667,2995003.99306667,0.00333894
39,1,MS,10,1,2994833.80732399,2994833.80732399,0.00333894
40,1,MS,10,1,2994665.55001727,2994665.55001727,0.00333894
41,1,MS,10,1,2994499.50129207,2994499.50129207,0.00333894
42,1,MS,10,1,2994335.86273246,2994335.86273246,0.00333894
43,1,MS,10,1,2994174.77557358,2994174.77557358,0.00333894
44,1,MS,10,1,2994016.32872058,2994016.32872058,0.00333894
45,1,MS,10,1,2993860.57426177,2993860.57426177,0.00333894
46,1,MS,10,1,2993707.53744269,2993707.53744269,0.00333894
47,1,MS,10,1,2993557.21663390,2993557.21663390,0.00333894
48,1,MS,10,1,2993409.61226231,2993409.61226231,0.00333894
49,1,MS,10,1,2993261.95875016,2993261.95875016,0.00333894
50,1,MS,10,1,2993111.46234290,2993111.46234290,0.00333894
51,1,MS,10,1,2992957.59693850,2992957.59693850,0.00333894
52,1,MS,10,1,2992799.79301297,2992799.79301297,0.00333894
53,1,MS,10,1,2992637.57418259,2992637.57418259,0.00333894
54,1,MS,10,1,2992470.72066286,2992470.72066286,0.00333894
55,1,MS,10,1,2992299.12509537,2992299.12509537,0.00333894
56,1,MS,10,1,2992122.79199477,2992122.79199477,0.00333894
57,1,MS,10,1,2991941.38067569,2991941.38067569,0.00333894
58,1,MS,10,1,2991755.05265876,2991755.05265876,0.00333894
59,1,MS,10,1,2991563.87120592,2991563.87120592,0.00333894
60,1,MS,10,1,2991368.14833908,2991368.14833908,0.00333894
61,1,MS,10,1,2991170.48069412,2991170.48069412,0.00333894
62,1,MS,10,1,2990973.99790040,2990973.99790040,0.00333894
63,1,MS,10,1,2990779.34381390,2990779.34381390,0.00333894
64,1,MS,10,1,2990587.02506138,2990587.02506138,0.00333894
65,1,MS,10,1,2990397.39277345,2990397.39277345,0.00333894
66,1,MS,10,1,2990210.68764441,2990210.68764441,0.00333894
67,1,MS,10,1,2990027.06991203,2990027.06991203,0.00333894
68,1,MS,10,1,2989846.62105132,2989846.62105132,0.00333894
69,1,MS,10,1,2989669.41220537,2989669.41220537,0.00333894
70,1,MS,10,1,2989495.42123153,2989495.42123153,0.00333894
71,1,MS,10,1,2989324.64636054,2989324.64636054,0.00333894
72,1,MS,10,1,2989157.05748300,2989157.05748300,0.00333894
73,1,MS,10,1,2988989.28477812,2988989.28477812,0.00333894
74,1,MS,10,1,2988817.97594952,2988817.97594952,0.00333894
75,1,MS,10,1,2988642.70637067,2988642.70637067,0.00333894
76,1,MS,10,1,2988462.97073252,2988462.97073252,0.00333894
77,1,MS,10,1,2988278.78787390,2988278.78787390,0.00333894
78,1,MS,10,1,2988089.81173183,2988089.81173183,0.00333894
79,1,MS,10,1,2987895.43738190,2987895.43738190,0.00333894
80,1,MS,10,1,2987695.59988210,2987695.59988210,0.00333894
81,1,MS,10,1,2987490.08578318,2987490.08578318,0.00333894
82,1,MS,10,1,2987279.45071810,2987279.45071810,0.00333894
83,1,MS,10,1,2987063.46154876,2987063.46154876,0.00333894
84,1,MS,10,1,2986842.38140319,2986842.38140319,0.00333894
85,1,MS,10,1,2986619.46031878,2986619.46031878,0.00333894
86,1,MS,10,1,2986398.41974657,2986398.41974657,0.00333894
87,1,MS,10,1,2986179.94546040,2986179.94546040,0.00333894
88,1,MS,10,1,2985964.56174984,2985964.56174984,0.00333894
89,1,MS,10,1,2985752.59988706,2985752.59988706,0.00333894
90,1,MS,10,1,2985544.24016000,2985544.24016000,0.00333894
91,1,MS,10,1,2985339.58889892,2985339.58889892,0.00333894
