t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
0,1,MS,0.00000000,False,0.00000000,10.00000000,NA,1,2883.20598615,2883.20598615,0.05442030,10,0.00000000,vegetative,0.40044528,0.00100000,0.00000000,2883.20598615
1,1,MS,0.00000000,False,0.00000000,10.00000000,0.00362447,1,2883.20598615,2883.20598615,0.05462925,10,0.00000000,vegetative,0.80089055,0.32861891,2.32467717,5766.41197231
2,1,MS,0.00000000,False,0.00000000,10.00000000,0.00362874,1,2883.20598615,2883.20598615,0.05473188,10,0.00000000,vegetative,1.20133583,0.31504722,2.30652187,8649.61795846
3,1,MS,0.00000000,False,0.00000000,10.00000000,0.00363333,1,2883.20598615,2883.20598615,0.05483314,10,0.00000000,vegetative,1.60178110,0.30742353,2.29156473,11532.82394462
4,1,MS,0.00025796,False,0.00000000,10.00000000,0.00365522,1,2883.20598615,2883.20598615,0.05493330,10,0.00000000,vegetative,2.00222638,0.30375973,2.28143580,14416.02993077
5,1,MS,0.39602544,False,0.00000000,10.00000000,0.00366017,1,2883.20598615,2883.20598615,0.05503272,10,0.00000000,vegetative,2.40267166,0.30280118,2.25791866,17299.23591693
6,1,MS,1.06820716,False,0.00000000,10.00000000,0.00366517,1,2883.20598615,2883.20598615,0.05513176,10,0.00000000,vegetative,2.80311693,0.30446942,2.23238538,20182.44190308
7,1,MS,1.72862090,False,0.00000000,10.00000000,0.00367019,1,2883.20598615,2883.20598615,0.05523086,10,0.00000000,vegetative,3.20356221,0.30878497,2.20645716,23065.64788924
8,1,MS,2.34049416,False,0.00000000,10.00000000,0.00367257,1,2883.20598615,2883.20598615,0.05533046,10,0.00000000,vegetative,3.60400748,0.31543076,2.17993934,25948.85387539
9,1,MS,2.87434890,False,0.00000000,10.00000000,0.00367565,1,2883.20598615,2883.20598615,0.05543092,10,0.00000000,vegetative,4.00445276,0.32389804,2.15389977,28832.05986155
10,1,MS,3.32055774,False,0.00000000,10.00000000,0.00368016,1,2883.20598615,2883.20598615,0.05553250,10,0.00000000,vegetative,4.40489803,0.33360045,2.13121008,31715.26584770
11,1,MS,3.68909881,False,0.00000000,10.00000000,0.00368520,1,2883.20598615,2883.20598615,0.05563531,10,0.00000000,vegetative,4.80534331,0.34499513,2.10964181,34598.47183385
12,1,MS,3.96617903,False,0.00000000,10.00000000,0.00368785,1,2883.20598615,2883.20598615,0.05573940,10,0.00000000,vegetative,5.20578859,0.35543778,2.09220698,37481.67782001
13,1,MS,3.31098983,False,0.00000000,10.00000000,0.00011271,1,2883.20598615,2883.20598615,0.05584801,10,0.00000000,vegetative,5.60623386,0.36327107,0.50969082,40364.88380616
14,1,MS,2.81881723,False,0.00000000,10.00000000,0.00011282,1,2883.20598615,2883.20598615,0.05597261,10,0.00000000,vegetative,6.00667914,0.37018757,0.50284135,43248.08979232
15,1,MS,2.35866920,False,0.00000000,10.00000000,0.00011295,1,2883.20598615,2883.20598615,0.05611315,10,0.00000000,vegetative,6.40712441,0.37499796,0.49929506,46131.29577847
16,1,MS,1.99439375,False,0.00000000,10.00000000,0.00011309,1,2883.20598615,2883.20598615,0.05625208,10,0.00000000,vegetative,6.80756969,0.37809845,0.49658961,49014.50176463
17,1,MS,1.70585824,False,0.00000000,10.00000000,0.00011322,1,2883.20598615,2883.20598615,0.05638935,10,0.00000000,vegetative,7.20801497,0.37998843,0.49441108,51897.70775078
18,1,MS,1.49771996,False,0.00000000,10.00000000,0.00011335,1,2883.20598615,2883.20598615,0.05652699,10,0.00000000,vegetative,7.60846024,0.38081642,0.49266733,54780.91373694
19,1,MS,1.32983971,False,0.00000000,10.00000000,0.00011352,1,2883.20598615,2883.20598615,0.05666495,10,0.00000000,vegetative,8.00890552,0.38099819,0.49113137,57664.11972309
20,1,MS,1.20214643,False,0.00000000,10.00000000,0.00011365,1,2883.20598615,2883.20598615,0.05680318,10,0.00000000,vegetative,8.40935079,0.38062458,0.48975211,60547.32570924
21,1,MS,1.09763977,False,0.00000000,10.00000000,0.00011377,1,2883.20598615,2883.20598615,0.05694166,10,0.00000000,vegetative,8.80979607,0.37986057,0.48845251,63430.53169540
22,1,MS,1.01641969,False,0.00000000,10.00000000,0.00011390,1,2883.20598615,2883.20598615,0.05708034,10,0.00000000,vegetative,9.21024134,0.37874805,0.48723626,66313.73768155
23,1,MS,0.95295538,False,0.00000000,10.00000000,0.00011399,1,2883.20598615,2883.20598615,0.05721921,10,0.00000000,vegetative,9.61068662,0.37737932,0.48605336,69196.94366771
24,1,MS,0.90045576,False,0.00000000,10.00000000,0.00011412,1,2883.20598615,2883.20598615,0.05735822,10,0.00000000,vegetative,10.01113190,0.37581282,0.48490311,72080.14965386
25,1,MS,1.22075191,False,0.00000000,10.00000000,0.00374550,1,2883.20598615,2883.20598615,0.05749737,10,0.00000000,vegetative,10.41157717,0.37669013,2.67425175,74963.35564002
26,1,MS,1.79466838,False,0.00000000,10.00000000,0.00374980,1,2883.20598615,2883.20598615,0.05763685,10,0.00000000,vegetative,10.81202245,0.37291140,2.31865213,77846.56162617
