N_content_mstruct,NNI,C_N_ratio_shoot,Cont_WSC_DM_laminae,Cont_WSC_DM_shoot,mstruct,dry_mass_phloem,N_content_shoot,NS_roots,C_exudated,Total_Photosynthesis,Cont_WSC_DM_stem,NS_shoot,mstruct_stem,N_content_roots,sum_NSC_g,sum_dry_mass_laminae,C_respired_roots,N_content_mstruct_roots,mstruct_shoot,Cont_WSC_DM,shoot_roots_ratio,sum_dry_mass,sum_dry_mass_shoot,sum_dry_mass_stem,plant,C_N_ratio,sum_respi_shoot,Tillers_Photosynthesis_An,sum_N_g,sum_dry_mass_roots,N_content,senesced_mstruct,N_content_total_DM_shoot,Tillers_Photosynthesis,C_respired_shoot,sum_respi_roots,axis,Total_Transpiration,t,NS_laminae,sum_N_g_shoot,shoot_roots_mstruct_ratio,N_content_mstruct_shoot,sum_C_g,NS_stem,NS,mstruct_laminae,Cont_WSC_DM_roots
3.55884260,0.96741463,9.87135490,9.793839245848211,11.098233645144878,0.05442030,0.00000000,4.25662435,17.29138215,0.00000000,0.00000000,13.740712239752021,40.42132830,0.00691281,1.22166013,0.00781875,0.02250638,1.19403084,1.47706511,0.02002803,12.460510184647914,0.80597236,0.07532485,0.03361610,0.01110972,1,16.36923318,0.00000000,0.00000000,0.00194045,0.04170875,2.57610903,0.00000000,4.25662435,0.00000000,0.09232462,0.00100000,MS,NA,0.00000000,41.72665565,0.00143091,0.58057750,7.14454390,0.03176368,37.77695969,27.61385314,0.01311522,13.558467423980886
3.56123976,0.95983502,9.95332434,10.213776334250051,11.014651295298648,0.05462925,0.00355641,4.22327407,19.74188326,0.00000000,48.51514006,12.658376208786907,40.07774187,0.00692059,1.23743938,0.00826072,0.02248227,1.52129008,1.54182460,0.02003581,13.608397447086867,0.77573614,0.07653907,0.03343634,0.01095407,1,16.60135837,2.32467717,48.46457660,0.00194548,0.04310272,2.54181103,0.00000000,4.22327407,48.51514006,2.41760546,0.32861891,MS,0.00362447,1.00000000,41.66415275,0.00141211,0.57917956,7.04792210,0.03229758,36.82177408,28.62566959,0.01311522,15.620460070345707
3.56339843,0.94518889,10.10497785,12.22507257649194,12.829276052784019,0.05473188,0.00498784,4.15883112,20.28491820,0.00000000,48.54455184,14.069828343465993,41.46649879,0.00692833,1.20925521,0.00875050,0.02302747,1.48551366,1.51697168,0.02004355,14.732912799420694,0.78691365,0.07775827,0.03424286,0.01121539,1,16.83447330,2.30652187,48.49386506,0.00195032,0.04351540,2.50817726,0.00000000,4.15883112,48.54455184,2.39887609,0.31504722,MS,0.00362874,2.00000000,43.04532987,0.00142410,0.57781802,7.10504418,0.03283253,38.22483835,29.61277513,0.01311522,16.230910537415635
3.56545739,0.93172203,10.24869165,13.939869772194186,14.486028176877245,0.05483314,0.00615600,4.09957692,20.89685468,0.00000000,48.58728776,15.603787637308997,42.73121588,0.00693618,1.18188473,0.00924191,0.02352032,1.45942068,1.49410586,0.02005140,15.834320367564825,0.79628609,0.07898290,0.03501279,0.01149247,1,17.06782642,2.29156473,48.53713013,0.00195505,0.04397011,2.47528544,0.00000000,4.09957692,48.58728776,2.38530652,0.30742353,MS,0.00363333,3.00000000,44.23876004,0.00143538,0.57649207,7.15848430,0.03336849,39.64589898,30.57593543,0.01311522,16.907946685029
3.56751930,0.91955928,10.38205940,15.42326381670379,15.990722556569152,0.05493330,0.00719202,4.04606084,21.58454767,0.00025796,48.84320242,17.145349265628656,43.88216110,0.00694406,1.15461036,0.00973723,0.02396632,1.44182475,1.47242708,0.02005928,16.91762344664714,0.80373727,0.08021833,0.03574493,0.01177861,1,17.30209334,2.28143580,48.78981841,0.00195976,0.04447340,2.44302778,0.00000000,4.04606084,48.84320242,2.37554435,0.30375973,MS,0.00365522,4.00000000,45.27645046,0.00144626,0.57519274,7.20993701,0.03390788,41.04515530,31.52026461,0.01311522,17.662608237530737
3.56963855,0.90853939,10.50599316,16.731250777931475,17.35141054161636,0.05503272,0.00812780,3.99757332,22.32226428,0.39602544,48.89187249,18.604565150935258,44.92223482,0.00695195,1.12851097,0.01022914,0.02437271,1.43170269,1.45281136,0.02006717,17.96594293564086,0.80940513,0.08144785,0.03643425,0.01206154,1,17.53325477,2.25791866,48.83949899,0.00196447,0.04501361,2.41193487,0.00000000,3.99757332,48.89187249,2.35205870,0.30280118,MS,0.00366017,5.00000000,46.18890280,0.00145649,0.57391253,7.25805287,0.03444354,42.36268339,32.43195824,0.01311522,18.463348608562395
3.57185952,0.89875650,10.61851937,17.89160095978931,18.56684438556144,0.05513176,0.00897292,3.95452861,23.10135311,1.06820716,48.94266426,19.92184537990062,45.85333090,0.00695982,1.10352108,0.01071413,0.02474435,1.42888190,1.43503315,0.02007504,18.972541549489716,0.81326515,0.08266352,0.03707531,0.01233096,1,17.75928622,2.23238538,48.89138772,0.00196923,0.04558821,2.38222269,0.00000000,3.95452861,48.94266426,2.32639962,0.30446942,MS,0.00366517,6.00000000,46.99710585,0.00146615,0.57264465,7.30336450,0.03497210,43.55813463,33.30581250,0.01311522,19.302480913083205
3.57421969,0.89024689,10.71829030,18.92423727672479,19.645298446014,0.05523086,0.00974052,3.91708630,23.91709185,1.72862090,48.99516654,21.082799481907937,46.68527036,0.00696768,1.07920949,0.01119207,0.02508550,1.43407391,1.41846508,0.02008290,19.939077792954055,0.81539160,0.08386550,0.03766858,0.01258307,1,17.97991273,2.20645716,48.94504721,0.00197407,0.04619692,2.35385508,0.00000000,3.91708630,48.99516654,2.30026997,0.30878497,MS,0.00367019,7.00000000,47.71793033,0.00147551,0.57138171,7.34709962,0.03549365,44.62656876,34.14352534,0.01311522,20.17862300372365
3.57675945,0.88289337,10.80590974,19.846534688201622,20.60264643875116,0.05533046,0.01044261,3.88473081,24.76143825,2.34049416,49.04128029,22.100880784641447,47.43057219,0.00697552,1.05554512,0.01166319,0.02539931,1.44708953,1.40293101,0.02009074,20.867914716245224,0.81596358,0.08505484,0.03821754,0.01281823,1,18.19500195,2.17993934,48.99228394,0.00197904,0.04683731,2.32677793,0.00000000,3.88473081,49.04128029,2.27351899,0.31543076,MS,0.00367257,8.00000000,48.36385991,0.00148465,0.57011641,7.38971485,0.03600859,45.58126390,34.94731858,0.01311522,21.08436397016197
3.57952867,0.87652063,10.88288291,20.676382711058398,21.458071544535795,0.05543092,0.01109038,3.85669078,25.62409896,2.87434890,49.07083623,22.9982074494955,48.10322412,0.00698334,1.03262189,0.01212797,0.02568941,1.46650550,1.38838236,0.02009856,21.761585226805547,0.81523747,0.08623307,0.03872795,0.01303854,1,18.40449970,2.15389977,49.02373941,0.00198417,0.04750512,2.30093351,0.00000000,3.85669078,49.07083623,2.24723611,0.32389804,MS,0.00367565,9.00000000,48.94697617,0.00149362,0.56884281,7.43146508,0.03651758,46.44080709,35.71965142,0.01311522,22.009020952817046
