N_tot,S_Proteins,Proteins_N_Mass,mstruct,R_residual,Total_Organic_Nitrogen,S_grain_structure,proteins,Unloading_Amino_Acids,Conc_Amino_Acids,RGR_Structure,Conc_Sucrose,Respi_growth,S_cytokinins,S_grain_starch,synthetized_mstruct,age_from_flowering,Export_Amino_Acids,WSC_g,nitrates,plant,Conc_cytokinins,starch,amino_acids,S_Amino_Acids,organ,N_exudation,senesced_mstruct,regul_transpiration,sucrose,HATS_LATS,AA_consumption_mstruct,axis,Export_Nitrates,t,R_Nnit_upt,Export_cytokinins,R_grain_growth_starch,R_grain_growth_struct,R_Nnit_red,Conc_Nitrates,sum_respi,Uptake_Nitrates,Dry_Mass,sucrose_consumption_mstruct,Unloading_Sucrose,Nstruct,structure,cytokinins,C_exudation
0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,1,NA,NA,0.00000000,NA,phloem,NA,NA,NA,0.00000000,NA,NA,MS,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00050954,NA,NA,0.03449673,0.09514644,14.49031944,NA,NA,NA,49.99862574006066,NA,478.1307077251103,1.19303084,NA,NA,NA,NA,NA,0.005655067541246046,21.90533730,1,249.29897541245967,NA,2.15598651,NA,roots,NA,0.00000000,NA,197.92736394,NA,0.03454722,MS,NA,0.00000000,NA,NA,NA,NA,NA,634.9974587156204,NA,NA,NA,3.46439572,NA,0.00017268,NA,8.60000000,NA
0.00008161,NA,NA,NA,NA,NA,NA,NA,NA,85.36966017430207,NA,157.60019963745964,NA,NA,NA,NA,NA,NA,0.0029518560309586745,NA,1,NA,NA,5.82960022,NA,phloem,NA,NA,NA,103.31496108,NA,NA,MS,NA,1.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00048169,NA,NA,0.03459344,0.07486873,13.58773861,NA,NA,0.00000000,28.187287036600566,NA,410.0641944210767,1.19267117,1.33408137,NA,NA,NA,0.71567635,0.004863610003753398,20.81858800,1,244.56867544870124,NA,1.21886886,1.51305301,roots,0.00000000,0.00000000,0.00362447,170.22635013,1.42583517,0.03453681,MS,1.35821475,1.00000000,0.14019737,0.18435638,NA,NA,0.10363657,601.8074765646986,0.32367590,0.35314198,NA,3.46335130,-474.18928937,0.00017316,NA,8.46047065,0.00000000
0.00010379,NA,NA,NA,NA,NA,NA,NA,NA,108.36019425659451,NA,224.8329059873818,NA,NA,NA,NA,NA,NA,0.004219038420184083,NA,1,NA,NA,7.41344710,NA,phloem,NA,NA,NA,147.66634471,NA,NA,MS,NA,2.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00046043,NA,NA,0.03468834,0.07021171,13.10153009,NA,NA,0.00000000,16.115307183501958,NA,369.0340846025775,1.17046644,1.32144440,NA,NA,NA,0.41077449,0.004388975675477231,19.78651628,1,239.9490161745691,NA,0.69876653,1.50155409,roots,0.00000000,0.00000000,0.00362874,153.61414864,1.47736547,0.03389382,MS,1.29240373,2.00000000,0.13636146,0.18158409,NA,NA,0.10313110,570.4083110817473,0.31230989,0.34347976,NA,3.39887184,-244.19059393,0.00017364,NA,8.32343257,0.00000000
0.00012046,NA,NA,NA,NA,NA,NA,NA,NA,125.5379828891426,NA,279.98375472076856,NA,NA,NA,NA,NA,NA,0.005263676257182359,NA,1,NA,NA,8.60455261,NA,phloem,NA,NA,NA,184.22866900,NA,NA,MS,NA,3.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00044326,NA,NA,0.03478174,0.06747789,12.84834734,NA,NA,0.00000000,9.481405868435417,NA,343.44081707839774,1.15199715,1.30951160,NA,NA,NA,0.24263526,0.004095589813321555,18.81333412,1,235.43639983866936,NA,0.41222478,1.49297645,roots,0.00000000,0.00000000,0.00363333,143.34564347,1.52560203,0.03335899,MS,1.23039080,3.00000000,0.13466695,0.17887462,NA,NA,0.10281808,540.8968158849461,0.30629260,0.33921145,NA,3.34523959,-100.18531793,0.00017411,NA,8.18888839,0.00000000
0.00013382,NA,NA,NA,NA,NA,NA,NA,NA,139.20300514898673,NA,329.22738315652947,NA,NA,NA,NA,NA,NA,0.0062007589446629605,NA,1,NA,NA,9.55860072,NA,phloem,NA,NA,NA,217.02656306,NA,NA,MS,NA,4.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00042854,NA,NA,0.03487402,0.06588689,12.71878303,NA,NA,0.09970710,5.7281593801423005,NA,327.7342126019971,1.13806502,1.29880116,NA,NA,NA,0.14786183,0.003918654534294209,17.89118506,1,230.9986650039227,NA,0.24970492,1.48695099,roots,0.00082432,0.00000000,0.00365522,137.15290870,1.57101965,0.03295555,MS,1.17713308,4.00000000,0.13461535,0.17702899,NA,NA,0.10267479,513.0233257694485,0.30384821,0.33908148,NA,3.30478264,2.26383452,0.00017457,NA,8.05585176,0.45276690
0.00014391,NA,NA,NA,NA,NA,NA,NA,NA,149.42305459198627,NA,374.268658593333,NA,NA,NA,NA,NA,NA,0.007061836111330172,NA,1,NA,NA,10.27894626,NA,phloem,NA,NA,NA,247.16426390,NA,NA,MS,NA,5.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00041655,NA,NA,0.03496555,0.06539575,12.72701424,NA,NA,3.96857212,5.153550866722756,NA,318.99863274912923,1.12890150,1.28964859,NA,NA,NA,0.13355901,0.003824215900414295,17.02669714,1,226.6573425692334,NA,0.22524593,1.48316919,roots,0.03211795,0.00000000,0.00366017,133.84755651,1.61346047,0.03269020,MS,1.12177084,5.00000000,0.13586968,0.17439353,NA,NA,0.10268246,486.95634790436617,0.30390560,0.34224102,NA,3.27817305,95.42701979,0.00017502,NA,7.92519893,19.08540396
