t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,12,1,300000.00000000,NA,NA
1,1,MS,10,1,299910.21613403,299910.21613403,0.00333894
2,1,MS,10,1,299823.84995260,299823.84995260,0.00333894
3,1,MS,10,1,299739.26037576,299739.26037576,0.00333894
4,1,MS,10,1,299655.26743269,299655.26743269,0.00333894
5,1,MS,10,1,299570.95005757,299570.95005757,0.00333894
6,1,MS,10,1,299485.44054337,299485.44054337,0.00333894
7,1,MS,10,1,299397.78187130,299397.78187130,0.00333894
8,1,MS,10,1,299306.99886753,299306.99886753,0.00333894
9,1,MS,10,1,299212.25450579,299212.25450579,0.00333894
10,1,MS,10,1,299112.92901443,299112.92901443,0.00333894
11,1,MS,10,1,299008.11626474,299008.11626474,0.00333894
12,1,MS,10,1,298898.23355689,298898.23355689,0.00333894
13,1,MS,10,1,298784.75175652,298784.75175652,0.00333894
14,1,MS,10,1,298669.49677496,298669.49677496,0.00333894
15,1,MS,10,1,298553.29687500,298553.29687500,0.00333894
16,1,MS,10,1,298436.79823597,298436.79823597,0.00333894
17,1,MS,10,1,298320.44521174,298320.44521174,0.00333894
18,1,MS,10,1,298204.62424500,298204.62424500,0.00333894
19,1,MS,10,1,298089.56217064,298089.56217064,0.00333894
20,1,MS,10,1,297975.44974442,297975.44974442,0.00333894
21,1,MS,10,1,297862.41805847,297862.41805847,0.00333894
22,1,MS,10,1,297750.58263064,297750.58263064,0.00333894
23,1,MS,10,1,297640.02215094,297640.02215094,0.00333894
24,1,MS,10,1,297530.79745828,297530.79745828,0.00333894
25,1,MS,10,1,297421.34348529,297421.34348529,0.00333894
26,1,MS,10,1,297309.71795001,297309.71795001,0.00333894
27,1,MS,10,1,297195.18265026,297195.18265026,0.00333894
28,1,MS,10,1,297077.01403485,297077.01403485,0.00333894
29,1,MS,10,1,296954.77235128,296954.77235128,0.00333894
30,1,MS,10,1,296827.82563496,296827.82563496,0.00333894
31,1,MS,10,1,296695.93564612,296695.93564612,0.00333894
32,1,MS,10,1,296559.64406951,296559.64406951,0.00333894
33,1,MS,10,1,296418.18197282,296418.18197282,0.00333894
34,1,MS,10,1,296272.38383028,296272.38383028,0.00333894
35,1,MS,10,1,296121.75954408,296121.75954408,0.00333894
36,1,MS,10,1,295966.57004695,295966.57004695,0.00333894
37,1,MS,10,1,295808.98281180,295808.98281180,0.00333894
38,1,MS,10,1,295650.92037197,295650.92037197,0.00333894
39,1,MS,10,1,295493.11345588,295493.11345588,0.00333894
40,1,MS,10,1,295336.08636300,295336.08636300,0.00333894
41,1,MS,10,1,295180.19446581,295180.19446581,0.00333894
42,1,MS,10,1,295025.67919742,295025.67919742,0.00333894
43,1,MS,10,1,294872.70128934,294872.70128934,0.00333894
44,1,MS,10,1,294721.37868757,294721.37868757,0.00333894
45,1,MS,10,1,294571.80388908,294571.80388908,0.00333894
46,1,MS,10,1,294423.98772328,294423.98772328,0.00333894
47,1,MS,10,1,294277.96349584,294277.96349584,0.00333894
48,1,MS,10,1,294133.74597856,294133.74597856,0.00333894
49,1,MS,10,1,293989.28175663,293989.28175663,0.00333894
50,1,MS,10,1,293842.21698659,293842.21698659,0.00333894
51,1,MS,10,1,293691.88563001,293691.88563001,0.00333894
52,1,MS,10,1,293537.76935817,293537.76935817,0.00333894
53,1,MS,10,1,293379.55449061,293379.55449061,0.00333894
54,1,MS,10,1,293216.71897224,293216.71897224,0.00333894
55,1,MS,10,1,293049.92198387,293049.92198387,0.00333894
56,1,MS,10,1,292878.82501382,292878.82501382,0.00333894
57,1,MS,10,1,292703.47033757,292703.47033757,0.00333894
58,1,MS,10,1,292523.85814203,292523.85814203,0.00333894
59,1,MS,10,1,292340.41149526,292340.41149526,0.00333894
60,1,MS,10,1,292153.13663506,292153.13663506,0.00333894
61,1,MS,10,1,291963.95787291,291963.95787291,0.00333894
62,1,MS,10,1,291775.31551707,291775.31551707,0.00333894
63,1,MS,10,1,291587.83106129,291587.83106129,0.00333894
