t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
0,1,MS,0.00000000,False,0.00000000,5.84000000,NA,1,1670.85866047,1670.85866047,0.05410729,10,0.00000000,vegetative,0.23206370,0.00100000,0.00000000,1670.85866047
1,1,MS,0.00000000,False,0.00000000,6.26400000,0.00083845,1,1792.16757692,1792.16757692,0.05450322,10,0.00000000,vegetative,0.48097587,0.25135846,0.77328621,3463.02623739
2,1,MS,0.00000000,False,0.00000000,5.41500000,0.00052996,1,1549.26363809,1549.26363809,0.05455915,10,0.00000000,vegetative,0.69615137,0.22601613,0.61003996,5012.28987548
3,1,MS,0.00000000,False,0.00000000,6.22300000,0.00016903,1,1780.43723358,1780.43723358,0.05462277,10,0.00000000,vegetative,0.94343432,0.23430132,0.40336375,6792.72710906
4,1,MS,0.00000000,False,0.00000000,5.95700000,0.00002727,1,1704.33305487,1704.33305487,0.05468307,10,0.00000000,vegetative,1.18014724,0.22400487,0.32153027,8497.06016393
5,1,MS,0.00000000,False,0.00000000,5.73300000,0.00000935,1,1640.24532543,1640.24532543,0.05474058,10,0.00000000,vegetative,1.40795910,0.21567883,0.30534782,10137.30548935
6,1,MS,0.00000000,False,0.00000000,5.59000000,0.00000628,1,1599.33217672,1599.33217672,0.05479617,10,0.00000000,vegetative,1.63008856,0.20966417,0.30524439,11736.63766607
7,1,MS,0.00000000,False,0.00000000,5.51100000,0.00000319,1,1576.72980785,1576.72980785,0.05485054,10,0.00000000,vegetative,1.84907882,0.20514771,0.30819992,13313.36747392
8,1,MS,0.00000000,False,0.00000000,5.48000000,0.00000319,1,1567.86052387,1567.86052387,0.05490417,10,0.00000000,vegetative,2.06683722,0.20183962,0.30756883,14881.22799779
9,1,MS,0.00000000,False,0.00000000,5.45500000,0.00000330,1,1560.70787549,1560.70787549,0.05495717,10,0.00000000,vegetative,2.28360220,0.19893322,0.31746333,16441.93587328
10,1,MS,0.00000000,False,0.00000000,5.45000000,0.00000337,1,1559.27734582,1559.27734582,0.05500972,10,0.00000000,vegetative,2.50016850,0.19652032,0.32352441,18001.21321910
11,1,MS,0.00000000,False,0.00000000,5.46600000,0.00000331,1,1563.85504078,1563.85504078,0.05506759,10,0.00000000,vegetative,2.71737059,0.19461732,0.31694452,19565.06825988
12,1,MS,0.00000000,False,0.00000000,5.44500000,0.00000696,1,1557.84681614,1557.84681614,0.05513250,10,0.00000000,vegetative,2.93373821,0.19224626,0.31439112,21122.91507602
13,1,MS,0.00000000,False,0.00000000,5.38500000,0.00001413,1,1540.68046004,1540.68046004,0.05519633,10,0.00000000,vegetative,3.14772160,0.18944423,0.31778847,22663.59553606
14,1,MS,0.01781996,False,0.00000000,5.34600000,0.00001414,1,1529.52232858,1529.52232858,0.05525932,10,0.00000000,vegetative,3.36015526,0.18705256,0.31715972,24193.11786463
15,1,MS,0.04531987,False,0.00000000,5.34700000,0.00001475,1,1529.80843451,1529.80843451,0.05532195,10,0.00000000,vegetative,3.57262865,0.18536298,0.32920981,25722.92629914
16,1,MS,0.07026318,False,0.00000000,5.40100000,0.00001898,1,1545.25815500,1545.25815500,0.05538484,10,0.00000000,vegetative,3.78724784,0.18452151,0.33712814,27268.18445415
17,1,MS,0.09291174,False,0.00000000,5.48900000,0.00001939,1,1570.43547728,1570.43547728,0.05544836,10,0.00000000,vegetative,4.00536388,0.18421289,0.34310831,28838.61993143
18,1,MS,0.11414660,False,0.00000000,5.60000000,0.00002392,1,1602.19323607,1602.19323607,0.05551275,10,0.00000000,vegetative,4.22789072,0.18426603,0.35133323,30440.81316750
19,1,MS,0.13361754,False,0.00000000,5.71200000,0.00002460,1,1634.23710079,1634.23710079,0.05557800,10,0.00000000,vegetative,4.45486809,0.18433834,0.35984490,32075.05026829
20,1,MS,0.15188784,False,0.00000000,5.84000000,0.00002971,1,1670.85866047,1670.85866047,0.05564426,10,0.00000000,vegetative,4.68693180,0.18464960,0.37074654,33745.90892876
21,1,MS,0.16848335,False,0.00000000,6.00100000,0.00003017,1,1716.92171601,1716.92171601,0.05571185,10,0.00000000,vegetative,4.92539315,0.18543406,0.47155254,35462.83064477
22,1,MS,0.19415991,False,0.00000000,6.20300000,0.00005131,1,1774.71511488,1774.71511488,0.05578120,10,0.00000000,vegetative,5.17188136,0.18682627,0.41555372,37237.54575965
