t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA
0,1,MS,roots,0.02002061,NA,NA,NA,NA,NA,NA,0.00017248,NA,NA,NA,NA,NA,NA,NA,0.69137825,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,2.17051312,8.60000000,0.00005606,0.03445606,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,199.88574592,2.00766633,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02439204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.73540256,NA,NA
1,1,MS,roots,0.02147097,0.00000000,0.25971129,0.32926709,0.04330337,1.07595041,0.00000000,0.00017278,NA,0.07588902,0.10816838,NA,NA,NA,0.06221554,0.74146433,1.11042972,NA,0.98153659,NA,NA,14.25331953,0.00000000,-453.52931841,0.27246443,NA,1.91204223,8.59061743,0.00006012,0.03451618,21.81712328,NA,0.00000000,0.00083845,0.00000000,NA,NA,176.44059145,2.15310934,0.24627294
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.70697126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.42526253,NA,NA
2,1,MS,roots,0.01827977,0.00000000,0.15215392,0.20814152,0.02738384,1.00357444,0.00000000,0.00017303,NA,0.07029164,0.09571879,NA,NA,NA,0.05640165,0.63126149,1.02700433,NA,0.90957538,NA,NA,14.13180709,0.00000000,-284.73548134,0.24110526,NA,1.77225003,8.59473076,0.00005118,0.03456736,21.81941314,NA,0.00000000,0.00052996,0.00000000,NA,NA,161.59069295,1.83309563,0.22241208
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05280280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.83149156,NA,NA
3,1,MS,roots,0.02073443,0.00000000,0.04769158,0.06683273,0.00875937,1.07263527,0.00000000,0.00017332,NA,0.07503188,0.09800202,NA,NA,NA,0.05802354,0.71602901,1.09442401,NA,0.97075198,NA,NA,14.12194429,0.00000000,-184.61396508,0.24685648,NA,1.74165279,8.61963642,0.00005806,0.03462542,21.96603223,NA,0.00000000,0.00016903,0.00000000,NA,NA,150.81632321,2.07924871,0.23105744
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22283565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.33625970,NA,NA
4,1,MS,roots,0.01961949,0.00000000,0.00773584,0.01087262,0.00141810,1.04487433,0.00000000,0.00017360,NA,0.07315654,0.09211839,NA,NA,NA,0.05600876,0.67752635,1.06537982,NA,0.94594808,NA,NA,14.15126986,0.00000000,-129.97714691,0.23203626,NA,1.75135887,8.65105794,0.00005493,0.03468035,22.15360155,NA,0.00000000,0.00002727,0.00000000,NA,NA,142.64713628,1.96744235,0.22128369
