t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,NA,12.00000000,NA,428571.00000000,1
1,1,MS,428500.95540162,6.26400000,0.00244379,428500.95540162,1
2,1,MS,428439.45501195,5.41500000,0.00227375,428439.45501195,1
3,1,MS,428376.65854697,6.22300000,0.00243531,428376.65854697,1
4,1,MS,428317.81204016,5.95700000,0.00238100,428317.81204016,1
5,1,MS,428262.20636093,5.73300000,0.00233613,428262.20636093,1
6,1,MS,428209.02520138,5.59000000,0.00230788,428209.02520138,1
7,1,MS,428157.77297172,5.51100000,0.00229242,428157.77297172,1
8,1,MS,428108.03477607,5.48000000,0.00228637,428108.03477607,1
9,1,MS,428059.63206647,5.45500000,0.00228151,428059.63206647,1
10,1,MS,428012.39440751,5.45000000,0.00228054,428012.39440751,1
11,1,MS,427966.14729316,5.46600000,0.00228365,427966.14729316,1
12,1,MS,427920.97971541,5.44500000,0.00227957,427920.97971541,1
13,1,MS,427876.95117314,5.38500000,0.00226794,427876.95117314,1
14,1,MS,427833.93343094,5.34600000,0.00226041,427833.93343094,1
15,1,MS,427791.73115914,5.34700000,0.00226061,427791.73115914,1
16,1,MS,427750.12748945,5.40100000,0.00227104,427750.12748945,1
17,1,MS,427708.98787036,5.48900000,0.00228812,427708.98787036,1
18,1,MS,427668.22214182,5.60000000,0.00230985,427668.22214182,1
19,1,MS,427627.82453047,5.71200000,0.00233196,427627.82453047,1
20,1,MS,427587.73985758,5.84000000,0.00235746,427587.73985758,1
21,1,MS,427547.86216841,6.00100000,0.00238991,427547.86216841,1
22,1,MS,427508.05532854,6.20300000,0.00243119,427508.05532854,1
23,1,MS,427468.22436251,6.43300000,0.00247899,427468.22436251,1
24,1,MS,427428.49139580,6.62600000,0.00251976,427428.49139580,1
25,1,MS,427389.01005561,6.77300000,0.00255122,427389.01005561,1
26,1,MS,427349.70525974,6.93100000,0.00258544,427349.70525974,1
27,1,MS,427310.38587102,7.14000000,0.00263135,427310.38587102,1
28,1,MS,427271.22782528,7.30500000,0.00266811,427271.22782528,1
29,1,MS,427232.36786427,7.42500000,0.00269514,427232.36786427,1
30,1,MS,427193.95307020,7.50000000,0.00271217,427193.95307020,1
31,1,MS,427156.00375064,7.57000000,0.00272814,427156.00375064,1
32,1,MS,427118.84720228,7.53500000,0.00272014,427118.84720228,1
33,1,MS,427082.20212095,7.59000000,0.00273272,427082.20212095,1
34,1,MS,427046.43818769,7.52000000,0.00271672,427046.43818769,1
35,1,MS,427011.76738580,7.36500000,0.00268160,427011.76738580,1
36,1,MS,426977.56435173,7.43000000,0.00269628,426977.56435173,1
37,1,MS,426943.73763458,7.53000000,0.00271900,426943.73763458,1
38,1,MS,426910.71963382,7.46500000,0.00270421,426910.71963382,1
39,1,MS,426879.13191509,7.16000000,0.00263578,426879.13191509,1
40,1,MS,426848.48454330,7.01500000,0.00260380,426848.48454330,1
41,1,MS,426818.33911704,7.03500000,0.00260819,426818.33911704,1
42,1,MS,426788.84614650,6.99600000,0.00259964,426788.84614650,1
43,1,MS,426760.07418927,6.92800000,0.00258479,426760.07418927,1
44,1,MS,426732.31393167,6.72700000,0.00254134,426732.31393167,1
45,1,MS,426705.74859361,6.38100000,0.00246811,426705.74859361,1
46,1,MS,426679.65998958,6.25000000,0.00244089,426679.65998958,1
47,1,MS,426653.10096924,6.45200000,0.00248298,426653.10096924,1
48,1,MS,426625.52370562,6.75600000,0.00254757,426625.52370562,1
49,1,MS,426596.48423373,7.07500000,0.00261699,426596.48423373,1
50,1,MS,426566.20391989,7.19500000,0.00264355,426566.20391989,1
51,1,MS,426534.95154411,7.13500000,0.00263024,426534.95154411,1
52,1,MS,426502.98384236,7.03800000,0.00260885,426502.98384236,1
53,1,MS,426470.96360526,6.73600000,0.00254327,426470.96360526,1
54,1,MS,426439.23845094,6.37100000,0.00246602,426439.23845094,1
55,1,MS,426407.63805562,6.14300000,0.00241886,426407.63805562,1
56,1,MS,426376.26038655,5.92200000,0.00237394,426376.26038655,1
57,1,MS,426344.95493770,5.79200000,0.00234787,426344.95493770,1
58,1,MS,426313.68148137,5.71100000,0.00233176,426313.68148137,1
59,1,MS,426282.38875543,5.68600000,0.00232681,426282.38875543,1
60,1,MS,426251.11885650,5.67500000,0.00232463,426251.11885650,1
61,1,MS,426220.05286185,5.62100000,0.00231398,426220.05286185,1
62,1,MS,426189.31840166,5.53500000,0.00229710,426189.31840166,1
63,1,MS,426158.98681700,5.43300000,0.00227724,426158.98681700,1
64,1,MS,426129.02958889,5.35100000,0.00226138,426129.02958889,1
65,1,MS,426099.39633762,5.29800000,0.00225118,426099.39633762,1
66,1,MS,426070.10198219,5.24600000,0.00224122,426070.10198219,1
67,1,MS,426041.21103853,5.17400000,0.00222749,426041.21103853,1
68,1,MS,426012.77164030,5.08700000,0.00221100,426012.77164030,1
69,1,MS,425984.78611645,4.99800000,0.00219425,425984.78611645,1
70,1,MS,425957.14573572,4.94800000,0.00218490,425957.14573572,1
71,1,MS,425929.64985167,4.96700000,0.00218845,425929.64985167,1
72,1,MS,425901.96447652,5.11400000,0.00221611,425901.96447652,1
73,1,MS,425873.85919380,5.32800000,0.00225695,425873.85919380,1
74,1,MS,425845.50466943,5.43500000,0.00227762,425845.50466943,1
75,1,MS,425817.06266748,5.44200000,0.00227898,425817.06266748,1
76,1,MS,425788.90237811,5.25600000,0.00224313,425788.90237811,1
77,1,MS,425761.46675248,4.89800000,0.00217557,425761.46675248,1
78,1,MS,425735.01585931,4.39500000,0.00208380,425735.01585931,1
