axis,sum_N_g_shoot,Cont_WSC_DM_stem,sum_N_g,N_content_shoot,senesced_mstruct,C_N_ratio,Tillers_Photosynthesis_An,plant,N_content,NNI,NS_roots,mstruct_stem,Cont_WSC_DM_laminae,N_content_mstruct,N_content_total_DM_shoot,sum_dry_mass_roots,C_N_ratio_shoot,mstruct_shoot,sum_C_g,sum_NSC_g,NS_laminae,Tillers_Photosynthesis,NS_stem,C_exudated,sum_dry_mass,Cont_WSC_DM_roots,NS,Cont_WSC_DM,sum_respi_shoot,sum_dry_mass_laminae,shoot_roots_ratio,N_content_roots,dry_mass_phloem,shoot_roots_mstruct_ratio,N_content_mstruct_roots,t,C_respired_shoot,Total_Transpiration,sum_respi_roots,Total_Photosynthesis,NS_shoot,sum_dry_mass_shoot,mstruct,sum_dry_mass_stem,N_content_mstruct_shoot,mstruct_laminae,Cont_WSC_DM_shoot,C_respired_roots
MS,0.00139384,14.826960353860654,0.00190338,4.21361685,0.00000000,16.57506313,27.72347251,1,2.54445715,0.95764019,17.42213602,0.00659749,9.793839245848211,3.51379835,4.21361685,0.04172554,9.97518833,0.01971272,0.03154867,0.00774146,41.72665565,0.00000000,37.60109029,0.00000000,0.07480501,13.687112589452136,27.58670539,12.676862363639016,0.00000000,0.02250638,0.79278722,1.22116867,0.00000000,0.57211174,1.47880875,0.00000000,0.04695255,NA,0.00100000,0.00000000,40.40801369,0.03307947,0.05410729,0.01057309,7.07077765,0.01311522,11.402560507586356,0.69237825
MS,0.00140163,12.691465225262666,0.00195117,4.23102165,0.00000000,16.47476767,28.52072289,1,2.55933705,0.96159583,19.93396073,0.00687182,9.514678484496176,3.57991091,4.23102165,0.04310963,9.93664295,0.01998704,0.03214502,0.00816360,41.00637546,28.46954946,36.93242917,0.00000000,0.07623719,15.628061031629334,28.50835912,13.425628524178881,0.77328621,0.02223159,0.76844907,1.27473257,0.00319920,0.57906307,1.59210145,1.00000000,0.83993437,0.00083845,0.25135846,28.46954946,39.66641594,0.03312756,0.05450322,0.01089597,7.01271392,0.01311522,10.559553736263256,0.99282278
MS,0.00140067,13.525474646883357,0.00195461,4.18135788,0.00000000,16.57526566,22.70714087,1,2.54375340,0.95030861,20.24439278,0.00687657,10.589145308525435,3.58255341,4.18135788,0.04334160,10.05484200,0.01999179,0.03239819,0.00839217,41.61783073,22.64775785,37.67607969,0.00000000,0.07683964,15.890841862783056,28.99607902,14.001216724488689,0.61003996,0.02246443,0.77288398,1.27807513,0.00417541,0.57834312,1.60248937,2.00000000,0.66676392,0.00052996,0.22601613,22.64775785,40.31949432,0.03349803,0.05455915,0.01103360,7.00623735,0.01311522,11.556315295854027,0.85727762
MS,0.00139918,14.216245256374854,0.00195813,4.15412054,0.00000000,16.61168957,12.27641550,1,2.53791837,0.94411830,20.35216036,0.00688214,10.986966862825986,3.58481905,4.15412054,0.04347314,10.12113619,0.01999736,0.03252781,0.00849379,41.80285865,12.24439134,38.25398279,0.00000000,0.07715487,15.945814327332073,29.20372464,14.247549315758864,0.40336375,0.02253585,0.77477105,1.28573171,0.00476574,0.57753406,1.61427067,3.00000000,0.46977075,0.00016903,0.23430132,12.24439134,40.62847299,0.03368173,0.05462277,0.01114588,6.99682280,0.01311522,12.055592077360902,0.95033033
MS,0.00139790,14.622777873092291,0.00196142,4.15053260,0.00000000,16.58946533,2.00410351,1,2.54102713,0.94330286,20.29352537,0.00688750,10.786082463872413,3.58689261,4.15053260,0.04351008,10.13025740,0.02000272,0.03253896,0.00847841,41.61069436,2.23660791,38.60533979,0.00000000,0.07719017,15.836223595914955,29.15798143,14.19031972366592,0.32153027,0.02246168,0.77407554,1.29514831,0.00508351,0.57677395,1.62489724,4.00000000,0.38558476,0.00002727,0.22400487,2.23660791,40.60964933,0.03368009,0.05468307,0.01121841,6.98856389,0.01311522,12.064036462152758,0.90153122
MS,0.00139729,14.863761947306678,0.00196454,4.15043587,0.00000000,16.55555220,0.00000000,1,2.54594815,0.94328088,20.14962965,0.00689269,10.599216878570966,3.58881335,4.15043587,0.04349719,10.13065382,0.02000791,0.03252400,0.00843814,41.44364356,0.00000000,38.83217813,0.00000000,0.07716328,15.64995158637318,29.05877513,14.069102265929786,0.30534782,0.02239760,0.77398302,1.30410190,0.00525339,0.57605441,1.63318203,5.00000000,0.36724693,0.00000935,0.21567883,0.00000000,40.56955157,0.03366609,0.05474058,0.01126848,6.98368594,0.01311522,12.026616468740968,0.86095290
MS,0.00139710,15.038028013221219,0.00196752,4.14940347,0.00000000,16.52307120,0.00000000,1,2.55068303,0.94304624,19.97774852,0.00689776,10.503421155254406,3.59060751,4.14940347,0.04346690,10.13325233,0.02001298,0.03250940,0.00839908,41.34609684,0.00000000,39.00945081,0.00000000,0.07713681,15.442457557756468,28.96235479,13.951437539229437,0.30524439,0.02236036,0.77461018,1.31229790,0.00535129,0.57536343,1.63991624,6.00000000,0.36576760,0.00000628,0.20966417,0.00000000,40.56122932,0.03366990,0.05479617,0.01130955,6.98097121,0.01311522,12.026572541132856,0.83278826
MS,0.00139717,15.16289317247641,0.00197039,4.14841137,0.00000000,16.49169660,0.00000000,1,2.55527783,0.94282077,19.79741624,0.00690277,10.448572390133082,3.59228161,4.14841137,0.04343071,10.13571402,0.02001799,0.03249500,0.00836077,41.28142037,0.00000000,39.15049571,0.00000000,0.07711043,15.231452879846133,28.86755246,13.835962673136311,0.30819992,0.02233573,0.77548180,1.31983176,0.00540710,0.57469199,1.64562250,7.00000000,0.36800005,0.00000319,0.20514771,0.00000000,40.56368280,0.03367972,0.05485054,0.01134400,6.97959020,0.01311522,12.036448869801212,0.81385889
MS,0.00139742,15.250106232377883,0.00197317,4.14781741,0.00000000,16.46120032,0.00000000,1,2.55976409,0.94268578,19.61673286,0.00690776,10.411703313648408,3.59384543,4.14781741,0.04339360,10.13716613,0.02002298,0.03248077,0.00832293,41.23276121,0.00000000,39.26321112,0.00000000,0.07708410,15.023717698394712,28.77367326,13.72185888455151,0.30756883,0.02231723,0.77639314,1.32681038,0.00543696,0.57403354,1.65060519,8.00000000,0.36714520,0.00000319,0.20183962,0.00000000,40.56787889,0.03369050,0.05490417,0.01137327,6.97908359,0.01311522,12.04505529146034,0.80183834
MS,0.00139781,15.309622633704715,0.00197588,4.14776182,0.00000000,16.43141906,0.00000000,1,2.56416474,0.94267314,19.43843016,0.00691273,10.38107782108772,3.59531233,4.14776182,0.04335717,10.13727157,0.02002795,0.03246654,0.00828539,41.19045681,0.00000000,39.35762193,0.00000000,0.07705752,14.821539693720135,28.68033410,13.608630391998467,0.31746333,0.02230118,0.77727301,1.33327748,0.00544954,0.57338688,1.65497951,9.00000000,0.37687105,0.00000330,0.19893322,0.00000000,40.57049865,0.03370036,0.05495717,0.01139918,6.97929770,0.01311522,12.048162843599105,0.79114887
MS,0.00139830,15.347346500629472,0.00197853,4.14820929,0.00000000,16.40227172,0.00000000,1,2.56849053,0.94277484,19.26369493,0.00691771,10.351837636511506,3.59668639,4.14820929,0.04332226,10.13612700,0.02003293,0.03245234,0.00824806,41.15082881,0.00000000,39.43689358,0.00000000,0.07703074,14.625342926061826,28.58730927,13.49601365476504,0.32352441,0.02228616,0.77808686,1.33933212,0.00544925,0.57274929,1.65889697,10.00000000,0.38296910,0.00000337,0.19652032,0.00000000,40.57005162,0.03370848,0.05500972,0.01142232,6.97999813,0.01311522,12.044595654100815,0.78330454
