age_from_flowering,S_grain_structure,R_residual,axis,R_Nnit_red,amino_acids,cytokinins,starch,Total_Organic_Nitrogen,Proteins_N_Mass,Uptake_Nitrates,Unloading_Sucrose,senesced_mstruct,Conc_Nitrates,plant,S_grain_starch,C_exudation,Conc_Amino_Acids,structure,HATS_LATS,sum_respi,S_cytokinins,Nstruct,R_Nnit_upt,RGR_Structure,nitrates,R_grain_growth_struct,Conc_Sucrose,Export_cytokinins,Respi_growth,S_Proteins,sucrose_consumption_mstruct,organ,Conc_cytokinins,t,Export_Nitrates,proteins,S_Amino_Acids,AA_consumption_mstruct,synthetized_mstruct,Dry_Mass,mstruct,WSC_g,N_exudation,sucrose,N_tot,regul_transpiration,Export_Amino_Acids,R_grain_growth_starch,Unloading_Amino_Acids
NA,NA,NA,MS,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,phloem,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.00000000,0.00000000,NA,NA,NA,NA
NA,NA,0.09538222,MS,NA,2.17051312,8.60000000,NA,14.49031944,NA,NA,NA,0.00000000,635.7470576984781,1,NA,NA,50.39492662836251,NA,NA,NA,NA,0.00017248,NA,NA,21.90533730,NA,483.4315533186538,NA,0.69137825,NA,2.00766633,roots,249.5932667609237,0.00000000,NA,NA,NA,0.02002061,NA,NA,0.03445606,0.005711021311927687,NA,199.88574592,0.00050954,NA,NA,NA,NA
NA,NA,NA,MS,NA,5.02439204,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,73.74818702018445,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.31783719267463,NA,NA,NA,NA,phloem,NA,1.00000000,NA,NA,NA,NA,NA,NA,NA,0.002678154358875459,NA,93.73540256,0.00007034,NA,NA,NA,NA
NA,NA,0.06119796,MS,0.07588902,1.91204223,8.59061743,NA,14.25331953,NA,0.27246443,-453.52931841,0.00000000,632.0840120818121,1,NA,0.00000000,44.31643199944111,NA,1.07595041,0.24627294,0.98153659,0.00017278,0.10816838,NA,21.81712328,NA,425.98526671678377,0.04330337,0.74146433,NA,2.15310934,roots,248.88670541510265,1.00000000,0.32926709,NA,1.11042972,0.02147097,NA,NA,0.03451618,0.0050411597555743955,0.00000000,176.44059145,0.00050499,0.00083845,0.25971129,NA,0.00000000
NA,NA,NA,MS,NA,5.70697126,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,83.68122737811066,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.57381231592433,NA,NA,NA,NA,phloem,NA,2.00000000,NA,NA,NA,NA,NA,NA,NA,0.003583578929328806,NA,125.42526253,0.00007990,NA,NA,NA,NA
NA,NA,0.05592082,MS,0.07029164,1.77225003,8.59473076,NA,14.13180709,NA,0.24110526,-284.73548134,0.00000000,631.2143384838641,1,NA,0.00000000,41.015571625550876,NA,1.00357444,0.22241208,0.90957538,0.00017303,0.09571879,NA,21.81941314,NA,389.55509363103926,0.02738384,0.63126149,NA,1.83309563,roots,248.63717718952404,2.00000000,0.20814152,NA,1.02700433,0.01827977,NA,NA,0.03456736,0.004616876941467213,0.00000000,161.59069295,0.00050332,0.00052996,0.15215392,NA,0.00000000
NA,NA,NA,MS,NA,6.05280280,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,88.64878020270302,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.95712468761684,NA,NA,NA,NA,phloem,NA,3.00000000,NA,NA,NA,NA,NA,NA,NA,0.004138042616006183,NA,144.83149156,0.00008474,NA,NA,NA,NA
NA,NA,0.05798304,MS,0.07503188,1.74165279,8.61963642,NA,14.12194429,NA,0.24685648,-184.61396508,0.00000000,634.3904174490458,1,NA,0.00000000,40.239869688597715,NA,1.07263527,0.23105744,0.97075198,0.00017332,0.09800202,NA,21.96603223,NA,362.971144176985,0.00875937,0.71602901,NA,2.07924871,roots,248.93957590436534,3.00000000,0.06683273,NA,1.09442401,0.02073443,NA,NA,0.03462542,0.004309037805939793,0.00000000,150.81632321,0.00050523,0.00016903,0.04769158,NA,0.00000000
NA,NA,NA,MS,NA,6.22283565,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,91.03856453181889,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.7220323157072,NA,NA,NA,NA,phloem,NA,4.00000000,NA,NA,NA,NA,NA,NA,NA,0.004438178848700505,NA,155.33625970,0.00008712,NA,NA,NA,NA
NA,NA,0.05612507,MS,0.07315654,1.75135887,8.65105794,NA,14.15126986,NA,0.23203626,-129.97714691,0.00000000,638.7940451242874,1,NA,0.00000000,40.40002663776532,NA,1.04487433,0.22128369,0.94594808,0.00017360,0.09211839,NA,22.15360155,NA,342.76646846353043,0.00141810,0.67752635,NA,1.96744235,roots,249.45128134723316,4.00000000,0.01087262,NA,1.06537982,0.01961949,NA,NA,0.03468035,0.004075632465101048,0.00000000,142.64713628,0.00050827,0.00002727,0.00773584,NA,0.00000000
