t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,12.00000000,1,428571.00000000,NA,NA
1,1,MS,6.26400000,1,428500.95540162,428500.95540162,0.00244379
2,1,MS,5.41500000,1,428439.45501195,428439.45501195,0.00227375
3,1,MS,6.22300000,1,428376.65854697,428376.65854697,0.00243531
4,1,MS,5.95700000,1,428317.81204016,428317.81204016,0.00238100
5,1,MS,5.73300000,1,428262.20636093,428262.20636093,0.00233613
6,1,MS,5.59000000,1,428209.02520138,428209.02520138,0.00230788
7,1,MS,5.51100000,1,428157.77297172,428157.77297172,0.00229242
8,1,MS,5.48000000,1,428108.03477607,428108.03477607,0.00228637
9,1,MS,5.45500000,1,428059.63206647,428059.63206647,0.00228151
10,1,MS,5.45000000,1,428012.39440751,428012.39440751,0.00228054
11,1,MS,5.46600000,1,427966.14729316,427966.14729316,0.00228365
12,1,MS,5.44500000,1,427920.97971541,427920.97971541,0.00227957
13,1,MS,5.38500000,1,427876.95117314,427876.95117314,0.00226794
14,1,MS,5.34600000,1,427833.93343094,427833.93343094,0.00226041
15,1,MS,5.34700000,1,427791.73115914,427791.73115914,0.00226061
16,1,MS,5.40100000,1,427750.12748945,427750.12748945,0.00227104
17,1,MS,5.48900000,1,427708.98787036,427708.98787036,0.00228812
18,1,MS,5.60000000,1,427668.22214182,427668.22214182,0.00230985
19,1,MS,5.71200000,1,427627.82453047,427627.82453047,0.00233196
20,1,MS,5.84000000,1,427587.73985758,427587.73985758,0.00235746
21,1,MS,6.00100000,1,427547.86216841,427547.86216841,0.00238991
22,1,MS,6.20300000,1,427508.05532854,427508.05532854,0.00243119
23,1,MS,6.43300000,1,427468.22436251,427468.22436251,0.00247899
24,1,MS,6.62600000,1,427428.49139580,427428.49139580,0.00251976
25,1,MS,6.77300000,1,427389.01005561,427389.01005561,0.00255122
26,1,MS,6.93100000,1,427349.70525974,427349.70525974,0.00258544
27,1,MS,7.14000000,1,427310.38587102,427310.38587102,0.00263135
28,1,MS,7.30500000,1,427271.22782528,427271.22782528,0.00266811
29,1,MS,7.42500000,1,427232.36786427,427232.36786427,0.00269514
30,1,MS,7.50000000,1,427193.95307020,427193.95307020,0.00271217
31,1,MS,7.57000000,1,427156.00375064,427156.00375064,0.00272814
32,1,MS,7.53500000,1,427118.84720228,427118.84720228,0.00272014
33,1,MS,7.59000000,1,427082.20212095,427082.20212095,0.00273272
34,1,MS,7.52000000,1,427046.43818769,427046.43818769,0.00271672
35,1,MS,7.36500000,1,427011.76738580,427011.76738580,0.00268160
36,1,MS,7.43000000,1,426977.56435173,426977.56435173,0.00269628
37,1,MS,7.53000000,1,426943.73763458,426943.73763458,0.00271900
38,1,MS,7.46500000,1,426910.71963382,426910.71963382,0.00270421
39,1,MS,7.16000000,1,426879.13191509,426879.13191509,0.00263578
40,1,MS,7.01500000,1,426848.48454330,426848.48454330,0.00260380
41,1,MS,7.03500000,1,426818.33911704,426818.33911704,0.00260819
42,1,MS,6.99600000,1,426788.84614650,426788.84614650,0.00259964
43,1,MS,6.92800000,1,426760.07418927,426760.07418927,0.00258479
44,1,MS,6.72700000,1,426732.31393167,426732.31393167,0.00254134
45,1,MS,6.38100000,1,426705.74859361,426705.74859361,0.00246811
46,1,MS,6.25000000,1,426679.65998958,426679.65998958,0.00244089
47,1,MS,6.45200000,1,426653.10096924,426653.10096924,0.00248298
48,1,MS,6.75600000,1,426625.52370562,426625.52370562,0.00254757
49,1,MS,7.07500000,1,426596.48423373,426596.48423373,0.00261699
50,1,MS,7.19500000,1,426566.20391989,426566.20391989,0.00264355
51,1,MS,7.13500000,1,426534.95154411,426534.95154411,0.00263024
52,1,MS,7.03800000,1,426502.98384236,426502.98384236,0.00260885
53,1,MS,6.73600000,1,426470.96360526,426470.96360526,0.00254327
54,1,MS,6.37100000,1,426439.23845094,426439.23845094,0.00246602
55,1,MS,6.14300000,1,426407.63805562,426407.63805562,0.00241886
56,1,MS,5.92200000,1,426376.26038655,426376.26038655,0.00237394
57,1,MS,5.79200000,1,426344.95493770,426344.95493770,0.00234787
58,1,MS,5.71100000,1,426313.68148137,426313.68148137,0.00233176
59,1,MS,5.68600000,1,426282.38875543,426282.38875543,0.00232681
60,1,MS,5.67500000,1,426251.11885650,426251.11885650,0.00232463
61,1,MS,5.62100000,1,426220.05286185,426220.05286185,0.00231398
62,1,MS,5.53500000,1,426189.31840166,426189.31840166,0.00229710
63,1,MS,5.43300000,1,426158.98681700,426158.98681700,0.00227724
64,1,MS,5.35100000,1,426129.02958889,426129.02958889,0.00226138
65,1,MS,5.29800000,1,426099.39633762,426099.39633762,0.00225118
66,1,MS,5.24600000,1,426070.10198219,426070.10198219,0.00224122
67,1,MS,5.17400000,1,426041.21103853,426041.21103853,0.00222749
68,1,MS,5.08700000,1,426012.77164030,426012.77164030,0.00221100
69,1,MS,4.99800000,1,425984.78611645,425984.78611645,0.00219425
70,1,MS,4.94800000,1,425957.14573572,425957.14573572,0.00218490
71,1,MS,4.96700000,1,425929.64985167,425929.64985167,0.00218845
72,1,MS,5.11400000,1,425901.96447652,425901.96447652,0.00221611
73,1,MS,5.32800000,1,425873.85919380,425873.85919380,0.00225695
74,1,MS,5.43500000,1,425845.50466943,425845.50466943,0.00227762
75,1,MS,5.44200000,1,425817.06266748,425817.06266748,0.00227898
76,1,MS,5.25600000,1,425788.90237811,425788.90237811,0.00224313
77,1,MS,4.89800000,1,425761.46675248,425761.46675248,0.00217557
78,1,MS,4.39500000,1,425735.01585931,425735.01585931,0.00208380
79,1,MS,3.92600000,1,425709.47114350,425709.47114350,0.00200143
80,1,MS,3.53700000,1,425684.62892590,425684.62892590,0.00193538
81,1,MS,3.16000000,1,425660.45463333,425660.45463333,0.00187329
82,1,MS,2.84700000,1,425636.81267637,425636.81267637,0.00182312
83,1,MS,2.60500000,1,425613.57342695,425613.57342695,0.00178518
84,1,MS,2.49400000,1,425590.46517423,425590.46517423,0.00176803
85,1,MS,2.45700000,1,425567.37699632,425567.37699632,0.00176234
86,1,MS,2.40300000,1,425544.36364933,425544.36364933,0.00175407
87,1,MS,2.35400000,1,425521.43125630,425521.43125630,0.00174660
88,1,MS,2.30300000,1,425498.60283757,425498.60283757,0.00173885
89,1,MS,2.24100000,1,425475.92309823,425475.92309823,0.00172948
90,1,MS,2.17900000,1,425453.38330881,425453.38330881,0.00172015
91,1,MS,2.14300000,1,425430.94954026,425430.94954026,0.00171476
92,1,MS,2.07000000,1,425408.70456934,425408.70456934,0.00170386
